"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","specificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","month","day","locality","scientificNameAuthorship","barcode","infraspecificEpithet","continentOcean","imagecode","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount"
"1","2020-02-13 14:06:52-03","MN","R","165061","S","Plantae","Apocynaceae","Mandevilla","Mandevilla","Magalhães, H.","1896","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598","Commissão Geographica e Geologica de Minas, número 1193","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:03:20-03","JBP","HPL","10555","S","Plantae","Myrtaceae","Myrcia","Myrcia tomentosa","R. Tsuji","2007","Brasil","MG","Sabinópolis","-43.0839","-18.6661","29598",NA,"auto","tomentosa","H. Lorenzi","2007","09","27","2226","09","27","Coletado nas proximidades da rodovia BR-259 (km 373), ca. 7,0 km antes de Sabinópolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:39-03","JBP","HPL","10750","S","Plantae","Passifloraceae","Passiflora","Passiflora setacea","R. Tsuji","2007","Brasil","MG","Sabinópolis","-43.0839","-18.6661","29598",NA,"auto","setacea","R. Tsuji","2007","09","27","2224","07","27","Coletado nas proximidades da BR-259, entre Serro e Sabinópolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:02:05-03","JBP","HPL","9101","S","Plantae","Fabaceae-Mimosoideae","Anadenanthera","Anadenanthera colubrina","H. Lorenzi","1992","Brasil","MG","Sabinópolis","-43.0839","-18.6661","29598",NA,"auto","colubrina","H. Lorenzi","1992","08","15","127","08","15","Coletado nas proximidades da cidade em área de mata de altitude.","(Vell.) Brenan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:59-03","JBP","HPL","9497","S","Plantae","Rubiaceae","Genipa","Genipa cf. infundibuliformis","R. Tsuji","2007","Brasil","MG","Sabinópolis","-43.0839","-18.6661","29598",NA,"auto","cf. infundibuliformis",NA,NA,NA,NA,"2339","11","28","Coletado na estrada Sabinópolis-Serro (BR-259), km 403.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:30:45-03","UFV","VIC","30592F","PreservedSpecimen","Plantae","Sclerodermataceae","Pisolithus","Pisolithus microcarpus","Daniela Tiago da Silva Campos, PT102","2004","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598","Eucalyptus grandis W. Hill.","auto","microcarpus",NA,NA,NA,NA,"PT102","02",NA,"Plantação de Eucalipto do Projeto Sabinópolis III","(Cooke & Massee) G. Cunn.","VIC30592F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-06 15:21:42-03","MBM","MBM","142055","S","Plantae","Solanaceae","Brunfelsia","Brunfelsia brasiliensis brasiliensis","Duarte, A.",NA,"Brazil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598",NA,"auto","brasiliensis","Plowman, T.",NA,NA,NA,"631",NA,NA,"Quilombo","(Spreng.) Smith & Downs","MBM142055","brasiliensis","Southern America","MBM142055",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-02 14:53:33-03","UFMG","BHCB","22270","PreservedSpecimen","Plantae","Fabaceae","Bowdichia","Bowdichia virgilioides","Costa, LV; Atalla, NC","1992","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598",NA,"auto","virgilioides",NA,NA,NA,NA,"s.n.","10","29",NA,"Kunth",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"9","2019-10-02 14:53:33-03","UFMG","BHCB","22270","PreservedSpecimen","Plantae","Fabaceae","Bowdichia","Bowdichia virgilioides","Costa, LV; Atalla, NC","1992","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598",NA,"auto","virgilioides",NA,NA,NA,NA,"s.n.","10","29",NA,"Kunth",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"10","2019-10-02 14:52:09-03","UFMG","BHCB","22264","PreservedSpecimen","Plantae","Chloranthaceae","Hedyosmum","Hedyosmum brasiliense","Costa, LV; Atalla, NC","1992","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598",NA,"auto","brasiliense",NA,NA,NA,NA,"s.n.","10","01",NA,"Miq.",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"11","2019-10-02 15:04:16-03","UFMG","BHCB","21102","PreservedSpecimen","Plantae","Solanaceae","Solanum","Solanum gemellum","Costa, LV; Atalla, NC",NA,"Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598",NA,"auto","gemellum",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Mar ex Sendt.",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"12","2019-10-02 14:53:58-03","UFMG","BHCB","22278","PreservedSpecimen","Plantae","Fabaceae","Diplotropis","Diplotropis ferruginea","Costa, LV; Atalla, NC","1992","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598","Cenibra - Projeto Coqueiros. Transição floresta atlântica/ cerrado. Arbóreo 5m.","auto","ferruginea",NA,NA,NA,NA,"s.n.","10","27",NA,"Benth.",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"13","2019-10-02 14:52:09-03","UFMG","BHCB","22264","PreservedSpecimen","Plantae","Chloranthaceae","Hedyosmum","Hedyosmum brasiliense","Costa, LV; Atalla, NC","1992","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598",NA,"auto","brasiliense",NA,NA,NA,NA,"s.n.","10","01",NA,"Miq.",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"14","2019-10-02 15:04:10-03","UFMG","BHCB","21100","PreservedSpecimen","Plantae","Solanaceae","Solanum","Solanum cladotrichum","Costa, LV; Atalla, NC","1992","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598","Sub-bosque de eucalipto; Arvoreta 4m; Flor branca","auto","cladotrichum",NA,NA,NA,NA,"s.n.","10",NA,NA,"Dunal",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"15","2019-10-02 14:53:58-03","UFMG","BHCB","22278","PreservedSpecimen","Plantae","Fabaceae","Diplotropis","Diplotropis ferruginea","Costa, LV; Atalla, NC","1992","Brasil","Minas Gerais","Sabinópolis","-43.0839004516602","-18.6660995483398","29598","Cenibra - Projeto Coqueiros. Transição floresta atlântica/ cerrado. Arbóreo 5m.","auto","ferruginea",NA,NA,NA,NA,"s.n.","10","27",NA,"Benth.",NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
