"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","phylum","continentOcean","barcode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","infraspecificEpithet","imagecode","class","order","typeStatus"
"1","2015-07-02 14:03:17-03","JBP","HPL","9363","S","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","R. Tsuji","2007","08","26","R. Tsuji","2073","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado; comum localmente.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:04:07-03","JBP","HPL","11831","S","Plantae","Sabiaceae","Meliosma","chartacea","Meliosma chartacea","E. Ramos",NA,NA,NA,"H. Lorenzi","6729","2009","09","09","Brasil","MG","Santana do Paraiso","Em mata de altitude indo para Achado. DUPLICATA IAC.","-42.5686","-19.3636","17033","auto","Lombardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:19-03","JBP","HPL","11835","S","Plantae","Myrtaceae","Myrcia","splendens","Myrcia splendens",NA,NA,NA,NA,"H. Lorenzi","6731","2009","09","09","Brasil","MG","Santana do Paraiso","Coletado no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:22-03","JBP","HPL","13634","S","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata",NA,NA,NA,NA,"R. Tsuji","2237",NA,NA,NA,"Brasil","MG","Santana do Paraíso","Achado - Entrada por Ipaneminha.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:02:30-03","JBP","HPL","6976","S","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","J.B. Baitello","2007","05","10","R. Tsuji, H. Lorenzi et al.","1555","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada lado esquerdo.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:03:39-03","JBP","HPL","10578","S","Plantae","Passifloraceae","Passiflora","rhamnifolia","Passiflora rhamnifolia","L.C. Bernacci","2008","02","25","L.C. Bernacci & R. Tsuji","4452","2008","02","25","Brasil","MG","Santana do Paraíso","Coletado próximo aos bairros rurais de Ipaneminha e Adiado. S 19° 23' 09; W 42° 29' 48 (290 m.s.m.)","-42.5686","-19.3636","17033","auto","Mast.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:03:40-03","JBP","HPL","6977","S","Plantae","Peraceae","Pera","heteranthera","Pera heteranthera","R. Tsuji","2007","01","30","R. Tsuji, H. Lorenzi et al.","1556","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada lado esquerdo.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:03:23-03","JBP","HPL","6984","S","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","V.C. Souza","2012","06","04","R. Tsuji, H. Lorenzi et al.","1563","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto","(Mart.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:03:23-03","JBP","HPL","9367","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","V.C. Souza","2012","06","04","R. Tsuji","2077","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto","(Mattos) Mattos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:55:41-03","JBP","HPL","11838","S","Plantae","Polygalaceae","Polygala",NA,"Polygala",NA,NA,NA,NA,"H. Lorenzi","6734","2009","09","09","Brasil","MG","Santana do Paraiso","Coletada no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:04:17-03","JBP","HPL","9366","S","Plantae","Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,NA,"R. Tsuji","2076","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:04:17-03","JBP","HPL","13633","S","Plantae","Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,NA,"R. Tsuji","2236",NA,NA,NA,"Brasil","MG","Santana do Paraíso","Achado - Entrada por Ipaneminha.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-07-02 14:04:17-03","JBP","HPL","6978","S","Plantae","Sapotaceae","Pouteria","aff. torta","Pouteria aff. torta","C.E. Carneiro","2007","12","01","R. Tsuji, H. Lorenzi et al.","1557","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-07-02 14:04:17-03","JBP","HPL","11836","S","Plantae","Sapotaceae","Pouteria","durlandii","Pouteria durlandii",NA,NA,NA,NA,"H. Lorenzi","6732","2009","09","09","Brasil","MG","Santana do Paraiso","Coletado no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-07-02 14:03:24-03","JBP","HPL","9354","S","Plantae","Myrtaceae","Psidium",NA,"Psidium",NA,NA,NA,NA,"R. Tsuji","2063","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado no Sítio Chambalá, de propriedade do Sr. Lauro (estrada Achado-Cocais).","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-07-02 14:03:25-03","JBP","HPL","6985","S","Plantae","Myrtaceae","Psidium","oblongatum","Psidium oblongatum","M. Sobral","2007","05","13","R. Tsuji, H. Lorenzi et al.","1564","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:04:02-03","JBP","HPL","6980","S","Plantae","Rubiaceae","Psychotria","poeppigiana","Psychotria poeppigiana","R. Tsuji","2007","01","30","R. Tsuji, H. Lorenzi et al.","1559","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:03:31-03","JBP","HPL","9365","S","Plantae","Orchidaceae","Sacoila","lanceolata","Sacoila lanceolata","R. Tsuji","2007","08","26","R. Tsuji","2075","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto","(Aubl.) Garay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:01:39-03","JBP","HPL","13632","S","Plantae","Elaeocarpaceae","Sloanea",NA,"Sloanea",NA,NA,NA,NA,"R. Tsuji","2235",NA,NA,NA,"Brasil","MG","Santana do Paraíso","Achado - Estrada Ipaneminha, lado esquerdo da via.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
