"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","class","order","continentOcean","coordinatePrecision","geoFlag","phylum","dayIdentified"
"1","2018-10-26 11:47:50-03","Cenargen","CEN","11092","S","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem","Antônio Costa Allem","3397","1986","02","21","Brasil","MG","SANTA BARBARA DO TUGURIO","13 km a L da cidade, ao longo da rodovia BR-265, rumo a Barbacena.","-43.7","-21.25","-43.70000","-21.25000","750","750","Exsicatas","2","Inflorecência racemo. Fruto glabro, liso, cilíndrico, cerca de 1 mm longo.","CEN00011092","CEN00011092",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-27 15:33:00-03","Cenargen","CEN","11091","S","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem","Antônio Costa Allem","3396","1986","02","21","Brasil","MG","SANTA BARBARA DO TUGURIO","9 km a SW da cidade, ao longo da rodovia BR-265, rumo a Barbacena.","-43.63333","-21.25","-43.63333","-21.25000","960","960","Exsicatas","3","Glabra, inflorescência geralmente racemo, mas algumas panículas presentes. Pedicelo floral acima de 1 cm longo. Fruto glabro, liso, cerca de 1 mm longo. Corola infundibuliforme. Capoeira com bananeiras junto cerca arame farpado. P","CEN00011091","CEN00011091","1986","02",NA,NA,NA,NA,NA,NA,NA
"3","2018-10-26 11:47:50-03","Cenargen","CEN","75274","S","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem","Antônio Costa Allem","4540","1995","02","11","Brasil","MG","SANTA BARBARA DO TUGURIO","Cerca de 39 km a SW do acesso a Mercês, ao longo da rodovia MG - 448 rumo a Barbacena. Em lomba, 50 m antes de curva à esquerda.","-43.68333","-21.23333","-43.68333","-21.23333","960","960","Exsicatas","4","Com frutos glabros, lisos e de tamanho médio. Flores masculinas esverdeadas-roxas por dentro e com pontos roxos por fora, pedicelo longo. Frutos quase maduros coletados de 2 plantas.","CEN00075274","CEN00075274",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-10-26 11:47:50-03","Cenargen","CEN","74041","S","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem","Antônio Costa Allem","4539","1995","02","11","Brasil","MG","SANTA BARBARA DO TUGURIO","Cerca de 39 km a SW do acesso a Mercês, ao longo da rodovia MG - 448 rumo a Barbacena. Em lomba, 50 m antes de curva à esquerda.","-43.68333","-21.23333","-43.68333","-21.23333","960","960","Exsicatas","4","Com frutos glabros, lisos e de tamanho médio. Flores masculinas esverdeadas-roxas por dentro e com pontos roxos por fora, pedicelo longo. Frutos quase maduros coletados de 2 plantas.","CEN00074041","CEN00074041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-27 15:37:39-03","Cenargen","CEN","28875","S","Plantae","Lythraceae","Cuphea","carthagenensis","Cuphea carthagenensis","(Jacq.) Macbr.","T. B. Cavalcanti","Aldicir Osni Scariot","363","1989","02","07","Brasil","MG","SANTA BARBARA DO TUGURIO","Rodovia BR - 040 - Ubá, km 37.","-43.31667","-21.21667","-43.31667","-21.21667","600","600","Exsicatas","5",NA,"CEN00028875","CEN00028875","1989","03",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-27 15:37:39-03","Cenargen","CEN","28874","S","Plantae","Lythraceae","Cuphea","carthagenensis","Cuphea carthagenensis","(Jacq.) Macbr.","T. B. Cavalcanti","Aldicir Osni Scariot","362","1989","02","07","Brasil","MG","SANTA BARBARA DO TUGURIO","Rodovia BR-040 - Ubá, km 37.","-43.31667","-21.21667","-43.31667","-21.21667","600","600","Exsicatas","5",NA,"CEN00028874","CEN00028874","1989","03",NA,NA,NA,NA,NA,NA,NA
"7","2019-06-27 15:35:06-03","Cenargen","CEN","28876","S","Plantae","Fabaceae Faboideae","Macroptilium","sabaraense","Macroptilium sabaraense","(Hoehne) V.P.Barbosa","C. M. Siniscalchi","Aldicir Osni Scariot","364","1989","02","07","Brasil","MG","SANTA BARBARA DO TUGURIO","Rodovia BR - 040 - Ubá, km 37.","-43.31667","-21.21667","-43.31667","-21.21667","600","600","Exsicatas","5",NA,"CEN00028876","CEN00028876","2011","03",NA,NA,NA,NA,NA,NA,NA
"8","2018-10-26 11:47:09-03","Cenargen","CEN","68759","S","Plantae","Euphorbiaceae","Manihot",NA,"Manihot",NA,NA,"Ivo Roberto Sias Costa","48","1988","04","06","Brasil","MG","SANTA BARBARA DO TUGURIO","9 km a Sudoeste de Santa Bárbara do Tugúrio; BR-265, rumo a Barbacena (no Belvedere Novo).","-43.58333","-21.23333","-43.58333","-21.23333","940","940","Unicata","1","Caule lenhoso, com antocianinas nos pecíolos e caules jovens.","CEN00068759","CEN00068759",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-10-26 11:47:50-03","Cenargen","CEN","74040","S","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem","Antônio Costa Allem","4538","1995","02","11","Brasil","MG","SANTA BARBARA DO TUGURIO","Cerca de 21 km a SW do acesso a Mercês, ao longo da rodovia MG -448 rumo a Barbacena. Em curva, 100 m antes de Ponte.","-43.58333","-21.21667","-43.58333","-21.21667","600","600","Exsicatas","3","Com apenas duas flores masculinas bifusiformes e futos glabros, lisos, médios. Frutos quase maduros coletados de 3 indivíduos. Fotos do fruto. Mais flores masculinas achadas posteriormente.","CEN00074040","CEN00074040",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-07-24 15:57:52-03","SMITHSONIAN","US","2278647","PreservedSpecimen","Plantae","Caryophyllaceae","Arenaria","lanuginosa","Arenaria lanuginosa","(Michx.) Rohrb.",NA,"R. Reitz","5531","1957","10","27","Brazil","Minas Gerais","Santa Bárbara do Tugúrio",NA,"-43.559398651123","-21.2460994720459",NA,NA,"950","950",NA,NA,"<a href=http://n2t.net/ark:/65665/384f44f35-ff0d-4f05-8319-e561a84b8530 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Dicotyledonae","Caryophyllales","South America - Neotropics","11856","auto",NA,NA
