"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","recordNumber","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet","continentOcean","preparationType","typeStatus","previousCatalogNumber","relatedCatalogItem"
"1","2020-03-04 15:24:29-03","UNESC","CRI","2592","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","fulgens","Nidularium fulgens","Lem.","R. Reitz","R. Reitz","1974","07","06","Brasil","Minas Gerais","Santa Bárbara","Caraça.","-43.415556","-19.96","43º24'56''W","19º57'36''S","Habito: epífita","CRI001892","CRI001892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1191","S","Plantae","Bromeliaceae","Tillandsia","pohliana","Tillandsia pohliana","Mez",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2007","11","01","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1353","S","Plantae","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose",NA,"Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Bocaina","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","2","auto","ordones337",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1355","S","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","Nygel Taylor","Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça,Padre Caio","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","174","S","Plantae","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","Elton. C. M. Leme","Elton M. C. Leme; Luiz Cláudio Marigo; T. Lineham; S. Smith","1990","04","24","Brasil","Minas Gerais","Santa Bárbara","Parque Nacional do Caraça. Caminho para a cascatona","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2011","08",NA,"33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1161","S","Plantae","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça / Cascatona","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","07","21","33136","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1196","S","Plantae","Bromeliaceae","Billbergia","elegans","Billbergia elegans","Mart. ex Schult. & Schult.f.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça - Cascatona","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","07","21","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2576","S","Plantae","Solanaceae","Capsicum","sp.","Capsicum sp.",NA,"João Renato Stehmann","Juliana Ordones Rego; Jão Renato, Clemens, Flávia","2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para a Capelinha","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Solanales","2013","03","19","33136",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2577","S","Plantae","Solanaceae","Capsicum","sp.","Capsicum sp.",NA,"João Renato Stehmann","Juliana Ordones Rego; Jão Renato, Clemens, Flávia","2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para a Capelinha","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Solanales","2013","03","19","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1354","S","Plantae","Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi.","Nygel Taylor","Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Campo de Fora","-43.4152984619141","-19.959400177002","43º31'25","20º 06' 49","254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","3","auto",NA,"1235","1235",NA,NA,NA,NA,NA,NA,NA
