"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","phylum","preparationType","individualCount"
"1","2020-03-10 08:27:38-03","UFV","VIC","032575","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","de Paula, C.C.; et al.","57","2005","10","21","Brasil","Minas Gerais","Santa Cruz do Escalvado","Pedra do Escalvado","-42.8138999938965","-20.2360992431641","14334","Terrestre em mata secundária.","VIC032575","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:27:24-03","UFV","VIC","31913","PreservedSpecimen","Plantae","Begoniaceae","Begonia","platanifolia","Begonia platanifolia","Schott","Ribeiro, O.B.C.","58","2006","10","12","Brasil","Minas Gerais","Santa Cruz do Escalvado","Pedra do Escalvado, Mata secundária na base da Pedra do Escalvado. Altitude de 512 metros.","-42.8138999938965","-20.2360992431641","14334","Vegeta sobre serrapilheira. Floriu em cultivo em Janeiro de 2008.","VIC031913","auto","Kollmann, L.J.C.","VIC031913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-28 12:59:35-03","UTFPR","HCF","29893","S","Plantae","Amaranthaceae","Achyranthes","indica","Achyranthes indica","(L.) Mill.","F. Marinero","960","2018","10","17","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"subarbusto 60 cm. Frutos esverdeados. Várzea.",NA,NA,"F. Marinero & E.C. Nardin",NA,"2019","04","02","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
"4","2019-11-28 12:59:35-03","UTFPR","HCF","29894","S","Plantae","Amaranthaceae","Amaranthus","spinosus","Amaranthus spinosus","L.","F. Marinero","961","2018","10","17","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"subarbusto 50 cm. Flores alvo-esverdeadas. Várzea.",NA,NA,"E.C. Nardin",NA,"2019","04","02","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
"5","2019-12-01 11:41:39-03","UTFPR","HCF","29944","S","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","F. Marinero","972","2018","10","17","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"subarbusto 50 cm. Flores alvas. Várzea.",NA,NA,"F. Marinero",NA,"2019","04","25","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
"6","2019-11-15 20:23:39-03","UTFPR","HCF","29623","S","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.","F. Marinero","792","2018","09","01","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.798333","-20.137778",NA,"herbácea cespitosa 20 cm. Espiguetas verde-amareladas. Várzea.",NA,NA,"F. Marinero",NA,"2019","05","05","42°47'54 W","20°08'16 S","320","320",NA,NA,NA,NA
"7","2019-11-15 20:23:39-03","UTFPR","HCF","29613","S","Plantae","Caryophyllaceae","Drymaria","cordata","Drymaria cordata","(L.) Willd. ex Roem. & Schult.","F. Marinero","1143","2019","02","01","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"Herbácea 5 cm. Flores amarelas. Várzea.",NA,NA,"F. Marinero",NA,"2019","05","16","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
"8","2019-11-26 13:10:39-03","UTFPR","HCF","29867","S","Plantae","Boraginaceae","Heliotropium","indicum","Heliotropium indicum","L.","F. Marinero","964","2018","10","17","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"herbácea 40 cm. Flores alvas. Várzea.",NA,NA,"F. Marinero",NA,"2019","05","03","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
"9","2019-11-26 13:10:39-03","UTFPR","HCF","29804","S","Plantae","Malvaceae","Sida","santaremensis","Sida santaremensis","Mont.","F. Marinero","956","2018","10","16","Brasil","MG","Santa Cruz do Escalvado","Rio Doce","-42.7975","-20.139167",NA,"arbusto 60 cm. Flores amarelas. Frutos esverdeados. Vegetação Secundária Estágio Inicial.",NA,NA,"F. Marinero",NA,"2019","01","29","42°47'51 W","20°08'21 S","297","297",NA,NA,NA,NA
"10","2019-12-01 11:41:39-03","UTFPR","HCF","29936","S","Plantae","Cannabaceae","Trema","micrantha","Trema micrantha","(L.) Blume","F. Marinero","967","2018","10","17","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"árvore 3,5 m. Flores amarelas. Várzea.",NA,NA,"F. Marinero",NA,"2019","04","05","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
