"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem"
"1","2019-12-16 17:29:10-03","NYBG","NYBG","00979784","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","multijuga","lindleyana","Senna multijuga lindleyana","(Gardner) H.S.Irwin & Barneby","H. P. Bautista","584","1982","05","20","South America","Brazil","Minas Gerais","Santa Maria de Itabira","Folha SE.23-Z-D. Ponto 293","-43.07","-19.35","-43.07","-19.35","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00979784","NY00979784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:55:41-03","NYBG","NYBG","1552036","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","kunthiana",NA,"Guarea kunthiana","A.Juss.","A. A. da Luz","125","2003","12","06","South America","Brazil","Minas Gerais","Santa Maria de Itabira",NA,"-43.1124992370605","-19.4493999481201",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01552036","NY01552036","22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","ANG5135","S","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","cf. cayennensis",NA,"Stachytarpheta cf. cayennensis",NA,"Ludivanelem A.S","39",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas opostas,simples. Uso medicinal: para torção do pé",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:14-03","MCN-PUC-MINAS","HPUC-MG","ANG5107","S","Plantae",NA,NA,"Fabaceae","Melanoxylon","brauna",NA,"Melanoxylon brauna",NA,"JLPR","(143) 036",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro Preto","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Madeira usada para construção. Planta não espinhosa, não latescente, não urticante",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","ANG5136","S","Plantae",NA,NA,"Verbenaceae","Lantana","camara",NA,"Lantana camara",NA,"JLPR","113",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas opostas, simples. Fruto tipo: umbela. Uso medicinal: contra gripe",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5090","S","Plantae",NA,NA,"Fabaceae","Piptadenia","gonoacantha",NA,"Piptadenia gonoacantha",NA,"JLPR","(132) 023",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Usada para lenha. Fruto tipo vagem",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5121","S","Plantae",NA,NA,"Fabaceae","Plathymeria","cf. reticulata",NA,"Plathymeria cf. reticulata",NA,"JLPR","116",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas alternas, compostas. Usada para fazer caixa de batuque",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5114","S","Plantae",NA,NA,"Fabaceae","Platypodium","cf. elegans",NA,"Platypodium cf. elegans",NA,"JLPR","111",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas alternas, compostas. Frutos em vagem. Planta usada como ferramenta e esteio de casa",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5128","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,NA,"Pouteria",NA,"JLPR","(130) 21",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Frutos comestíveis",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5105","S","Plantae",NA,NA,"Siparunaceae","Siparuna","guianensis",NA,"Siparuna guianensis",NA,"JLPR","(142) 035",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas usadas para banho de descarrego",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
