"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","previousCatalogNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2019-12-16 18:36:02-03","NYBG","NYBG","02422369","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","M. C. de Assis","581","1999","02","14","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Alto de São Sebastião à beira da estrada que liga Jatibocas à Santa Maria","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422369","NY02422369","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:36:16-03","NYBG","NYBG","02497189","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","delirioi","Piper delirioi","Sarnaglia & E.F.Guim.","E. J. Lírio","137","2013","02","02","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Floresta no entorno da PCH Rio Bonito.","-40.6489","-20.0461",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2765883 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02497189","NY02497189",NA,"V. B. Sarnaglia Jr.","2014","isotype","-40.6489","-20.0461","650","800",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 19:03:36-03","NYBG","NYBG","1921595","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","didymum","Solanum didymum","Dunal","L. L. Giacomin","1189","2011","02","03","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio das Farinhas. Propriedade do Sr. Kuzanski, entrada da Trilha do Muriqui.","-40.7247","-20.07",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2288992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01921595","NY01921595",NA,NA,NA,NA,"-40.7247","-20.0700","893","893",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 19:04:23-03","NYBG","NYBG","1844243","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","insidiosum","Solanum insidiosum","Mart.","L. L. Giacomin","1190","2011","02","03","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio das Farinhas, Propriedade do Sr. Kuzanski, trilha do muriqui.","-40.7256","-20.07",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2139030 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01844243","NY01844243",NA,NA,NA,NA,"-40.7256","-20.0700","910","910",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:56:34-03","NYBG","NYBG","01112778","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","febrifuga","Esenbeckia febrifuga","(A.St.-Hil.) A.Juss. ex Mart.","L. J.-C. Kollmann","6060","2003","03","18","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Belém, Paulo Seik.","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263534 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01112778","NY01112778","auto","J. A. Kallunki",NA,NA,NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:41:36-03","NYBG","NYBG","02618993","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","myriocarpa","Scleria myriocarpa",NA,"M. V. Berger","19","2002","10","20","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão, Distrito do Garrafão.","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944878 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02618993","NY02618993","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:40:12-03","NYBG","NYBG","3908565","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora",NA,"Rhynchospora",NA,"L. J.-C. Kollmann","10222","2007","12","19","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio Nova, terreno de L. Kollman","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364000 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908565","NY03908565","auto",NA,NA,NA,NA,NA,"730","730",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:39:22-03","NYBG","NYBG","3908582","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis",NA,"Eleocharis",NA,"L. J.-C. Kollmann","10225","2007","12","19","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio Nova, terreno de L. Kollman","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364252 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908582","NY03908582","auto",NA,NA,NA,NA,NA,"730","730",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:38:33-03","NYBG","NYBG","3908573","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus",NA,"Cyperus",NA,"L. J.-C. Kollmann","10208","2007","12","19","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio Nova, terreno de L. Kollman","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908573","NY03908573","auto",NA,NA,NA,NA,NA,"730","730",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:06:22-03","NYBG","NYBG","02423466","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","estrellensis","Cariniana estrellensis","(Raddi) Kuntze","M. Ribeiro","1075","2014","06","15","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio Bonito, propriedade particular","-40.6519","-20.0583",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685350 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423466","NY02423466",NA,NA,NA,NA,"-40.6519","-20.0583","680","680",NA,NA,NA,NA,NA,NA,NA
