"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","locality","imagecode","infraspecificEpithet","continentOcean","order","class"
"1","2020-02-03 10:29:21-03","UNESP-IBB","BOTU","32996","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","Rapini, A.","2012","02","18","Luz, A.A. da","230","2004","09","16","Brasil","Minas Gerais","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676","22522","BOTU032996","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 15:20:49-03","ESALQ","ESA","109066","S","Plantae","Lauraceae","Mezilaurus","crassiramea","Mezilaurus crassiramea",NA,"Werff, H. V. der","2005","06","02","Luz, A.A.","56","2002","04","17","Brasil","Minas Gerais","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676","22522","ESA109066","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-22 15:20:49-03","ESALQ","ESA","109067","S","Plantae","Lauraceae","Mezilaurus","crassiramea","Mezilaurus crassiramea",NA,"Siqueira, G. S. & Folli, D. A.","2009","06","08","Luz, A.A.","504","2009","05","05","Brasil","Minas Gerais","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676","22522","ESA109067","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-22 15:06:44-03","ESALQ","ESA","135402","S","Plantae","Meliaceae","Guarea","kunthiana","Guarea kunthiana","A. Juss","D.A. Folli","2014",NA,NA,"D.A. Folli","7319","2014","12","09","Brasil","Minas Gerais","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676","22522","ESA135402","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-13 14:12:00-03","MN","R","216116","S","Plantae","Moraceae","Dorstenia","elata","Dorstenia elata","Hook.","Machado, A.F.P.","2009","09","23","Salino, A.; Almeida, T.E. & Heringer, G.","10974","2006","05","09","Brasil","Minas Gerais","Santa Rita do Itueto","-41.372944","-19.278333",NA,NA,NA,NA,"41° 22' 22,6W","19° 16' 42S","820","820","Projeto - Riqueza, distribuição geográfica e conservação das pteridófitas do estado de Minas Gerais, Brasil",NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:17-03","UFV","VIC","35020","PreservedSpecimen","Plantae","Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Fernandes, J.M.","2009","11","08","Fernandes, J.M.","1158","2009","11","08","Brasil","Minas Gerais","Santa Rita da Itueto","-41.401667","-19.29",NA,"VIC035020",NA,NA,"-41.401667","-19.29",NA,NA,"Árvore, c.a. de 9,0 metros de altura; frutos desenvolvidos.","Parque Estadual dos Sete Salões, Floresta Estacional Semidecidual.","VIC035020",NA,NA,NA,NA
"7","2020-03-10 08:29:17-03","UFV","VIC","34837","PreservedSpecimen","Plantae","Mimosoideae","Inga","hispida","Inga hispida","Schott ex Benth.","Fernandes, J.M.","2009","11","08","Fernandes, J.M.","1155","2009","11","08","Brasil","Minas Gerais","Santa Rita do Itueto","-41.401667","-19.29",NA,"VIC034837",NA,NA,"-41.401667","-19.29",NA,NA,"Árvore, c.a. de 7,0 metros de altura; flores secas.","Parque Estadual dos Sete Salões, Floresta Estacional Semidecidual.","VIC034837",NA,NA,NA,NA
"8","2020-03-10 08:29:17-03","UFV","VIC","36376","PreservedSpecimen","Plantae","Mimosoideae","Inga","hispida","Inga hispida","Schott ex Benth.","Fernandes, J.M.","2010","01","11","Fernandes, J.M.","1180","2010","01","11","Brasil","Minas Gerais","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676","22522","VIC036376","auto",NA,NA,NA,NA,NA,"Floresta Atlântica; arvoreta de 5m alt., floresta estacional semidecidual, frutos imaturos, híspidos.","Parque Estadual dos Sete Salões",NA,NA,NA,NA,NA
"9","2020-03-10 08:29:17-03","UFV","VIC","37473","PreservedSpecimen","Plantae","Mimosoideae","Inga","hispida","Inga hispida","Schott ex Benth.","Fernandes, J.M.","2012","05","14","Fernandes, J.M.","1428","2012","05","14","Brasil","Minas Gerais","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676","22522","VIC037473","auto",NA,NA,NA,NA,NA,"Árvore 7m alt., frutos secos.","Parque Estadual dos Sete Salões, Comunidade Alta Aparecida.","VIC037473",NA,NA,NA,NA
"10","2020-03-10 08:29:20-03","UFV","VIC","34843","PreservedSpecimen","Plantae","Mimosoideae","Inga","subnuda","Inga subnuda subnuda",NA,"Fernandes, J.M.","2009","11","08","Fernandes, J.M.","1156","2009","11","08","Brasil","Minas Gerais","Santa Rita do Itueto","-41.3800010681152","-19.3596992492676","22522","VIC034843","auto",NA,NA,NA,NA,NA,"Árvore, c.a. de 10 metros de altura; frutos desenvolvidos e flores secas.","Parque Estadual dos Sete Salões, Floresta Estacional Semidecidual.","VIC034843","subnuda",NA,NA,NA
