"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","barcode","imagecode","scientificNameAuthorship","day","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","dayIdentified"
"1","2019-07-11 08:56:41-03","ESALQ","ESA","103435","S","Plantae","Magnoliophyta","Piperaceae","Piper","arboreum","Piper arboreum","Monteiro, D.","2008","08","Castro, R.M.","1401","2007","10","Brasil","Minas Gerais","Santo Antonio da Grama","ESA103435","ESA103435",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:28:24-03","UFV","VIC","47256","PreservedSpecimen","Plantae",NA,"Erysiphaceae","Erysiphe","quercicola","Erysiphe quercicola",NA,NA,NA,"Firmino, André L","DOA 1695 CDA 22","2019","02","Brasil","Minas Gerais","Santo Antônio do Grama","VIC047256",NA,"S. Takam. & U. Braun","20","-42.6086006164551","-20.3143997192383","8777","Tamarindus indica L.","auto",NA,NA
"3","2019-11-21 14:33:22-03","UFJF","CESJ","50548","PreservedSpecimen","Plantae","Angiosperma","Cleomaceae","Cleome",NA,"Cleome",NA,NA,NA,"R.M. Castro; P.O Garcia; J.F.S. Pessôa","1407","2007","10","Brasil","Minas Gerais","Santo Antônio do Grama","CESJ050548",NA,NA,NA,"-42.6086006164551","-20.3143997192383","8777","Erva, Floresta Estacional Semidecidual Montana, brejo, flores róseas.","auto","América do Sul",NA
"4","2019-11-21 14:44:02-03","UFJF","CESJ","50555","PreservedSpecimen","Plantae","Angiosperma","Rhamnaceae","Gouania",NA,"Gouania",NA,NA,NA,"R.M. Castro; P.O Garcia; J.F.S. Pessôa","1414","2007","10","Brasil","Minas Gerais","Santo Antônio do Grama","CESJ050555",NA,NA,NA,"-42.6086006164551","-20.3143997192383","8777","Cipó,Floresta Estacional Semidecidual Montana, borda da mata, frutos pardos.","auto","América do Sul",NA
"5","2019-11-21 14:33:22-03","UFJF","CESJ","50547","PreservedSpecimen","Plantae","Angiosperma","Cleomaceae","Cleome",NA,"Cleome",NA,NA,NA,"R.M. Castro; P.O Garcia; J.F.S. Pessôa","1406","2007","10","Brasil","Minas Gerais","Santo Antônio do Grama","CESJ050547",NA,NA,NA,"-42.6086006164551","-20.3143997192383","8777","Erva, Floresta Estacional Semidecidual Montana, brejo, flores róseas.","auto","América do Sul",NA
"6","2019-11-21 14:32:17-03","UFJF","CESJ","50544","PreservedSpecimen","Plantae","Angiosperma","Begoniaceae","Begonia",NA,"Begonia",NA,NA,NA,"R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1403","2007","10","Brasil","Minas Gerais","Santo Antonio do Grama","CESJ050544",NA,NA,NA,"-42.6086006164551","-20.3143997192383","8777","Erva na floresta estacional semidecidual montana, brejo, flores róseas.","auto","América do Sul",NA
"7","2019-11-21 14:45:04-03","UFJF","CESJ","50551","PreservedSpecimen","Plantae","Angiosperma","Scrophulariaceae","Buddleja","stachyoides","Buddleja stachyoides","G.P. Coelho","2017","05","R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1410","2007","10","Brasil","Minas Gerais","Santo Antonio do Grama","CESJ050551",NA,"Cham. & Schltdl.",NA,"-42.6086006164551","-20.3143997192383","8777","Erva, Floresta Estacional Semidecidual Montana, brejo, flores amarelas.","auto","América do Sul","24"
"8","2019-11-21 14:41:29-03","UFJF","CESJ","50552","PreservedSpecimen","Plantae","Angiosperma","Piperaceae","Ottonia",NA,"Ottonia",NA,NA,NA,"R.M. Castro; P.O Garcia; J.F.S. Pessôa","1411","2007","10","Brasil","Minas Gerais","Santo Antônio do Grama","CESJ050552",NA,NA,NA,"-42.6086006164551","-20.3143997192383","8777","Árvore, Floresta Estacional Semidecidual Montana, interior da mata, inflorescências cor de creme.","auto","América do Sul",NA
"9","2019-11-21 14:38:43-03","UFJF","CESJ","50546","PreservedSpecimen","Plantae","Angiosperma","Malvaceae",NA,NA,NA,NA,NA,NA,"R.M. Castro; P.O Garcia; J.F.S. Pessôa","1405","2007","10","Brasil","Minas Gerais","Santo Antônio do Grama","CESJ050546",NA,NA,NA,"-42.6086006164551","-20.3143997192383","8777","Árvore, Floresta Estacional Semidecidual Montana, brejo, flores pardas.","auto","América do Sul",NA
"10","2019-11-21 14:42:51-03","UFJF","CESJ","50553","PreservedSpecimen","Plantae","Angiosperma","Poaceae","Parodiolyra","micrantha","Parodiolyra micrantha","C. Silva","2012","07","R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1412","2007","10","Brasil","Minas Gerais","Santo Antônio do Grama","CESJ050553",NA,"(Kunth) Davidse & Zuloaga",NA,"-42.6086006164551","-20.3143997192383","8777","Erva, em floresta estacional semidecidual montana, interior de mata, flores verdes.","auto","América do Sul","26"
