"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","typeStatus","dayIdentified","coordinatePrecision","geoFlag","class","previousCatalogNumber","individualCount","relatedCatalogItem"
"1","2019-12-16 18:13:58-03","NYBG","NYBG","00942440","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","malvaviscoides","Pavonia malvaviscoides","A.St.-Hil.","P. A. Fryxell","1992","G. G. Hatschbach","30131","1972","08","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Pico Itambe.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00942440","NY00942440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:41:31-03","NYBG","NYBG","2422687","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Perama","parviflora","Perama parviflora","(Standl.) J.H.Kirkbr. & Steyerm.",NA,NA,"J. R. Pirani","5949","2009","02","10","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Itambé, trilha subindo pela encosta do pico, próximo à Ponte do Rebentão (pequena ponte suspensa)","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2670348 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422687","NY02422687","-43.34064","-18.39878","-43.34064","-18.39878","1804","1804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:28:54-03","NYBG","NYBG","582937","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","macranthera","Senna macranthera macranthera","(DC. ex Collad.) H.S.Irwin & Barneby",NA,NA,"W. R. Anderson","35701","1972","02","09","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","South-eastern drainage of Pico de Itambé, about 5 km directly West and North of Santo Antônio de Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=740901 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00582937","NY00582937",NA,NA,NA,NA,NA,NA,"macranthera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:57:09-03","NYBG","NYBG","929297","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","J. R. Pirani","1989","L. Rossi","CFCR3086","1982","04","06","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Descida do Morro do Pico Itambé.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034442 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929297","NY00929297","-43.33","-18.43","-43.33","-18.43","3068","3068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:29:45-03","NYBG","NYBG","00980881","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reniformis","Senna reniformis","(G.Don) H.S.Irwin & Barneby","R. C. Barneby",NA,"L. Rossi","CFCR3080","1982","04","06","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Descida do Morro do Pico Itambé.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00980881","NY00980881","-43.33","-18.43","-43.33","-18.43","3068","3068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:42:28-03","NYBG","NYBG","00860545","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","speleicola","Paepalanthus speleicola","(Silveira) M.J.G.Andrade & Giul.","M. L. O. Trovó","2015","N. Hensold","496","1982","02","21","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Ca. 6 km N of town, along foot trail to Pico Itambé.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00860545","NY00860545","-43.3056","-18.4139","-43.3056","-18.4139","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:24:32-03","NYBG","NYBG","00932891","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","chrysastra","Mimosa chrysastra","Mart. ex Benth.","R. C. Barneby",NA,"L. Rossi","CFCR3018","1982","04","05","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Subida ao Pico do Itambé","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007405 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00932891","NY00932891","-43.35","-18.4","-43.35","-18.40","2050","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:03:36-03","NYBG","NYBG","00994680","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","reticulata","Gaylussacia reticulata","Mart. ex Meisn.","J. W. Floyd","1999","A. Furlan","CFCR3031","1982","04","05","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Subida ao Pico do Itambé.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1070159 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00994680","NY00994680","-43.35","-18.4","-43.35","-18.40","2050","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:20:15-03","NYBG","NYBG","02098972","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","dendroides","Leandra dendroides","(Naudin) Cogn.",NA,NA,"F. Almeda","9679","2009","03","02","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098972","NY02098972","-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:27:46-03","NYBG","NYBG","01164747","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","sebastianopolitana","Tibouchina sebastianopolitana",NA,NA,NA,"F. Almeda","9661","2009","03","02","South America","Brazil","Minas Gerais","Santo Antônio de Itambé","Parque Estadual do Pico do Itambe, from the Fazenda at 1367 m to the summit of Pico do Itambe at 2038 m, along the main trail.","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487617 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01164747","NY01164747","-43.34816","-18.39868","-43.34816","-18.39868","1367","2038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
