"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-11-21 14:35:54-03","UFJF","CESJ","46118","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Acacia","Acacia","P.L. Viana; N.F.O. Mota; T.E. Almeida; D. Souza","1888","2005","09","25","América do Sul","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo","área de influência da PCH Quinquim.","-43.2538986206055","-19.2283000946045","8339","Árvore ca. 10m alt. Frutos em disposição helicoidal.","CESJ046118","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:33:08-03","UFJF","CESJ","46114","PreservedSpecimen","Plantae","Angiosperma","Cactaceae","Rhipsalis","Rhipsalis russellii","P.L. Viana; N.F.O. Mota; T.E. Almeida; D.Souza.","1884","2005","02","09","América do Sul","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo","Área de influência da PCH Quinquim","-43.2538986206055","-19.2283000946045","8339","Planta epífita em mata semidecídua.","CESJ046114","auto","russellii","Britton & Rose","D.R. Gonzaga","2015","09","22",NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:36:55-03","UFJF","CESJ","46096","PreservedSpecimen","Plantae","Angiosperma","Fabaceae","Myrocarpus","Myrocarpus frondosus","P.L. Viana; N.F.O. Mota; T.E. Almeida","1866","2005","05","09","América do Sul","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo","Área de influência da PCH Quinquim","-43.2538986206055","-19.2283000946045","8339","Árvore de aproximadamente, 8 m de altura em área de pastagem. Frutos maduros castanhos.","CESJ046096","auto","frondosus","Allemão","P.L. Viana","2005","09",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:33:02-03","UFJF","CESJ","46117","PreservedSpecimen","Plantae","Angiosperma","Cactaceae","Pereskia","Pereskia grandifolia violacea","P.L. Viana; N.F.O. Mota; T.E. Almeida; D.Souza","1887","2005","02","09","América do Sul","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo","Área de influência da PCH Quinquim","-43.2538986206055","-19.2283000946045","8339","Arbusto em borda de mata semidecídua, próxima a instalações rurais.","CESJ046117","auto","grandifolia","(Leuenb.) N.P. Taylor & Zappi","D. Zappi","2016",NA,NA,"violacea",NA,NA,NA,NA,NA
"5","2019-11-21 14:37:42-03","UFJF","CESJ","46106","PreservedSpecimen","Plantae","Angiosperma","Lamiaceae","Hyptidendron","Hyptidendron asperrimum","P.L. Viana; N.F.O. Mota; T.E. Almeida; D. Souza","1876","2005","09","25","América do Sul","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo","Área de influência da PCH Quinquim.","-43.2538986206055","-19.2283000946045","8339","Árvore de 5m em mata semidecídua.","CESJ046106","auto","asperrimum","(Spreng.) Harley","G.M. Antar","2018","08",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:30:02-03","UFJF","CESJ","46113","PreservedSpecimen","Plantae","Angiosperma","Amaryllidaceae","Hippeastrum","Hippeastrum puniceum","P.L. Viana; N.F.O. Mota; T.E. Almeida; D.Souza","1883","2005","09","25","América do Sul","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo","Área de influência da PCH Quinquim.","-43.2538986206055","-19.2283000946045","8339","Erva em terreno abandonado, coberto por Paspalum notatum. Flores vermelhas alaranjadas.","CESJ046113","auto","puniceum","(Lam.) Kuntze","P.L. Viana","2005","09",NA,NA,"CESJ046113",NA,NA,NA,NA
"7","2019-11-21 14:39:17-03","UFJF","CESJ","46115","PreservedSpecimen","Plantae","Angiosperma","Marantaceae","Stromanthe","Stromanthe","P.L. Viana; N.F.O. Mota; T.E. Almeida; D.Souza","1885","2005","05","09","América do Sul","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo","Área de influência da PCH Quinquim.","-43.2538986206055","-19.2283000946045","8339","Em borda de mata semidecidua. Bracteas rosas,flores roxas. Ovário verde.","CESJ046115","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-02 15:07:58-03","UFMG","BHCB","186074","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Prosthechea","Prosthechea vespa","Gontijo, FD","454","2014","10","31","Southern America","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo",NA,"-43.288575","-19.261311",NA,"Herbáceo; Floração; Flores verdes com manchas marrons. Altura 0,3m. Sobre rocha.; Campo rupestre sobre formação quartzítica","BHCB186074",NA,"vespa","(Vell.) W.E.Higgins",NA,NA,NA,NA,NA,NA,"-43.288575","-19.261311",NA,NA
"9","2019-10-02 15:06:17-03","UFMG","BHCB","186075","PreservedSpecimen","Plantae","Monocotyledon","Commelinaceae","Tradescantia","Tradescantia","Gontijo, FD","455","2014","10","31","Southern America","Brasil","Minas Gerais","Santo Antônio do Rio Abaixo",NA,"-43.288575","-19.261311",NA,"Herbáceo; Floração; Em borda de mata. Altura 0,2m. Flor branca.; Floresta estacional semidecidual","BHCB186075",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.288575","-19.261311",NA,NA
"10","2019-05-02 10:55:01-03","IBt","SP-BRYOPHYTA","132827","S","Plantae",NA,"Pelliaceae","Noteroclada","Noteroclada","Vital, D.M.","7611","1977","07","31","Southern America","BRASIL","Minas Gerais","Santo Antonio do Rio Abaixo",NA,"-43.253889","-19.228333",NA,"on banks of a river","SP069463",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.253889","-19.228333","550","550"
