"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","class","order","continentOcean","typeStatus"
"1","2015-07-02 14:04:13-03","JBP","HPL","11189","S","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","H. Lorenzi","2007","05","23","H. Lorenzi","6265","2007","05","23","Brasil","ES","São Domingos do Norte","Coletada na estrada de terra para Colatina-ES, cerca de 6 km de São Domingos em área aberta a 200 m da estrada no início do morro.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:04:00-03","JBP","HPL","11187","S","Plantae","Rubiaceae","Molopanthera","paniculata","Molopanthera paniculata","P.G. Delprete","2011","12","26","H. Lorenzi","6262","2007","05","23","Brasil","ES","São Domingos do Norte","Coletada na estrada de terra para Colatina-ES, cerca de 4 km de São Domingos em área aberta a 500 m da rodovia.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:04:00-03","JBP","HPL","10533","S","Plantae","Rubiaceae","Molopanthera","paniculata","Molopanthera paniculata","P.G. Delprete","2011","12","26","R. Tsuji","2179","2007","09","23","Brasil","ES","São Domingos do Norte","Coletado na fazenda (Sítio Alto Alegre, Córrego São Domingos) de propriedade do Sr. Juscelino.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:37-03","JBP","HPL","10534","S","Plantae","Passifloraceae","Passiflora","contracta","Passiflora contracta","L.C. Bernacci","2012","03","09","R. Tsuji","2180","2007","09","23","Brasil","ES","São Domingos do Norte","Coletado na fazenda (Sítio Alto Alegre, Córrego São Domingos) de propriedade do Sr. Juscelino.","-40.6236","-19.1436","26002","auto","Vitta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:04:13-03","JBP","HPL","9921","S","Plantae","Sapindaceae","Paullinia",NA,"Paullinia",NA,NA,NA,NA,"R. Tsuji & H. Lorenzi","2181","2007","09","23","Brasil","ES","São Domingos do Norte","Coletado no Sítio Alto Alegre (propriedade do Sr. Juscelino), córrego São Domingos.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:04:11-03","JBP","HPL","9922","S","Plantae","Sapindaceae",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji & H. Lorenzi","2182","2007","09","23","Brasil","ES","São Domingos do Norte","Coletado no Sítio de propriedade do Sr. Licinho (família Coure), localizado à margem da rodovia.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:02:05-03","JBP","HPL","4700","S","Plantae","Fabaceae-Mimosoideae","Albizia",NA,"Albizia",NA,NA,NA,NA,"E.R. Salviani & H. Lorenzi","1816","2000","11","23","Brasil","ES","São Domingo do Norte","Coletado no sentido para São Gabriel da Palha, na margem da rodovia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:02:39-03","JBP","HPL","4876","S","Plantae","Malpighiaceae","Byrsonima",NA,"Byrsonima",NA,NA,NA,NA,"G.F. Arbocz","2316","1996","01","27","Brasil","ES","São Domingos do Norte","Coletado nas proximidades da cidade.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:04:11-03","JBP","HPL","11188","S","Plantae","Sapindaceae","Cupania","cf. scrobiculata","Cupania cf. scrobiculata","H. Lorenzi","2007","05","22","H. Lorenzi","6263","2007","05","22","Brasil","ES","São Domingos do Norte","Coletada na estrada de terra para Colatina-ES, cerca de 4 km de São Domingos a 50 m da rodovia.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:04:12-03","JBP","HPL","9920","S","Plantae","Sapindaceae","Cupania","scrobiculata","Cupania scrobiculata","R. Tsuji & H. Lorenzi","2007","09","23","R. Tsuji & H. Lorenzi","2178","2007","09","23","Brasil","ES","São Domingos do Norte","Coletado no Sítio Alto Alegre (propriedade do Sr. Juscelino), córrego São Domingos.","-40.6236","-19.1436","26002","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
