"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","year","locality","month","day","barcode","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","phylum","class","order"
"1","2019-11-06 09:57:02-03","UFOP","OUPR","4443","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","major","Plantago major","L.","Silva, J.L.","1995","03","31","s.col.","s.n.","Brasil","Minas Gerais","São Domingos do Prata","-42.9682998657227","-19.8649997711182","28512","Erva, expectorante, emoliente. Beira de estrada","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-06 09:57:19-03","UFOP","OUPR","11860","PreservedSpecimen","Plantae","Pteridaceae","Pteris","denticulata","Pteris denticulata","Sw.","Araujo, S.C.","1933",NA,NA,"Araújo, S.C.","s.n.","Brasil","Minas Gerais","São Domingos do Prata","-42.9682998657227","-19.8649997711182","28512","Erva. Lugares úmidos","auto","1933","Matheus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-02 11:34:07-03","UDESC","LUSC","7759","PreservedSpecimen","Plantae","Fabaceae","Andira",NA,"Andira",NA,NA,NA,NA,NA,"Brandão, M.","10999","Brasil","Minas Gerais","São Domingos de Prata",NA,NA,NA,NA,NA,"1984","Bacia do Macuco.","11","10","LUSC008013","LUSC008013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-05-02 10:52:55-03","IBt","SP-BRYOPHYTA","148498","S","Plantae","Dicranaceae","Dicranella","sp.","Dicranella sp.",NA,NA,NA,NA,NA,"Vital, D.M.","8881","BRASIL","Minas Gerais","São Domingos da Prata","-42.968333","-19.865",NA,"Sobre um barranco úmido e ensolarado",NA,"1980","Ao longo da BR 262","04","12","SP075873",NA,"Southern America","-42.968333","-19.865","580","580",NA,NA,NA,NA,NA
"5","2019-06-10 10:10:05-03","FZB-BH","BHZB","1959","S","Plantae","Apocynaceae",NA,"sp.",NA,NA,NA,NA,NA,NA,"Pimenta, I.A.",NA,"Brasil","MG","São Domingos do Prata","-42.9682998657227","-19.8649997711182","28512","Planta alimento de Rothschildia. Planta latescente. Exsicata não encontrada - outubro/2010.","auto","1997","Juiraçu","09","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:07-03","FZB-BH","BHZB","1958","S","Plantae","Apocynaceae","Tabernaemontana","catharinensis","Tabernaemontana catharinensis",NA,"Rapini","2015","03",NA,"Pimenta, I.A.",NA,"Brasil","MG","São Domingos do Prata","-42.9682998657227","-19.8649997711182","28512","Planta alimento de Rothschildia. Planta latescente. Anteriormente Tabernaemontana sp. <ll>dwc_commonname:</ll> Leiteiro","auto","1997","Juiraçú","09","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-10-26 11:47:50-03","Cenargen","CEN","92307","S","Plantae","Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl",NA,NA,NA,NA,"Wantuil Linhares Werneck","362","Brasil","MG","SAO DOMINGOS DO PRATA","-42.9","-19.983333",NA,"Abundante população à beira da rodovia, no meio da mata de encosta. O local é uma descida, à esquerda de quem vai para Rio Casca.",NA,"1994","BR - 262, a 15,8 km do rio Doce, e a 43,7 km do trevo de acesso a Ouro Preto.","11","18","CEN00092307","CEN00092307",NA,"-42,9","-19,983333","840","840","Exsicatas","2",NA,NA,NA
"8","2018-10-26 11:59:46-03","Cenargen","CEN","85131","S","Plantae","Myrtaceae","Myrciaria","glanduliflora","Myrciaria glanduliflora","(Kiaersk.) Mattos & D.Legrand","J. E. Q. Faria Júnior",NA,NA,NA,"Jair Eustáquio Quintino de Faria Jr.","2466","Brasil","MG","SAO DOMINGOS DO PRATA","-42.865","-19.868611",NA,"Caule liso marrom avermelhado soltando casca. Herbário UB-Minas Gerais, Brasil.",NA,"2012","Margem da BR-381, entre São Gonçalo do Rio Abaixo e João Monlevade, próximo à primeira.","03","26","CEN00085131","CEN00085131",NA,"-42,865","-19,868611","830","830","Exsicatas","1",NA,NA,NA
"9","2016-10-10 10:26:04-03","MOBOT","MOBOT_BR","100512365","S","Plantae","Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Vell.","M. A. Milward de Azevedo","2012",NA,NA,"M. Brandão","Brandão 12344","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1987",NA,"04","24",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-20 18:46:48-03","UFSJ","HUFSJ","5787","S","Plantae","Myrtaceae","Myrciaria","floribunda","Myrciaria floribunda","(H.West ex Willd.) O.Berg","Sobral, M","2013",NA,NA,"Faria, JEQ","2466","Brasil","Minas Gerais","São Domingos do Prata","-42.865","-19.868611",NA,"Árvore ca. 8 m de altura, caule liso marrom avermelhado soltando casca, botão floral verde e flor branca (coletado material em sílica gel)",NA,"2012","Margem da BR-381, entre São Gonçalo do Rio Abaixo e João Monlevade, próximo à primeira","03","26","HUFSJ005787",NA,NA,"-42.865","-19.868611","830","830",NA,NA,NA,NA,NA
"11","2016-09-19 16:13:34-03","UnB","UB","191574","S","Plantae","Myrtaceae","Myrciaria","floribunda","Myrciaria floribunda","(H.West ex Willd.) O. Berg","Sobral, M","2013",NA,NA,"Faria, JEQ","2466","Brasil","Minas Gerais","São Domingos do Prata","-42.865","-19.868611",NA,"Árvore ca. 8 m de altura, caule liso marrom avermelhado soltando casca, botão floral verde e flor branca (coletado material em sílica gel); Floresta ombrófila",NA,"2012","Margem da BR-381, entre São Gonçalo do Rio Abaixo e João Monlevade, próximo à primeira","03","26",NA,NA,"Southern America","-42.865","-19.868611","830","830",NA,NA,"Dicotyledoneae",NA,NA
"12","2017-09-11 17:08:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Trixis","ophiorhiza","Trixis ophiorhiza","Gardner",NA,NA,NA,NA,"Burchell, WJ","5896","Brazil","Minas Gerais","São Domingos do Prata","-42.9683","-19.865","28512",NA,"auto","1827","Pisarão to São Domingos","09","19",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
