"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","relatedCatalogItem"
"1","2019-06-10 10:10:53-03","FZB-BH","CVJBFZB","1032","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","aff. coriaceum","Anthurium aff. coriaceum","(Graham) G.Don","Eduardo G. Gonçalvez","Eduardo G. Gonçalves; H.Lorenzi; Salviani & Lorenzoni","EGG587","2000","10","11","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:45:37-03","NYBG","NYBG","03377022","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Arecales","Arecaceae","Syagrus","lorenzoniorum","Syagrus lorenzoniorum","Noblick & Lorenzi",NA,"R. Tsuji","2713","2008","06","22","Brazil","Espírito Santo","Sao Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3872821 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","isotype","South America","Coletado no Córrego Comprido, Sítio Pedro Castelã.","200","200","sheet","NY03377022",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:46:05-03","NYBG","NYBG","483687","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Bignoniaceae","Fridericia","erubescens","Fridericia erubescens","(DC.) L.G.Lohmann",NA,"J. N. Vieira","27","1949","09",NA,"Brazil","Espírito Santo","Sao Gabriel da Palha","-40.5356","-19.0175",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","Norte do Rio Doce, Cachoeira da Onça - Rio S. José",NA,NA,"sheet","NY00483687","-40.5356","-19.0175","NY00483687",NA,NA,NA,NA,NA
"4","2020-03-04 11:48:26-03","UFRJ","RFA","39273","Preservedecimen","Plantae",NA,NA,NA,"Anacardiaceae","Spondias","dulcis","Spondias dulcis","Parkinson","N. Antas","R.S. Gonçalves",NA,"2011","06","15","Brasil","Espírito Santo","São Gabriel da Palha","-40.528611","-19.021667",NA,NA,"Árvore com 9 m de altura. 68 cm de DAP. Folhas verdes e brilhosas com forte cheiro adocicado. Indivíduo estéril",NA,NA,NA,"Isolada em plantação de café atrás do fórum da Cidade","182","182",NA,"RFA35738","40º31'43''W","19º1'18''S",NA,"2011","06","20",NA,NA
"5","2019-02-22 15:08:40-03","ESALQ","ESA","98697","S","Plantae","Magnoliophyta",NA,NA,"Acanthaceae","Chamaeranthemum","venosum","Chamaeranthemum venosum",NA,"Kameyama, C.","Lorenzi, H.","1920","1995","01","12","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,"ESA098697",NA,NA,"ESA098697","1998","11","05",NA,NA
"6","2015-07-02 14:01:52-03","JBP","HPL","4365","S","Plantae",NA,NA,NA,"Fabaceae-Caesalpinioideae","Melanoxylon","brauna","Melanoxylon brauna","Schott","H. Lorenzi","H. Lorenzi","1525","1994","05","18","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na estrada para Nova Venécia a uns 5,0-6,0km de São Gabriel da Palha, onde existe um único exempler na beira da estrada.",NA,NA,NA,NA,NA,NA,NA,"1994","05","18",NA,NA
"7","2015-07-02 14:04:13-03","JBP","HPL","9327","S","Plantae",NA,NA,NA,"Sapindaceae","Melicoccus","oliviformis subsp. intermedius","Melicoccus oliviformis subsp. intermedius","(Radlk.) Acev.-Rodr.","V.C. Souza","R. Tsuji","2036","2007","08","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na propriedade de Ademar Lorenzoni; nas proximidades do Córrego Castelã.",NA,NA,NA,NA,NA,NA,NA,"2012","03","26",NA,NA
"8","2015-07-02 14:01:48-03","JBP","HPL","11190","S","Plantae",NA,NA,NA,"Fabaceae","Mimosa",NA,"Mimosa",NA,NA,"H. Lorenzi","6266","2007","05","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na mata, região do Castelan - Faz. Ademar Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:02:06-03","JBP","HPL","4752","S","Plantae",NA,NA,NA,"Fabaceae-Mimosoideae","Mimosa",NA,"Mimosa",NA,NA,"H. Lorenzi","1524","1994","05","18","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na estrada para Nova Venécia a 3,0-5,0km de São Gabriel da Palha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:04:07-03","JBP","HPL","7164","S","Plantae",NA,NA,NA,"Rutaceae","Neoraputia","alba","Neoraputia alba",NA,"G.F. Arbocz","G.F. Arbocz","2352","1996","01","28","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni, nas proximidades do córrego Bley.",NA,NA,NA,NA,NA,NA,NA,"1996","01","28",NA,NA
