"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2019-12-16 19:17:06-03","NYBG","NYBG","844039","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","hirsuta","Anemia hirsuta","Sw.","J. T. Mickel","A. Salino","3836","1997","12","04","South America","Brazil","Minas Gerais","São Geraldo","Na estrada para Gruta Nossa Senhora de Lourdes (Santinha)","-42.8342","-20.9231","-42.8342","-20.9231","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968369 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00844039","NY00844039 NY00844039_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 15:14:51-03","ESALQ","ESA","61716","S","Plantae","Magnoliophyta",NA,"Connaraceae","Rourea","pseudospadicea","Rourea pseudospadicea","Schellenb.","Toledo, C.A.P.","Salino, A.","3837","1997","12","04",NA,"Brasil","Minas Gerais","São Geraldo",NA,"-42.834400177002","-20.9228000640869",NA,NA,NA,NA,"ESA061716",NA,"2015","05","12381","auto",NA,NA,NA,NA
"3","2020-03-10 08:30:56-03","UFV","VIC","31728","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Cecropia","pachystachya","Cecropia pachystachya","Trécul","Souza, P.P. de","Souza, P.P. de","264","2008","09","24",NA,"Brasil","Minas Gerais","São Geraldo","BR 120 - estrada para o Haras São Genaro, Crescendo em barranco.","-42.81175","-20.917667","-42.81175","-20.917667",NA,"Árvore, c.a. de 5,0 metros de altura, tronco cinza, seiva translúcida, tornando-se escura logo após o corte, estípula espatácea branca, internamente de cor marrom, recoberta por tricomas hialinos, espata de cor verde clara, recoberta p","VIC031728","VIC031728 VIC031728_1","2008","09",NA,NA,"30",NA,NA,NA
"4","2020-03-10 08:30:56-03","UFV","VIC","31733","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Cecropia","pachystachya","Cecropia pachystachya","Trécul","Souza, P.P. de","Souza, P.P. de","265","2008","09","24",NA,"Brasil","Minas Gerais","São Geraldo","BR 120, Na beira da estrada, crescendo em área aberta de solo úmido.","-42.798083","-20.911694","-42.798083","-20.911694",NA,"Árvore, c.a. de 6,0 metros de altura, seiva translúcida, estípula espatácea de cor branca, recoberta por tricomas hialinos, amentos de cor verde, espata de cor branca a verde claro, folhas com lado adaxial glabro e abaxial com tricomas","VIC031733","VIC031733 VIC031733_1","2008","09",NA,NA,"30",NA,NA,NA
"5","2020-03-10 08:30:15-03","UFV","VIC","8326","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Hymenachne","amplexicaulis","Hymenachne amplexicaulis","(Rudge) Nees","Filgueiras, T.S.","Pereira, J.J.","s.n.","1982",NA,NA,NA,"Brasil","Minas Gerais","São Geraldo",NA,"-42.834400177002","-20.9228000640869",NA,NA,NA,"Planta de brejo.","VIC008326","VIC008326","1982",NA,"12381","auto",NA,NA,NA,NA
"6","2020-03-10 08:29:41-03","UFV","VIC","31903","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Melaleuca","armillaris","Melaleuca armillaris",NA,NA,"Silva, C.J.","s.n.","2008","11","23",NA,"Brasil","Minas Gerais","São Geraldo","Distrito de Monte Celeste","-42.834400177002","-20.9228000640869",NA,NA,NA,"Planta de 1,5 m, cultiva. com fruto","VIC031903","VIC031903",NA,NA,"12381","auto",NA,NA,NA,NA
"7","2020-03-10 08:29:41-03","UFV","VIC","31904","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Melaleuca","cajuputi","Melaleuca cajuputi",NA,NA,"Silva, C.J.","s.n.","2008","11","23",NA,"Brasil","Minas Gerais","São Geraldo","Distrito de Monte Celeste","-42.834400177002","-20.9228000640869",NA,NA,NA,"Planta de 1,5 m, cultiva. com fruto","VIC031904","VIC031904",NA,NA,"12381","auto",NA,NA,NA,NA
"8","2020-03-10 08:29:32-03","UFV","VIC","1053","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","widgrenii","Mollinedia widgrenii","A.D.C",NA,"Mexia, Y.","5264","1930","11","06",NA,"Brasil","Minas Gerais","São Geraldo","Distrito Rio Branco, Estrada de São Geraldo Marreco","-42.834400177002","-20.9228000640869",NA,NA,NA,"Shrub 3m. high; blackish fruit. Occasional = 5261 in flower","VIC001053","VIC001053",NA,NA,"12381","auto",NA,NA,NA,NA
"9","2020-03-10 08:29:32-03","UFV","VIC","1128","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","chrysorrhaehis","Mollinedia chrysorrhaehis",NA,NA,"Mexia, Y.","5261","1930","11","06",NA,"Brasil","Minas Gerais","São Geraldo","Distrito Rio Branco, Estrada de São Geraldo, Marreco","-42.834400177002","-20.9228000640869",NA,NA,NA,"Many branched shrub, 4m. high; greenish-yellow flower. Occasional = 5264 in fruit.","VIC001128","VIC001128",NA,NA,"12381","auto",NA,NA,NA,NA
"10","2020-03-10 08:29:00-03","UFV","VIC","1123","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Clidemia","nianga","Clidemia nianga","(DC.) Cogn",NA,NA,"5260","1930","11","06",NA,"Brasil","Minas Gerais","São Geraldo","Maréco","-42.834400177002","-20.9228000640869",NA,NA,NA,NA,"VIC001123","VIC001123",NA,NA,"12381","auto",NA,NA,NA,NA
