"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","yearIdentified","recordNumber","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","individualCount","relatedCatalogItem"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2227","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Pseudolaelia","corcovadensis","Pseudolaelia corcovadensis","Porto & Brade","Carlos A. Ferreira Jr.","Antônio Massensini Junior;","2008","10","28","Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","EPDA Peti","-43.3622016906738","-19.826099395752","43°22#?#1110","19° 53#?# 23 33","17525","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:20:15-03","NYBG","NYBG","01874622","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtales","Melastomataceae","Leandra","cogniauxii","Leandra cogniauxii","Ule","M. Reginato","J. Coffani Nunes","1994","02","22","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo",NA,"-43.3622016906738","-19.826099395752",NA,NA,"17525","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","2014","s.n.","South America","sheet","NY01874622","NY01874622",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:36:52-03","NYBG","NYBG","00979038","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gentianales","Loganiaceae","Strychnos",NA,"Strychnos",NA,NA,"J. A. Lombardi","2002","04","23","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti- Cemig, trilha partindo da Barragem até o Bom Será","-43.3619","-19.8261","-43.3619","-19.8261",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"4666","South America","sheet","NY00979038","NY00979038",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 19:17:05-03","NYBG","NYBG","02514563","PreservedSpecimen","Plantae","Pteridophyta",NA,"Schizaeales","Anemiaceae","Anemia","ferruginea","Anemia ferruginea","Kunth",NA,"P. H. Labiak E.","2013","02","06","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti.","-43.37","-19.896","-43.370","-19.896",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2807069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"5445","South America","sheet","NY02514563","NY02514563","750","750",NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:17:22-03","NYBG","NYBG","02554096","PreservedSpecimen","Plantae","Pteridophyta",NA,"Schizaeales","Anemiaceae","Anemia","presliana","Anemia presliana","Prantl",NA,"P. H. Labiak E.","2013","02","06","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti.","-43.37","-19.896","-43.370","-19.896",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"5444","South America","sheet","NY02554096","NY02554096","750","750",NA,NA,NA,NA,NA,NA
"6","2019-12-16 19:17:22-03","NYBG","NYBG","02064250","PreservedSpecimen","Plantae","Pteridophyta",NA,"Schizaeales","Anemiaceae","Anemia","retroflexa","Anemia retroflexa","Brade","J. T. Mickel","K. M. Redden","2002","04","23","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estac?o de Pesquisa Ambiental de PETI","-43.3653","-19.8925","-43.3653","-19.8925",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2450564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"2009","7979","South America","sheet","NY02064250","NY02064250",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 19:17:22-03","NYBG","NYBG","02554144","PreservedSpecimen","Plantae","Pteridophyta",NA,"Schizaeales","Anemiaceae","Anemia","retroflexa","Anemia retroflexa","Brade",NA,"P. H. Labiak E.","2013","02","06","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti.","-43.37","-19.896","-43.370","-19.896",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808808 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"5446","South America","sheet","NY02554144","NY02554144","750","750",NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:28:54-03","NYBG","NYBG","02703879","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.",NA,"T. N. da C. Vasconcelos","2014","11","02","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estrada entre Monlevade e São Gonçalo do Rio Abaixo","-43.3228","-19.8392","-43.3228","-19.8392",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989182 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"472","South America","sheet","NY02703879","NY02703879","765","765",NA,NA,NA,NA,NA,NA
"9","2019-12-16 19:13:26-03","NYBG","NYBG","883809","PreservedSpecimen","Plantae","Pteridophyta",NA,"Polypodiales","Dennstaedtiaceae","Hypolepis","repens","Hypolepis repens","(L.) C.Presl","A. Salino","A. Salino","2002","09","26","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação de Pesquisa e Desenvolvimento Ambiental de PETI, próximo a Casa de Força.","-43.3622","-19.8261","-43.3622","-19.8261",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"2002","8051","South America","sheet","NY00883809","NY00883809",NA,NA,"09",NA,NA,NA,NA,NA
"10","2019-12-16 18:20:49-03","NYBG","NYBG","01874483","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtales","Melastomataceae","Leandra","umbellata","Leandra umbellata","DC.","M. Reginato","M. Reginato","2013","02","05","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Reserva da PETI-CEMIG. Estrada para o Bom Será.","-43.364883","-19.890197","-43.364883","-19.890197",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085231 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"2014","1420","South America","sheet","NY01874483","NY01874483",NA,NA,NA,NA,NA,NA,NA,NA
