"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet"
"1","2019-02-22 11:44:59-03","IPA","IPA","12547","S","Plantae","Plantae","Leguminosae-Caes.","Senna","tropica","Senna tropica","(Vell.) H.S. Irwin & Barneby","Lima, J.E.G. de","1998","02","15","Andrade-Lima","61-3721","1961","02","11","Southern America","Brasil","Minas Gerais","São João do Manhuaçu","Margem da estrada Rio-Bahia, km 302-303. local úmido","-42.1514015197754","-20.3936004638672","12399","Arbusto 1-1,5m; flor amarelo-claro; folhas tênues","IPA0012547","auto",NA,NA,NA,NA
"2","2019-12-06 15:15:11-03","MBM","MBM","61774","S","Plantae",NA,"Poaceae","Paspalum","maritimum","Paspalum maritimum","Trin.","Davidse, G.",NA,NA,NA,"Ramamoorthy, T.P.; et al.; et al.","11451",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João do Manhuaçu","São João do Munhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,"MBM061774","auto","MBM061774",NA,NA,NA
"3","2019-12-06 15:14:40-03","MBM","MBM","61939","S","Plantae",NA,"Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase",NA,NA,NA,NA,"Davidse, G.; et al.; et al.","11454",NA,NA,NA,"Southern America","Brazil","Minas Gerais","São João do Manhuaçu","São João do Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,"MBM061939","auto","MBM061939",NA,NA,NA
"4","2019-10-02 15:00:25-03","UFMG","BHCB","75906","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,"2014","09",NA,"Leoni, LS","3782","1997","11",NA,"Southern America","Brasil","Minas Gerais","São João do Manhuaçu","Serra da Sericita.","-42.1514015197754","-20.3936004638672","12399","Árvore ca. 3-4 m de altura. Corola brancacenta.","BHCB017984","auto",NA,"1200","1200",NA
"5","2019-11-21 10:06:15-03","IBt","SP","38979","S","Plantae",NA,"Fabaceae","Mimosa","velloziana","Mimosa velloziana","Mart.",NA,NA,NA,NA,"Heringer, EP","2","1937","01",NA,NA,"Brasil","Minas Gerais","São João do Manhuaçu",NA,"-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,NA,NA,NA
"6","2019-11-21 10:15:30-03","IBt","SP","161190","S","Plantae",NA,"Poaceae","Eragrostis","rufescens","Eragrostis rufescens","Schrad. ex Schult.","Boechat, SC","1997","04","11","Davidse, G; D'Arcy, WG","11446","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 18 S of the intersection highway BR-116 & BR-262, just N of the village of São João do Manhuaçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"7","2019-11-21 10:15:42-03","IBt","SP","159873","S","Plantae",NA,"Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga","Rodrigues, RS",NA,NA,NA,"Davidse, G; D'Arcy, WG","11435","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km of the intersection of highway BR-116 & BR-262 just N of the village of São João do Manhuaçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"8","2019-11-21 10:05:46-03","IBt","SP","161158","S","Plantae",NA,"Fabaceae","Indigofera","truxillensis","Indigofera truxillensis","Kunth","Duré, R","1987","02",NA,"Davidse, G; D'Arcy, WG","11442","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","ca. 19km S of the intersction of highway BR-116 BR-262, just N of the village of São João do Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,"SP027252","auto","SP027252",NA,NA,NA
"9","2019-11-21 10:16:53-03","IBt","SP","161194","S","Plantae",NA,"Poaceae","Setaria","scandens","Setaria scandens","Schrad.","Davidse, G","1976",NA,NA,"Davidse, G; D'Arcy, WG","11450","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","Ca. 19 km S of the intersection of highway BR-116 & BR-262, junst N of Village of São João do Manhauçu.","-42.1514015197754","-20.3936004638672","12399",NA,NA,"auto",NA,"800","800",NA
"10","2019-11-21 10:06:33-03","IBt","SP","161159","S","Plantae",NA,"Fabaceae","Senna","macranthera","Senna macranthera nervosa","(Vogel) H.S.Irwin & Barneby","Barneby, RC","1986",NA,NA,"Davidse, G; D'Arcy, WG","11443","1976","03","27",NA,"Brasil","Minas Gerais","São João do Manhuaçu","ca. 19km S of the intersection of highway BR 116 & BR 262, just N of the vilage of S.João de Manhuaçu","-42.1514015197754","-20.3936004638672","12399",NA,"SP024871","auto","SP024871",NA,NA,"nervosa"
