"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-12-16 17:12:59-03","NYBG","NYBG","02704085","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Acacia","polyphylla","Acacia polyphylla","DC.","Neves, D. M.","1430","2013","07","07","South America","Brazil","Minas Gerais","São João Evangelista","Instituto Federal de Minas Gerais in Sao Joao Evangilista.","-42.749722","-18.549167","-42.749722","-18.549167","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990720 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02704085","NY02704085",NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:19:53-03","NYBG","NYBG","02704123","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Deguelia","hatschbachii","Deguelia hatschbachii","A.M.G.Azevedo","Neves, D. M.","1434","2013","07","07","South America","Brazil","Minas Gerais","São João Evangelista","Instituto Federal de Minas Gerais in Sao Joao Evangilista.","-42.749722","-18.549167","-42.749722","-18.549167","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990758 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02704123","NY02704123",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-20 14:03:33-03","UFG","HJ","3802","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,"Pereira, J.D.","337","2009","08","17",NA,"Brasil","Minas Gerais","São João Evangelista","PCH Fumaça.","-48.787778","-18.352222","48º47'16''W","18º21'8''S",NA,NA,"HJ00003802","HJ00003802","Frederico Augusto Guimarães Guilherme","2009","11","20","554","554",NA
"4","2019-12-20 14:03:55-03","UFG","HJ","3799","S","Plantae",NA,NA,"Fabaceae","Mimosa",NA,"Mimosa",NA,"Pereira, J.D. et al.","340","2009","08","17",NA,"Brasil","Minas Gerais","São João Evangelista","PCH Fumaça.","-48.795278","-18.366667","48º47'43''W","18º22'0''S",NA,NA,"HJ00003799","HJ00003799",NA,NA,NA,NA,NA,NA,NA
"5","2019-06-05 10:33:27-03","UFG","HJ","3800","S","Plantae",NA,NA,"Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Pereira, J.D. et al.","339","2009","08","17",NA,"Brasil","Minas Gerais","São João Evangelista","PCH Fumaça.","-48.794722","-18.355833","48º47'41''W","18º21'21''S",NA,NA,"HJ00003800","HJ00003800","R.C. Sodré","2016","08","23",NA,NA,NA
"6","2019-12-20 14:03:55-03","UFG","HJ","3801","S","Plantae",NA,NA,"Fabaceae","Lonchocarpus",NA,"Lonchocarpus",NA,"Pereira, J.D.","338","2009","08","17",NA,"Brasil","Minas Gerais","São João Evangelista","PCH Fumaça.","-42.813889","-18.3125","42º48'50''W","18º18'45''S",NA,NA,"HJ00003801","HJ00003801",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-13 11:22:15-03","USP","SPF","226199","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Deguelia","hatschbachii","Deguelia hatschbachii","A.M.G.Azevedo","Neves, DM","1434","2013","07","07",NA,"Brasil","Minas Gerais","São João Evangelista","Instituto Federal de Minas in São João Evangelista.","-42.749722","-18.549167","-42.749722","-18.549167",NA,NA,"SPF00226199",NA,"Neves, DM","2014","08","04","697","697",NA
"8","2019-11-13 11:22:20-03","USP","SPF","142734","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Erythrina","verna","Erythrina verna","Vell.","Fiaschi, P","426","2000","08","01",NA,"Brasil","Minas Gerais","São João Evangelista",NA,"-42.833333","-18.583333","-42.833333","-18.583333",NA,NA,"SPF00142734",NA,"Martins, MV","2011","03",NA,NA,NA,NA
"9","2019-11-13 11:23:07-03","USP","SPF","225259","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Senegalia","polyphylla","Senegalia polyphylla","(DC.) Britton & Rose","Neves, DM","1433","2013","07","07",NA,"Brasil","Minas Gerais","São João Evangelista",NA,"-42.749722","-18.549167","-42.749722","-18.549167",NA,NA,"SPF00225259",NA,"Anônimo",NA,NA,NA,"697","697",NA
"10","2019-11-13 11:23:07-03","USP","SPF","226201","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Senegalia","polyphylla","Senegalia polyphylla","(DC.) Britton & Rose","Neves, DM","1430","2013","07","07",NA,"Brasil","Minas Gerais","São João Evangelista","Instituto Federal de Minas in São João Evangelista.","-42.749722","-18.549167","-42.749722","-18.549167",NA,NA,"SPF00226201",NA,"Anônimo",NA,NA,NA,"697","697",NA
