"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","imagecode","phylum","order"
"1","2015-07-02 14:04:17-03","JBP","HPL","7022","S","Plantae","Sapotaceae","Pouteria","aff. macrophylla","Pouteria aff. macrophylla","C.E. Carneiro","2007","12","01","R. Tsuji, H. Lorenzi et al.","1605","2007","01","28","Brasil","MG","São José do Goiabal","Estrada não pavimentada entre a cidade e a BR-262.","-42.705","-19.9286","15967","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:01:58-03","JBP","HPL","7013","S","Plantae","Fabaceae-Faboideae","Deguelia",NA,"Deguelia",NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1594","2007","01","28","Brasil","MG","São José do Goiabal","Estrada não pavimentada entre a cidade e a BR-262.","-42.705","-19.9286","15967","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:12-03","UFV","VIC","37768","PreservedSpecimen","Plantae","Mimosoideae","Albizia","polycephala","Albizia polycephala","Batista, M.L.","2012","04","05","Batista, M.L.; Vieira, D.M.","s.n.","2012","04","05","Brasil","Minas Gerais","São José do Goiabal",NA,"-42.695556","-19.941667",NA,NA,"(Benth.) Killip","-42.695556","-19.941667","Árvore, c.a. de 9,5 metros de altura, com frutos imaturos.","VIC037768",NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:12-03","UFV","VIC","37788","PreservedSpecimen","Plantae","Mimosoideae","Albizia","polycephala","Albizia polycephala","Batista, M.L.","2012","04","05","Batista, M.L.; Vieira, D.M.","s.n.","2012","04","05","Brasil","Minas Gerais","São José do Goiabal",NA,"-42.695833","-19.946944",NA,NA,"(Benth.) Killip","-42.695833","-19.946944","Árvore 8m alt., com flores.","VIC037788",NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:29:27-03","UFV","VIC","37785","PreservedSpecimen","Plantae","Mimosoideae","Piptadenia","gonoacantha","Piptadenia gonoacantha","Batista, M.L.","2012","04","05","Batista, M.L.; Vieira, D.M.","s.n.","2012","04","05","Brasil","Minas Gerais","São José do Goiabal",NA,"-42.696944","-19.948056",NA,NA,"(Mart.) J.F. Macbr.","-42.696944","-19.948056","Árvore, c.a. de 7,5 metros de altura, flores vermelhas.","VIC037785",NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:29-03","UFV","VIC","37780","PreservedSpecimen","Plantae","Mimosoideae","Senegalia",NA,"Senegalia","Batista, M.L.","2012","04","05","Batista, M.L.; Vieira, D.M.","s.n.","2012","04","05","Brasil","Minas Gerais","São José do Goiabal",NA,"-42.695556","-19.946944",NA,NA,"Raf.","-42.695556","-19.946944","Liana, apresentando espinho no tronco, ramos e ráquis foliar, com frutos imaturos.","VIC037780",NA,NA,NA,NA,NA,NA
"7","2019-11-26 13:10:39-03","UTFPR","HCF","29863","S","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","F. Marinero","2019","01","22","F. Marinero","1035","2018","11","18","Brasil","MG","São José do Goiabal","Rio Doce","-42.6925","-19.988056",NA,NA,"Schott","42°41'33 W","19°59'17 S","árvore 5 m. Frutos marrons. Várzea.",NA,"266","266",NA,NA,NA,NA
"8","2019-12-04 12:52:31-03","UTFPR","HCF","30014","S","Plantae","Fabaceae","Dalbergia","miscolobium","Dalbergia miscolobium","F. Marinero","2019","03","14","F. Marinero","1036","2018","11","18","Brasil","MG","São José do Goiabal","Rio Doce","-42.695556","-19.990278",NA,NA,"Benth.","42°41'44 W","19°59'25 S","árvore 6 m. Frutos esverdeados. Várzea.",NA,"288","288",NA,NA,NA,NA
"9","2019-11-28 12:59:36-03","UTFPR","HCF","29881","S","Plantae","Malpighiaceae","Dicella","bracteosa","Dicella bracteosa","E.C. Nardin","2019","05","22","A. Pujals",NA,"2019","01","12","Brasil","MG","São José do Goiabal",NA,"-42.611944","-19.915556",NA,NA,"(A.Juss.) Griseb.","42°36'43 W","19°54'56 S","liana. Mata nativa.",NA,"270","270",NA,NA,NA,NA
"10","2019-12-05 18:44:19-03","UTFPR","HCF","30025","S","Plantae","Asteraceae","Eclipta","prostrata","Eclipta prostrata","E. Barboza & F. Marinero","2018","11","05","F. Marinero","1039","2018","11","18","Brasil","MG","São José do Goiabal","Rio Doce","-42.6925","-19.988056",NA,NA,"(L.) L.","42°41'33 W","19°59'17 S","subarbusto 70 cm. Flores alvas. Várzea.",NA,"266","266",NA,NA,NA,NA
