"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordNumber","continentOcean","locality","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","day","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-02-22 15:20:03-03","ESALQ","ESA","101684","S","Plantae","Magnoliophyta","Icacinaceae","Costa, L.V.","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818","ESA101684","ESA101684","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:43:50-03","UFJF","CESJ","31943","PreservedSpecimen","Plantae","Angiosperma","Polygalaceae","L.V. Costa","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818","CESJ031943",NA,"auto","Bredemeyera","laurifolia","Bredemeyera laurifolia","(A. St.-Hil.) Klotzsch ex A. W. Benn.","L.V. Costa","s.n.","América do Sul","PCH Vargem Grande","Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-06 09:55:40-03","UFOP","OUPR","7462","PreservedSpecimen","Plantae",NA,"Fabaceae","Messias, M.C.T.B.","1996","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Messias, M.C.T.B.","125",NA,NA,"Mata. árvore. Flores amarelas","1996","04","18","07",NA,NA,NA,NA,NA
"4","2019-11-06 09:56:42-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,"Myrtaceae","Abreu, A.T. de","1893","12","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Myrcia","oblongata","Myrcia oblongata","DC.","Sobral, M.","s.n.",NA,"Serra de São José",NA,"2014",NA,NA,"06",NA,NA,NA,NA,NA
"5","2019-10-02 15:04:30-03","UFMG","BHCB","133126","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Almeida, TE; Souza, DT; Cota, MMT","2009","09","Brasil","Minas Gerais","São José do Mantimento","-41.722472","-19.985417",NA,"BHCB038308",NA,NA,"Solanum","rufescens","Solanum rufescens virescens","Hiern",NA,"2078","Southern America","Rio José Pedro., Margens do rio José Pedro.","Prensado em álcool.; Arbusto terrestre. Floresta brancas; Em borda de floresta, próximo a estrada. Floresta Estacional Semidecidual","2009","10",NA,"05","virescens","-41.722472","-19.985417","340","340"
"6","2019-10-02 14:55:01-03","UFMG","BHCB","52533","PreservedSpecimen","Plantae","Dicotyledon","Icacinaceae","Costa, LV",NA,NA,"Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto",NA,NA,NA,NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-02 15:03:10-03","UFMG","BHCB","52521","PreservedSpecimen","Plantae","Dicotyledon","Sapindaceae","Costa, LV",NA,NA,"Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Serjania",NA,"Serjania","Mill.",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-02 14:52:04-03","UFMG","BHCB","52530","PreservedSpecimen","Plantae","Dicotyledon","Celastraceae","Costa, LV",NA,NA,"Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Peritassa","flaviflora","Peritassa flaviflora","A.C.Sm.",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-02 14:59:33-03","UFMG","BHCB","52518","PreservedSpecimen","Plantae","Dicotyledon","Meliaceae","Costa, LV",NA,NA,"Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Trichilia","hirta","Trichilia hirta","L.",NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-02 14:53:07-03","UFMG","BHCB","52532","PreservedSpecimen","Plantae","Dicotyledon","Euphorbiaceae","Costa, LV","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Croton","lundianus","Croton lundianus","(Didr.) Müll.Arg.",NA,"s.n.","Southern America","PCH Vargem Alegre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-02 15:01:38-03","UFMG","BHCB","52528","PreservedSpecimen","Plantae","Dicotyledon","Polygalaceae","Costa, LV","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Acanthocladus","albicans","Acanthocladus albicans","A.W.Benn.",NA,"s.n.","Southern America","PCH Vargem Alegre","Plantas do Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-02 15:07:17-03","UFMG","BHCB","52520","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Costa, LV","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Catasetum",NA,"Catasetum",NA,NA,"s.n.","Southern America","PCH Varginha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-02 14:52:39-03","UFMG","BHCB","52519","PreservedSpecimen","Plantae","Dicotyledon","Dilleniaceae","Costa, LV","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Davilla","rugosa","Davilla rugosa","Poir.",NA,"s.n.","Southern America","PCH Varginha.","Cipó caboclo.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-02 15:07:07-03","UFMG","BHCB","52517","PreservedSpecimen","Plantae","Monocotyledon","Marantaceae","Costa, LV","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818","BHCB011045",NA,"auto","Ctenanthe",NA,"Ctenanthe",NA,NA,"s.n.","Southern America","PCH Varginha.",NA,"2013","11",NA,NA,NA,NA,NA,NA,NA
"15","2019-10-02 14:56:22-03","UFMG","BHCB","52529","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Costa, LV","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818",NA,NA,"auto","Herissantia",NA,"Herissantia",NA,NA,"s.n.","Southern America","PHC Vargem Alegre.","Data registrada da coleta: /abr/2000. Flores brancas",NA,NA,NA,"01",NA,NA,NA,NA,NA
"16","2019-12-16 17:40:46-03","UFMG","BHCB","52534","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Costa, LV","2000","04","Brasil","Minas Gerais","São José do Mantimento","-41.744701385498","-20.0053005218506","7818","BHCB052912","BHCB052912","auto","Justicia",NA,"Justicia","L.",NA,"s.n.","Southern America","PHC Vargem Alegre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
