"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","infraspecificEpithet","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-12-16 17:28:37-03","NYBG","NYBG","00979929","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","cernua","Senna cernua","(Balb.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","2106","1958","11","18","South America","Brazil","Minas Gerais","São Miguel do Anta","4 km E. of São Miguel do Anta","-42.7189","-20.7072","-42.7189","-20.7072","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00979929","NY00979929",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:29:26-03","NYBG","NYBG","00979622","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","obtusifolia","Senna obtusifolia","(L.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","H. S. Irwin","2107","1958","11","18","South America","Brazil","Minas Gerais","São Miguel do Anta","5 km E. of São Miguel","-42.7189","-20.7072","-42.7189","-20.7072","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00979622","NY00979622","1979",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:16:09-03","NYBG","NYBG","00982472","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","pubescens","Centrosema pubescens","Benth.","R. S. Cowan","H. S. Irwin","2109","1958","11","18","South America","Brazil","Minas Gerais","São Miguel do Anta","12 km E. of Sao Miguel do Anta","-42.7189","-20.7072","-42.7189","-20.7072","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108180 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00982472","NY00982472",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:17:54-03","NYBG","NYBG","00978727","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","nictitans","Chamaecrista nictitans pilosa","(Benth.) H.S.Irwin & Barneby",NA,"H. S. Irwin","2108","1958","11","18","South America","Brazil","Minas Gerais","São Miguel do Anta","6 km E. of Sao Miguel do Anta, Municipio de Sao Miguel","-42.7189","-20.7072","-42.7189","-20.7072","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062013 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00978727","NY00978727",NA,"pilosa",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-13 14:10:51-03","MN","R","130806","S","Plantae",NA,NA,"Fabaceae","Senna","cernua","Senna cernua","(Balb.) H.S. Irwin & Barneby","Bortoluzzi, R.L.C.","Irwin, H.S.","2106","1958","11","18",NA,"Brasil","Minas Gerais","São Miguel do Anta",NA,"-42.7188987731934","-20.7071990966797",NA,NA,NA,NA,NA,NA,"2003",NA,"01","31","14588","auto",NA,NA,NA
"6","2020-02-13 14:09:37-03","MN","R","128233","S","Plantae",NA,NA,"Fabaceae","Cassia","nictitans","Cassia nictitans var.pilosa","(Benth.) H.S. Irwin & Barneby","Irwin,H.S. & Barneby,R.","Irwin, H.S.","2108","1958","11","18",NA,"Brasil","Minas Gerais","São Miguel do Anta",NA,"-42.7188987731934","-20.7071990966797",NA,NA,NA,NA,NA,NA,"1976","var.pilosa",NA,NA,"14588","auto",NA,NA,NA
"7","2020-03-10 08:28:43-03","UFV","VIC","2154","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Endlicheria","hirsuta","Endlicheria hirsuta","Nees",NA,"Kulhmann.;","s.n.","1935","11","03",NA,"Brasil","Minas Gerais","São Miguel do Anta",NA,"-42.7188987731934","-20.7071990966797",NA,NA,NA,NA,"VIC002154",NA,NA,NA,NA,NA,"14588","auto",NA,NA,NA
"8","2020-03-10 08:29:44-03","UFV","VIC","2107","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Guapira","opposita","Guapira opposita","(Vell) Reitz",NA,"Kulhmann, J.G.","s.n.","1955","11","10",NA,"Brasil","Minas Gerais","São Miguel do Anta",NA,"-42.7188987731934","-20.7071990966797",NA,NA,NA,NA,"VIC002107",NA,NA,NA,NA,NA,"14588","auto",NA,NA,NA
"9","2020-03-10 08:29:10-03","UFV","VIC","2114","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae",NA,NA,NA,NA,NA,"Kulhmann.;","s.n.","1935","11","10",NA,"Brasil","Minas Gerais","São Miguel do Anta",NA,"-42.7188987731934","-20.7071990966797",NA,NA,NA,NA,"VIC002114","VIC002114",NA,NA,NA,NA,"14588","auto",NA,NA,NA
"10","2020-03-10 08:29:36-03","UFV","VIC","19355F","PreservedSpecimen","Plantae",NA,NA,"Mycosphaerellaceae","Cercospora","oryzae","Cercospora oryzae","I. Miyake",NA,"Muller, A.S.","259","1932","03","19",NA,"Brasil","Minas Gerais","São Miguel do Anta",NA,"-42.7188987731934","-20.7071990966797",NA,NA,NA,"Oryza sativa Linn.","VIC19355F",NA,NA,NA,NA,NA,"14588","auto",NA,NA,NA
