"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","dayIdentified","previousCatalogNumber","individualCount","class","infraspecificEpithet","relatedCatalogItem"
"1","2019-12-16 18:40:12-03","NYBG","NYBG","3908575","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora","C. Esgario","138","2007","03","20","South America","Brazil","Espírito Santo","São Roque do Canaã","Localidade Alto Misterioso, pedra 1.","-40.772","-19.80286","-40.77200","-19.80286","1136","1136","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364116 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908575","NY03908575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:19:59-03","NYBG","NYBG","01874736","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra aurea","L. J.-C. Kollmann","10112","2007","11","05","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.6568984985352","-19.738899230957",NA,NA,"950","950","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874736","NY01874736","aurea","(Cham.) Cogn.","M. Reginato; F. A. Michelangeli","2015","08","14641","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:21:24-03","NYBG","NYBG","2423173","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","Merianthera bullata","R. Goldenberg","2147","2015","04","30","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423173","NY02423173","bullata","R.Goldenb., Fraga & A.P.Fontana",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:23:13-03","NYBG","NYBG","2423183","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","Miconia flammea","R. Goldenberg","2150","2015","04","30","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423183","NY02423183","flammea","Casar.",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:22:55-03","NYBG","NYBG","2423192","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","R. Goldenberg","2163","2015","05","11","South America","Brazil","Espírito Santo","São Roque do Canaã","Mata na entrada da trilha para o Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423192","NY02423192","cubatanensis","Hoehne",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:25:33-03","NYBG","NYBG","2423196","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","Miconia valtheri","R. Goldenberg","2153","2015","04","30","South America","Brazil","Espírito Santo","São Roque do Canaã","Mata na entrada da trilha para o Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685479 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423196","NY02423196","valtheri","Naudin",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:26:34-03","NYBG","NYBG","2423191","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Ossaea","Ossaea consimilis","R. Goldenberg","2164","2015","05","11","South America","Brazil","Espírito Santo","São Roque do Canaã","Mata na entrada da trilha para o Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423191","NY02423191","consimilis","Souza",NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:27:13-03","NYBG","NYBG","2423200","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","Tibouchina fothergillae","Collector unknown","139","2015","05","11","South America","Brazil","Espírito Santo","São Roque de Canaã","Luxemburgo, subida para o Alto Misterioso.","-40.7719","-19.8028","-40.7719","-19.8028",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685484 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423200","NY02423200","fothergillae","(DC.) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:20:16-03","NYBG","NYBG","02104726","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","M. Reginato","1192","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02104726","NY02104726","foveolata","Cogn.","M. Reginato","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:20:15-03","NYBG","NYBG","02104712","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra fontanae","R. Goldenberg","1520","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568144 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02104712","NY02104712","fontanae","Reginato & R.Goldenb.",NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"11","2019-12-16 18:20:16-03","NYBG","NYBG","01874744","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra foveolata","M. Simonelli","1367","2007","11","25","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.76978","-19.32042","-40.76978","-19.32042","983","983","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874744","NY01874744","foveolata","Cogn.","M. Reginato; F. A. Michelangeli","2015","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 18:06:19-03","NYBG","NYBG","1198396","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","Banisteriopsis nummifera","P. Fiaschi","3123","2006","07","20","South America","Brazil","Espírito Santo","São Roque de Canaã","Estrada para 25 de Julho, ramal a direita, na estrada ds cidade.",NA,NA,NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1309247 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01198396","NY01198396","nummifera","(A.Juss.) B.Gates","W. R. Anderson","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:17:03-03","NYBG","NYBG","1738507","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Behuria","Behuria comosa","R. Goldenberg","1518","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568142 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01738507","NY01738507","comosa","Tav., Baumgratz & R.Goldenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:17:55-03","NYBG","NYBG","1654141","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","Cambessedesia eichleri","F. A. Michelangeli","1599","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Trail to Alto Misterioso, W of Jacutinga, exposed rocks below the summit","-40.77098333333","-19.80378333333","-40.77098333333","-19.80378333333","1060","1060","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568293 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01654141","NY01654141","eichleri","Cogn.","R. Goldenberg","2011","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:18:30-03","NYBG","NYBG","1654137","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","Clidemia hirta","F. A. Michelangeli","1596","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Road from Jacutinga to Sao Roque de Canaa","-40.77026666666","-19.80355","-40.77026666666","-19.80355","1042","1042","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01654137","NY01654137","hirta","(L.) D.Don","F. A. Michelangeli","2011","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 18:19:58-03","NYBG","NYBG","2530362","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra","L. J.-C. Kollmann","s.n.","2006","03","04","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2767881 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02530362","NY02530362",NA,NA,"F. A. Michelangeli","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 18:19:58-03","NYBG","NYBG","2530370","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra","R. Goldenberg","2148","2015","04","30","South America","Brazil","Espírito Santo","São Roque do Canaã","Mata na entrada da trilha para o Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2767890 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02530370","NY02530370",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 18:19:59-03","NYBG","NYBG","02104722","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra amplexicaulis","M. Reginato","1187","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085060 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02104722","NY02104722","amplexicaulis","DC.","M. Reginato","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 18:19:59-03","NYBG","NYBG","02098894","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra aurea","M. Reginato","1191","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085064 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098894","NY02098894","aurea","(Cham.) Cogn.","M. Reginato","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 18:19:59-03","NYBG","NYBG","02098839","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra australis","F. A. Michelangeli","1600","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Trail to Alto Misterioso, W of Jacutinga, at edge of coffee plantation","-40.7699","-19.80385","-40.7699","-19.80385","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098839","NY02098839","australis","(Cham.) Cogn.","M. Reginato","2011","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 18:20:15-03","NYBG","NYBG","02104709","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","Leandra diffusa","R. Goldenberg","1522","2011","02","06","South America","Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.46109","-19.48259","-40.46109","-19.48259",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568146 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02104709","NY02104709","diffusa","Cogn.","F. A. Michelangeli","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
