"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","order","infraspecificEpithet"
"1","2019-10-09 11:13:41-03","UFBA","ALCB","129144","PreservedSpecimen","Plantae","Dicotyledon","Ericaceae","Agarista","Agarista","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6264","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro.","-43.326944","-19.346111","-43.326944","-19.346111","931","931","ca 1,7m de altura; campo rupestre","ALCB046619","ALCB046619",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:21:02-03","UFBA","ALCB","129142","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Calyptranthes","Calyptranthes brasiliensis","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6263","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro.","-43.326944","-19.346111","-43.326944","-19.346111","931","931","ca 1,5m de altura, frutos imaturos verdes; Campo rupestre","ALCB045555","ALCB045555","brasiliensis","Spreng.","Faria, JEG","2016","07",NA,NA,NA,NA
"3","2019-10-09 11:21:18-03","UFBA","ALCB","129143","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Marlierea","Marlierea excoriata","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6257","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro.","-43.296667","-19.309722","-43.296667","-19.309722","697","697","ca 4,5 m de altura, caule liso soltando finas placas de ritidoma, botões florais verdes.; Floresta estacional semidecidual","ALCB045535","ALCB045535","excoriata","Mart.","Faria, JEG","2016","07",NA,NA,NA,NA
"4","2019-10-09 11:21:32-03","UFBA","ALCB","129145","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia","Myrcia multipunctata","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6259","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro.","-43.305556","-19.318889","-43.305556","-19.318889","775","775","ca 1,8 m de altura, botões florais verdes; campo rupestre","ALCB046620","ALCB046620","multipunctata","Mazine","Stadnik, A; Melo, JDO; Lucresia, L","2019","06",NA,NA,NA,NA
"5","2020-03-05 16:12:21-03","UFC","EAC","64060","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","Eugenia florida","Gontijo, F.D.","524","2014","11","18","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto.",NA,"-43.297222","-19.341111","-43.297222","-19.341111","799","799","Arbóreo, altura 3,5-4,0 m.; Floresta estacional semidecidual.","EAC0064060",NA,"florida","DC.","Sobral, M.","2015","05","18",NA,NA,NA
"6","2020-03-05 16:12:32-03","UFC","EAC","64072","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","Myrcia multipunctata","Gontijo, F.D.","877","2014","08","25","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto.",NA,"-43.303333","-19.349722","-43.303333","-19.349722","847","847","Arbóreo.; Floresta estacional semidecidual em estágio médio de regeneração.","EAC0064072",NA,"multipunctata","Mazine","Loiola, M.I.B.","2020","03",NA,NA,NA,NA
"7","2019-10-02 14:53:26-03","UFMG","BHCB","185861","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Abarema","Abarema villosa","Gontijo, FD; Tameirão Neto, E; Souza, DT","875","2014","08","25","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto",NA,"-43.303372","-19.349681","-43.303372","-19.349681","847","847","Arbóreo; Frutificação; Altura 6m; Floresta estacional semidecidual","BHCB185861",NA,"villosa","Iganci & M.P.Morim",NA,"2015","05","22",NA,NA,NA
"8","2019-10-02 14:49:26-03","UFMG","BHCB","186085","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Baccharis","Baccharis ligustrina","Gontijo, FD","465","2014","11","04","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto",NA,"-43.291392","-19.323539","-43.291392","-19.323539",NA,NA,"Arbustivo/Subarbustivo; Floração; Sobre quartzito, altura 1,10m; Campo rupestre sobre formação quartzítica","BHCB186085",NA,"ligustrina","DC.",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-02 14:49:32-03","UFMG","BHCB","185856","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Baccharis","Baccharis serrulata","Gontijo, FD; Tameirão Neto, E; Souza, DT","870","2014","08","25","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto",NA,"-43.298592","-19.337453","-43.298592","-19.337453","746","746","Arbustivo/Subarbustivo; Floração; Borda de FES; Floresta estacional semidecidual candeial","BHCB185856",NA,"serrulata","(Laam.) Pers.",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-02 14:53:46-03","UFMG","BHCB","186088","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Chamaecrista","Chamaecrista mucronata","Gontijo, FD","468","2014","11","04","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto",NA,"-43.293386","-19.322889","-43.293386","-19.322889",NA,NA,"Arbustivo/Subarbustivo; Floração; Sobre quartzito. Altura 1m; Campo rupestre sobre formação quartzítica","BHCB186088",NA,"mucronata","(Spreng.) H.S.Irwin & Barneby",NA,"2015","05","22",NA,NA,NA
