"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","coordinatePrecision","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-03-10 08:27:09-03","UFV","VIC","6018","PreservedSpecimen","Plantae","Asteraceae","Cosmos","caudatus","Cosmos caudatus","Kunth","Herbário UEC","1985","12","Garcia, M.V.B.","s.n.","1984","03","24","Brasil","Minas Gerais","Sem Peixe","Próximo à São Miguel do Anta","Semi-arbustiva, c.a. de 1,5 metros de altura, folhas opstas partidas, flores em capítulos com lígulas alaranjadas.","VIC006018","VIC006018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:27:12-03","UFV","VIC","6016","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","inulifolium","Eupatorium inulifolium","Kunth","Herbário UEC","1985","12","Garcia, M.V.B.","s.n.","1984","03","24","Brasil","Minas Gerais","Sem Peixe","Próximo à São Miguel do Anta","Arbusto, c.a. de 2,5 metros de altura; inflorescência axilar.","VIC006016","VIC006016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:29-03","UFV","VIC","37784","PreservedSpecimen","Plantae","Mimosoideae","Senegalia","giganticarpa","Senegalia giganticarpa","(G.P. Lewis) Seigler & Ebinger","Batista, M.L.","2012","05","Batista, M.L.; Vieira, D.M.","s.n.","2012","05","29","Brasil","Minas Gerais","Sem Peixe","Estrada de terra, às margens do Rio Doce.","Árvore, c.a. de 11 metros de altura, com frutos e apresentando acúleos no tronco.","VIC037784",NA,"29","-42.775556","-20.050556","-42.775556","-20.050556",NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:31-03","UFV","VIC","6014","PreservedSpecimen","Plantae","Mimosoideae","Senegalia","tenuifolia","Senegalia tenuifolia","(L.) Britton & Rose","Barros, M.","2010","12","Garcia, M.V.B.","s.n.","1984","03","24","Brasil","Minas Gerais","Sem Peixe","Próximo à São Miguel do Anta","Árvore, c.a. de 4,0 metros de altura; caule provido de espinhos, flores em inflorescências terminais.","VIC006014","VIC006014","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:28:55-03","UFV","VIC","6017","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon",NA,"Stigmaphyllon",NA,NA,NA,NA,"Garcia, M.V.B.","s.n.","1984","03","24","Brasil","Minas Gerais","Sem Peixe",NA,"Trepadeira de flores amarelas, abelha observada Apis mellifera","VIC006017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:05:19-03","UNICAMP","UEC","43478","S","Plantae","Asteraceae","Cosmos","sulphureus","Cosmos sulphureus","Cav.","Magenta, M","1998","03","Garcia, MVB","6018","1984","03","24","Brazil","Minas Gerais","Sem-Peixe","Próximo a São Miguel do Anta.","Arbusto, ca. 1,5 m de altura, flores em capítulos com lígulas alaranjadas, folhas opostas partidas.","UEC124746","UEC124746",NA,"-42.8394012451172","-20.1091995239258",NA,NA,"Magnoliopsida","13437","auto",NA,NA,NA
"7","2019-12-04 12:52:31-03","UTFPR","HCF","30000","S","Plantae","Poaceae","Steinchisma","laxum","Steinchisma laxum","(Sw.) Zuloaga","F. Marinero & J. Cordeiro","2018","12","F. Marinero","1022","2018","11","17","Brasil","MG","Sem Peixe","Rio Doce","herbácea 30 cm. Espiguetas verde-arroxeadas. Várzea.",NA,NA,"10","-42.786389","-20.063056","42°47'11 W","20°03'47 S",NA,NA,NA,NA,NA,NA
"8","2019-12-06 14:40:22-03","MBM","MBM","418772","S","Plantae","Convolvulaceae","Ipomoea","tiliacea","Ipomoea tiliacea","(Willd.) Choisy","Marinero, F.","2019","03","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1032","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418772",NA,"22","-42.753611","-20.049444","-42.753611","-20.049444",NA,NA,NA,"Southern America","277","277"
"9","2019-12-06 15:12:11-03","MBM","MBM","418756","S","Plantae","Orobanchaceae","Melasma","melampyroides","Melasma melampyroides","(Rich.) Pennell","Marinero, F.","2019","04","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1016","2018","11","16","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418756",NA,"26","-42.759444","-20.024444","-42.759444","-20.024444",NA,NA,NA,"Southern America","283","283"
"10","2019-12-06 15:23:23-03","MBM","MBM","418758","S","Plantae","Thelypteridaceae","Meniscium","arborescens","Meniscium arborescens","Willd.","Engels, M.E.","2019","04","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1018","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418758",NA,"11","-42.786389","-20.063056","-42.786389","-20.063056",NA,NA,NA,"Southern America","278","278"
"11","2019-12-06 14:26:38-03","MBM","MBM","418764","S","Plantae","Apocynaceae","Oxypetalum","alpinum","Oxypetalum alpinum","(Vell.) Fontella & Schwarz","Marinero, F.","2019","05","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1024","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418764",NA,"16","-42.763611","-20.081944","-42.763611","-20.081944",NA,NA,NA,"Southern America","275","275"
"12","2019-12-06 15:14:54-03","MBM","MBM","418757","S","Plantae","Poaceae","Panicum",NA,"Panicum",NA,NA,NA,NA,"Marinero, F.; Nardin, E.C.; Nardin, E.C.","1017","2018","11","16","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418757",NA,NA,"-42.759444","-20.024444","-42.759444","-20.024444",NA,NA,NA,"Southern America","283","283"
"13","2019-12-06 15:03:23-03","MBM","MBM","418766","S","Plantae","Malvaceae","Pavonia","communis","Pavonia communis","St. Hil.","Marinero, F.","2019","01","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1026","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418766",NA,"30","-42.763611","-20.081944","-42.763611","-20.081944",NA,NA,NA,"Southern America","275","275"
"14","2019-12-06 15:15:31-03","MBM","MBM","418762","S","Plantae","Poaceae","Steinchisma","laxum","Steinchisma laxum","(Sw.) Zuloaga","Cordeiro, J.; Marinero, F.","2018","12","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1022","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418762",NA,"10","-42.786389","-20.063056","-42.786389","-20.063056",NA,NA,NA,"Southern America","278","278"
"15","2019-12-06 14:23:59-03","MBM","MBM","418755","S","Plantae","Acanthaceae","Thunbergia","alata","Thunbergia alata","Bojer ex Sims","Marinero, F.","2019","05","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1015","2018","11","16","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418755",NA,"14","-42.759444","-20.024444","-42.759444","-20.024444",NA,NA,NA,"Southern America","283","283"
"16","2019-12-06 15:15:34-03","MBM","MBM","418771","S","Plantae","Poaceae","Urochloa","arrecta","Urochloa arrecta","(Hack. ex T. Durand & Schinz) Morrone & Zuloaga","Marinero, F.","2018","12","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1031","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418771",NA,"10","-42.753611","-20.049444","-42.753611","-20.049444",NA,NA,NA,"Southern America","277","277"
"17","2019-12-06 15:10:43-03","MBM","MBM","418759","S","Plantae","Ochnaceae","Sauvagesia","erecta","Sauvagesia erecta","L.","Marinero, F.","2019","04","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1019","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418759",NA,"05","-42.786389","-20.063056","-42.786389","-20.063056",NA,NA,NA,"Southern America","278","278"
"18","2019-12-06 14:51:12-03","MBM","MBM","418768","S","Plantae","Fabaceae","Sigmoidotropis","speciosa","Sigmoidotropis speciosa","(Kunth) A. Delgado","Marinero, F.","2019","03","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1028","2018","11","17","Brazil","Minas Gerais","Sem peixe","Rio Doce",NA,"MBM418768",NA,"13","-42.763611","-20.081944","-42.763611","-20.081944",NA,NA,NA,"Southern America","275","275"
