"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","monthIdentified","coordinatePrecision","geoFlag","identifiedBy","dayIdentified","imagecode"
"1","2020-02-18 22:20:11-03","UFMG","BHCB","201547","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Helicteres","brevispira","Helicteres brevispira","A.St.-Hil.","2015","Costa, MTR","305","2014","04","18","Southern America","Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina","-44.083333","-21.668056","-44.083333","-21.668056","1103","1103","Arvoreta de 1,8m de altura, com frutos","BHCB201547",NA,NA,NA,NA,NA,NA
"2","2019-10-02 14:56:30-03","UFMG","BHCB","199172","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Sida","caudata","Sida caudata","A.St.-Hil. & Naudin","2014","Costa, MTR","92","2014","04","18","Southern America","Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina","-44.081111","-21.659722","-44.081111","-21.659722","1104","1104","Arbusto de 1,5m de altura com flores amarelas e frutos.","BHCB199172","05",NA,NA,NA,NA,NA
"3","2020-02-18 22:20:11-03","UFMG","BHCB","201570","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Triumfetta","rhomboidea","Triumfetta rhomboidea","Jacq.","2015","Costa, MTR","306","2014","04","18","Southern America","Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina","-44.083333","-21.668056","-44.083333","-21.668056","1103","1103","Arbusto de 0,5m de altura com flores amarelas e frutos","BHCB201570",NA,NA,NA,NA,NA,NA
"4","2020-02-18 22:19:56-03","UFMG","BHCB","201596","PreservedSpecimen","Plantae","Dicotyledon","Campanulaceae",NA,NA,NA,NA,NA,"Costa, MTR; Oliveira, D","192","2014","08","31","Southern America","Brasil","Minas Gerais","Senhora dos Remédios","Palmital dos Carvalhos","-43.5825004577637","-21.0280990600586",NA,NA,NA,NA,"Arbusto de 0,5m de altura, com flores vermelhas","BHCB201596",NA,"13244","auto",NA,NA,NA
"5","2019-10-02 14:56:27-03","UFMG","BHCB","199179","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Pavonia","comunis","Pavonia comunis","A.St.-Hil.","2014","Costa, MTR","98","2014","04","18","Southern America","Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina, 20º99'35S, 43º64'52W","-43.5825004577637","-21.0280990600586",NA,NA,"1104","1104","Arbusto de 0,6 m de altura com frutos.","BHCB199179","04","13244","auto",NA,NA,NA
"6","2019-10-02 14:56:37-03","UFMG","BHCB","199177","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Wissadula","parviflora","Wissadula parviflora","(A.St.-Hil.) R.E.Fr.",NA,"Costa, MTR","96","2014","04","18","Southern America","Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina, 20º99'65S, 43º65'00W","-43.5825004577637","-21.0280990600586",NA,NA,"1103","1103","Arbusto de 1 m de altura com flores amarelas e frutos.","BHCB199177",NA,"13244","auto",NA,NA,NA
"7","2019-12-20 18:46:31-03","UFSJ","HUFSJ","7196","S","Plantae",NA,"Fabaceae","Desmodium",NA,"Desmodium",NA,NA,"Costa, MTR","99","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.081056","-21.659806","-44.081056","-21.659806","110","110","Arbusto de 0,7 m de altura com flores arroxeadas e frutos.","HUFSJ007196",NA,NA,NA,NA,NA,NA
"8","2019-12-20 18:46:35-03","UFSJ","HUFSJ","7952","S","Plantae",NA,"Malvaceae","Helicteres","brevispira","Helicteres brevispira","A.St.-Hil.","2015","Costa, MTR","305","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.083417","-21.668083","-44.083417","-21.668083","110","110","Arvoreta de 1,8 m de altura com frutos.","HUFSJ007952","07",NA,NA,"Costa, MTR",NA,NA
"9","2019-12-20 18:46:28-03","UFSJ","HUFSJ","7191","S","Plantae",NA,"Acanthaceae","Justicia",NA,"Justicia",NA,NA,"Costa, MTR","94","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.083417","-21.668083","-44.083417","-21.668083","110","110","Erva de 0,5 m de altura com flores liláses.","HUFSJ007191",NA,NA,NA,NA,NA,NA
"10","2019-12-20 18:46:35-03","UFSJ","HUFSJ","7194","S","Plantae",NA,"Melastomataceae",NA,NA,NA,NA,NA,"Costa, MTR","97","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.081056","-21.659806","-44.081056","-21.659806","110","110","Arbusto de 1 m de altura com flores roxas.","HUFSJ007194",NA,NA,NA,NA,NA,NA
"11","2019-12-20 18:46:35-03","UFSJ","HUFSJ","7198","S","Plantae",NA,"Melastomataceae",NA,NA,NA,NA,NA,"Costa, MTR","101","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.081056","-21.659806","-44.081056","-21.659806","110","110","Arbusto de 1,3 m de altura com flores liláses.","HUFSJ007198",NA,NA,NA,NA,NA,NA
"12","2019-12-20 18:46:35-03","UFSJ","HUFSJ","7195","S","Plantae",NA,"Malvaceae","Pavonia","communis","Pavonia communis","A.St.-Hil.","2014","Costa, MTR","98","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.081056","-21.659806","-44.081056","-21.659806","110","110","Arbusto de 0,6 m de altura com frutos.","HUFSJ007195","04",NA,NA,"Costa, MTR",NA,NA
"13","2019-12-20 18:46:35-03","UFSJ","HUFSJ","7192","S","Plantae",NA,"Malvaceae","Pavonia","sepium","Pavonia sepium","A.St.-Hil.","2014","Costa, MTR","95","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.083417","-21.668083","-44.083417","-21.668083","110","110","Arbusto de 0,7 m de altura com flores amarelas e frutos.","HUFSJ007192","04",NA,NA,"Costa, MTR",NA,NA
"14","2019-12-20 18:46:49-03","UFSJ","HUFSJ","7190","S","Plantae",NA,"Rubiaceae",NA,NA,NA,NA,NA,"Costa, MTR","93","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.083417","-21.668083","-44.083417","-21.668083","110","110","Arbusto de 1,6 m de altura com frutos arroxeados.","HUFSJ007190",NA,NA,NA,NA,NA,NA
"15","2019-12-20 18:46:35-03","UFSJ","HUFSJ","7189","S","Plantae",NA,"Malvaceae","Sida","caudata","Sida caudata","A.St.-Hil. & Naudin","2014","Costa, MTR","92","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.081056","-21.659806","-44.081056","-21.659806","110","110","Arbusto de 1,5 m de altura com flores amarelas e frutos.","HUFSJ007189","05",NA,NA,"Costa, MTR",NA,NA
"16","2019-12-20 18:46:51-03","UFSJ","HUFSJ","7197","S","Plantae",NA,"Talinaceae","Talinum","paniculatum","Talinum paniculatum","(Jacq.) Gaertn.","2014","Costa, MTR","100","2014","04","18",NA,"Brasil","Minas Gerais","Senhora dos Remédios","Pedra Menina.","-44.081056","-21.659806","-44.081056","-21.659806","110","110","Arbusto de 0,15-0,2 m de altura com flor rosada e frutos vermelhos.","HUFSJ007197","07",NA,NA,"Sobral, M","15",NA
