"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","phylum","class","order"
"1","2020-03-10 08:27:42-03","UFV","VIC","15675","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","carinata","Pitcairnia carinata","Mez","Leme E.M.C.","1996","10","de Paula, C.C.","1090","1996","01","12","Brasil","Minas Gerais","Sericita #?#PESB#?#","Serra do Matipó, vertente do corrego São José em área de campo.","Rupícola heliófila crescendo na fenda das rochas, inflorescência vistosa vermelha com pétalas vermelhas. Planta abundante em locais úmidos.","VIC015675","VIC015675",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:27:39-03","UFV","VIC","15666","PreservedSpecimen","Plantae","Bromeliaceae","Alcantarea","extensa","Alcantarea extensa","(L.B.Sm.) J.R.Grant","Paula, C.C. de","1996","03","Paula, C.C. de","1092","1996","01","12","Brasil","Minas Gerais","Sericita","Parque Estadual da Serra do Brigadeiro, Serra de Matipó, trilha junto ao córrego São José numa rocha próxima a trilha","Rupícola, heliófila inflorescência com +- 1,0 m; brácteas verdes com margens e base avermelhadas, pétals brancas finas e flexíveis; estames exertos, brancos.","VIC015666","VIC015666","20","-42.4818992614746","-20.4738998413086","13633","auto",NA,NA,NA,NA
"3","2020-03-10 08:27:44-03","UFV","VIC","015681","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","stricta","Tillandsia stricta","Sol. ex Sims",NA,NA,NA,"de Paula, C.C.","1087","1996","01","12","Brasil","Minas Gerais","Sericita","PESB, Serra do matipó, trilha junto ao córrego São José em árvore isolada em área desmatada a cerca de 2 km da vila a cerca de 100 m de altitude.","Epífita planta em colônia abundante, brácteas cinzas, inflorescência compacta em frutifcação.","VIC015681","VIC015681",NA,"-42.4818992614746","-20.4738998413086","13633","auto",NA,NA,NA,NA
"4","2020-03-10 08:27:44-03","UFV","VIC","015678","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","gardineri","Tillandsia gardineri","L.",NA,NA,NA,"de Paula, C.C.","1088","1996","01","12","Brasil","Minas Gerais","Sericita","PESB, Trilha junto a córrego São José em árvore isolada em área desmatada a cerca de 2 km da vila a cerca de 1300 m de altitude.","Epífita de cerca de 3 m, do solo em árvore isolada, planta de cor cinza, flores rosas brácteas florais cinza.","VIC015678","VIC015678",NA,"-42.4818992614746","-20.4738998413086","13633","auto",NA,NA,NA,NA
"5","2020-03-10 08:27:38-03","UFV","VIC","015663","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","organensis","Aechmea organensis","Wawra",NA,NA,NA,"de Paula, C.C.","1089","1996","01","12","Brasil","Minas Gerais","Sericita","PESB, vertente do córrego São José em ocha em área desmatada a cerca de 1500m de altitude.","Rupícola crescendo na fenda de rocha,brácteas roseas,inflorescência rosa, flores azuis.","VIC015663","VIC015663",NA,"-42.4818992614746","-20.4738998413086","13633","auto",NA,NA,NA,NA
"6","2019-12-06 14:44:15-03","MBM","MBM","274624","S","Plantae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A. Juss.) Baill.","Cordeiro, I.","2009","04","Salino, A.","3828","1997","12","03","Brazil","Minas Gerais","Sericita","Fazenda Boa Vista.","Arbustocom folhas herbáceas, flores creme. Floresta semidecídua de encosta.","MBM274624","MBM274624",NA,"-42.4818992614746","-20.4738998413086","13633","auto","Southern America",NA,NA,NA
"7","2019-10-02 14:59:30-03","UFMG","BHCB","40490","PreservedSpecimen","Plantae","Meliaceae","Cedrela","fissilis","Cedrela fissilis","Vell.",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Sericita","Fazenda Boa Vista.",NA,NA,NA,NA,"-42.4818992614746","-20.4738998413086","13633","auto","Southern America","Dicotyledon",NA,NA
"8","2019-10-02 15:02:00-03","UFMG","BHCB","40489","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Sericita","Fazenda Boa Vista.",NA,NA,NA,NA,"-42.4818992614746","-20.4738998413086","13633","auto","Southern America","Dicotyledon",NA,NA
"9","2019-10-02 15:02:07-03","UFMG","BHCB","40486","PreservedSpecimen","Plantae","Rubiaceae","Bathysa",NA,"Bathysa",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Sericita","Fazenda Boa Vista.",NA,NA,NA,NA,"-42.4818992614746","-20.4738998413086","13633","auto","Southern America","Dicotyledon",NA,NA
"10","2019-10-02 15:02:22-03","UFMG","BHCB","40481","PreservedSpecimen","Plantae","Rubiaceae","Faramea","multiflora","Faramea multiflora","A.Rich.",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Sericita","Fazenda Boa Vista.",NA,NA,NA,NA,"-42.4818992614746","-20.4738998413086","13633","auto","Southern America","Dicotyledon",NA,NA
