"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","previousCatalogNumber","infraspecificEpithet","typeStatus","class","relatedCatalogItem"
"1","2019-12-16 18:57:26-03","NYBG","NYBG","985254","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","Cupania","H. T. Beck","M. S. Menandro","93","1986","05","31","South America","Brazil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita.","-43.1697","-18.3619","-43.1697","-18.3619","900","900","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1082711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00985254","NY00985254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:33:08-03","NYBG","NYBG","02042852","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia tucanorum",NA,"M. S. Menandro","87","1986","05","20","South America","Brazil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita.","-43.1697","-18.3619","-43.1697","-18.3619","900","900","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2184473 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02042852","NY02042852","tucanorum","Mart.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:09:52-03","UFBA","ALCB","106095","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Baccharis","Baccharis",NA,"Roque, N; Quaresma, AS","3745","2012","09","26","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","Cachoeira do Rio Vermelho","-43.303333","-18.3875","-43.303333","-18.3875","1158","1158",NA,"com ramos decumbentes, folhas levemente discolores. Brácteas involucrais verdes, corola creme.; Planta dióica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:20-03","UFBA","ALCB","106090","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dasyphyllum","Dasyphyllum flagellare","Saavedra, MM","Roque, N; Quaresma, AS","3740","2012","09","26","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","Parque Estadual do Pico do Itambé. Trilha para a Cachoeira do Rio Vermelho","-43.302778","-18.390556","-43.302778","-18.390556","1182","1182",NA,"folhas discolores. Brácteas involucrais verde-castanhas. Flores passadas, pápus estramíneo.",NA,NA,"flagellare","(Casar.) Cabrera","2014","06","05",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:20-03","UFBA","ALCB","106093","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dasyphyllum","Dasyphyllum sprengelianum","Moura, L","Roque, N; Quaresma, AS","3743","2012","09","26","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","Parque Estadual do Pico do Itambé. Após a Cachoeira do Rio Vermelho","-43.302778","-18.390556","-43.302778","-18.390556","1182","1182",NA,"ca. 2m alt., folhas discolores. Brácteas involucrais castanhas, corola creme, pápus estramíneo.",NA,NA,"sprengelianum","(Gardner) Cabrera","2012","10",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:26-03","UFBA","ALCB","106091","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Eremanthus","Eremanthus erythropappus",NA,"Roque, N; Quaresma, AS","3741","2012","09","26","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","Parque Estadual do Pico do Itambé. Após a Cachoeira do Rio Vermelho","-43.306667","-18.383056","-43.306667","-18.383056","1289","1289",NA,"ca. 1,7m alt., folhas discolores (verdes passando a negras após coletadas). Corola lilás. Odor desagradável após coletada.",NA,NA,"erythropappus","(DC.) MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:26-03","UFBA","ALCB","106094","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Eremanthus","Eremanthus polycephalus",NA,"Roque, N; Quaresma, AS","3744","2012","09","26","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","Parque Estadual do Pico do Itambé. Após a Cachoeira do Rio Vermelho","-43.302778","-18.390556","-43.302778","-18.390556","1182","1182",NA,"ca. 4m alt., folhas discolores. Brácteas involucrais verde-cinéras, corola lilás, pápus róseo. Formigas como visitantes florais.",NA,NA,"polycephalus","(DC.) MacLeish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:14:38-03","UFBA","ALCB","16855","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Jatropha","Jatropha ribifolia","Noblick, LR","Noblick, LR; Lemos, C","4169","1985","07","17","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","7 km W de Bonito da Serra Preta - Fazenda Santa Clara","-39.333333","-12.166667","-39.333333","-12.166667",NA,NA,NA,"Ca. 1 m de altura. Corola amarela.","ALCB053858",NA,"ribifolia","(Pohl) Baill.","1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:11:07-03","UFBA","ALCB","106092","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","Piptolepis monticola","Cândido, JB","Roque, N; Quaresma, AS","3742","2012","09","26","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","Parque Estadual do Pico do Itambé. Após a Cachoeira do Rio Vermelho","-43.306667","-18.383056","-43.306667","-18.383056","1289","1289",NA,"até 1,8m alt., folhas discolores, cinéreas. Corola lilás.",NA,NA,"monticola","Loeuille","2018","11","05",NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:21:33-03","UFBA","ALCB","40428","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","Myrcia splendens","Gomes, FS","Hatschbach, G; Hatschbach, M; Barbosa, E","67405","1997","11","22","Southern America","Brasil","Minas Gerais","Serra Azul de Minas","Rod. Serra Azul de Minas para Rio Vermelho, BR-259","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Ca. 4 m de altura. Fruto preto.","ALCB060082",NA,"splendens","(Sw.) DC.","2010","05",NA,"17198","auto",NA,NA,NA,NA,NA
