"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","continentOcean","preparationType","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem","relationshipType"
"1","2020-03-04 15:25:13-03","UNESC","CRI","9110","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","Tibouchina","A.L. de Gasper","2833","2011","04","10","Brasil","Minas Gerais","Serro","Estrada entre Milho Verde e São Gonçalo do Rio das Pedras.","-43.493367","43º29'602''W","18º26'2505''S","1181","1181","CRI004460","CRI004460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","3228","S","Plantae","Bromeliaceae","Billbergia","Billbergia porteana","Lucas Assis; Kelen Soares",NA,"2013","10","04","Brasil","Minas Gerais","Serro","Margem da estrada que liga Serro a Diamantina","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Poales","porteana","Brongn. ex Beer","Lucas Assis","2013","10","07","-18.604700088501","37754","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2001","S","Plantae","Orchidaceae","Cattleya","Cattleya sp.","Telma Sueli Mesquita Grandi;",NA,NA,NA,NA,"Brasil","Minas Gerais","Serro","Milho Verde","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales","sp.",NA,NA,NA,NA,NA,"-18.604700088501","37754",NA,"254","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3231","S","Plantae","Orchidaceae","Encyclia","Encyclia cf. patens","Lucas Assis; Kelen Soares",NA,"2013","10","04","Brasil","Minas Gerais","Serro","Margem da estrada que liga Serro a Diamantina","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales","cf. patens","Hook.","Lucas Assis","2013","10","07","-18.604700088501","37754",NA,"254","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3230","S","Plantae","Orchidaceae","Ionopsis","Ionopsis utricularioides","Lucas Assis; Kelen Soares",NA,"2013","10","04","Brasil","Minas Gerais","Serro","Margem da estrada que liga Serro a Diamantina","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales","utricularioides","(Sw.) Lindl.","Lucas Assis","2013","10","07","-18.604700088501","37754",NA,"254","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","3233","S","Plantae","Polypodiaceae","Pleopeltis","Pleopeltis macrocarpa","Lucas Assis; Kelen Soares",NA,"2013","10","04","Brasil","Minas Gerais","Serro","Margem da estrada que liga Serro a Diamantina","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Pteridophyta",NA,"macrocarpa","(Bory ex Willd.) Kaulf.","Lucas Assis","2013","10","07","-18.604700088501","37754",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3232","S","Plantae","Orchidaceae","Polystachya","Polystachya sp.","Lucas Assis; Kelen Soares",NA,"2013","10","04","Brasil","Minas Gerais","Serro","Margem da estrada que liga Serro a Diamantina","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales","sp.",NA,"Lucas Assis","2013","10","07","-18.604700088501","37754",NA,"254","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1371","S","Plantae","Cactaceae","Rhipsalis","Rhipsalis cf. lindbergiana","Rubens Custodio;",NA,NA,NA,NA,"Brasil","Minas Gerais","Serro","Milho Verde","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","cf. lindbergiana","K.Schum.","Nygel Taylor",NA,NA,NA,"-18.604700088501","37754","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","3229","S","Plantae","Cactaceae","Rhipsalis","Rhipsalis russellii","Lucas Assis; Kelen Soares",NA,"2013","10","04","Brasil","Minas Gerais","Serro","Margem da estrada que liga Serro a Diamantina","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","russellii","Britton & Rose","Lucas Assis","2013","10","07","-18.604700088501","37754","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1368","S","Plantae","Cactaceae","Rhipsalis","Rhipsalis russellii","Rubens Custódio;",NA,NA,NA,NA,"Brasil","Minas Gerais","Serro","Milho Verde","-43.3793983459473",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Caryophyllales","russellii","Britton & Rose","Rubens Custódio Mota",NA,NA,NA,"-18.604700088501","37754","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 18:08:02-03","NYBG","NYBG","00916197","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","Peixotoa glabra","G. G. Hatschbach","28921","1972","01","19","Brazil","Minas Gerais","Serro","Rod. MG-2, entre Serro e Datas","-43.3792","-43.3792","-18.6047",NA,NA,"NY00916197","NY00916197","Magnoliophyta","Malpighiales","glabra","A.Juss.","W. R. Anderson","1974",NA,NA,"-18.6047",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"12","2019-12-16 16:39:42-03","NYBG","NYBG","921333","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","Phlegmariurus intermedius","N. Hensold","601","1982","04","05","Brazil","Minas Gerais","Serro","Along foot trail from Sto. Antônio do Itambé.","-43.3794","-43.3794","-18.6047","1700","2000","NY00921333","NY00921333","Lycopodiophyta","Lycopodiales","intermedius","(Trevis.) B.Øllg.","W. L. Testo","2017","11",NA,"-18.6047",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA
