"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","continentOcean","coordinatePrecision","geoFlag","yearIdentified","monthIdentified"
"1","2020-03-10 08:28:13-03","UFV","VIC","31825","PreservedSpecimen","Plantae","Cucurbitaceae","Momordica","charantia","Momordica charantia","L.","Ferreira, R.M.","s.n.","2008","02","10","Brasil","Minas Gerais","Silveirânia","Sítio Paraíso","-43.216569","-21.158528","-43.216569","-21.158528","Liana com fruto verde.","VIC031825","VIC031825",NA,NA,NA,NA,NA,NA
"2","2019-10-02 14:56:55-03","UFMG","BHCB","35793","PreservedSpecimen","Plantae","Melastomataceae","Leandra",NA,"Leandra",NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"3","2019-12-23 17:49:34-03","UFMG","BHCB","35769","PreservedSpecimen","Plantae","Fabaceae","Dalbergia",NA,"Dalbergia","Lindl.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"4","2019-10-02 14:59:28-03","UFMG","BHCB","35805","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","DC.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"5","2019-10-02 14:59:28-03","UFMG","BHCB","35805","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis","DC.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"6","2019-12-23 17:49:34-03","UFMG","BHCB","35769","PreservedSpecimen","Plantae","Fabaceae","Dalbergia",NA,"Dalbergia","Lindl.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"7","2019-10-02 14:54:59-03","UFMG","BHCB","35624","PreservedSpecimen","Plantae","Hypericaceae","Vismia",NA,"Vismia",NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"8","2019-10-02 14:54:59-03","UFMG","BHCB","36019","PreservedSpecimen","Plantae","Hypericaceae","Vismia",NA,"Vismia",NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"9","2019-10-02 15:01:55-03","UFMG","BHCB","35630","PreservedSpecimen","Plantae","Primulaceae","Myrsine","coriacea","Myrsine coriacea","(Sw.) R.Br. ex Roem. & Schult.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"10","2019-10-02 15:00:46-03","UFMG","BHCB","36050","PreservedSpecimen","Plantae","Myrtaceae","Psidium","cattleianum","Psidium cattleianum","Sabine",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"11","2019-10-02 15:00:46-03","UFMG","BHCB","36050","PreservedSpecimen","Plantae","Myrtaceae","Psidium","cattleianum","Psidium cattleianum","Sabine",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"12","2019-10-02 15:03:44-03","UFMG","BHCB","35974","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Teixeira, EM; Brina, AE","s.n.","1990",NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"13","2019-10-02 14:54:59-03","UFMG","BHCB","36019","PreservedSpecimen","Plantae","Hypericaceae","Vismia","magnoliifolia","Vismia magnoliifolia","Cham. & Schltdl.","Teixeira, EM; Brina, AE","s.n.","1990",NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto","2019","03"
"14","2019-10-02 14:56:09-03","UFMG","BHCB","36124","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nitida","Heteropterys nitida","(Lam.) DC.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
"15","2019-10-02 14:56:09-03","UFMG","BHCB","36124","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nitida","Heteropterys nitida","(Lam.) DC.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Silveirânia",NA,"-43.2153015136719","-21.158899307251",NA,NA,NA,NA,NA,"Dicotyledon","Southern America","11740","auto",NA,NA
