"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","class","previousCatalogNumber","relatedCatalogItem","infraspecificEpithet"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3290","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","Izabella Martins da Costa","2014","01","12","Izabella Martins da Costa;","2014","01","12","Brasil","Minas Gerais","Simonésia","Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2761","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","Bruno Falcão","2013","09",NA,"Bruno Falcão;","2013","09",NA,"Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2759","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cf. schizandrum","Solanum cf. schizandrum","Sendtn.","Yuri Fernandes Gouvea","2012","11",NA,NA,"2012","11",NA,"Brasil","Minas Gerais","Simonesia","Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2595","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","luridifuscescens","Solanum luridifuscescens","Bitter.","Yuri Fernandes Gouvea","2013","05","29","Yuri Fernandes Gouvea;","2013","05","28","Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2596","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","luridifuscescens","Solanum luridifuscescens","Bitter.","Yuri Fernandes Gouvea","2013","05","29","Yuri Fernandes Gouvea;","2013","05","28","Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 16:36:18-03","NYBG","NYBG","02280028","PreservedSpecimen","Plantae","Bryophyta",NA,"Phyllogoniaceae","Phyllogonium","viride","Phyllogonium viride","Brid.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615141 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3156","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280028",NA,NA,NA,NA,NA
"7","2019-12-16 16:36:18-03","NYBG","NYBG","02280033","PreservedSpecimen","Plantae","Bryophyta",NA,"Phyllogoniaceae","Phyllogonium","viride","Phyllogonium viride","Brid.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615146 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3165","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280033",NA,NA,NA,NA,NA
"8","2019-12-16 19:14:39-03","NYBG","NYBG","2422893","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum",NA,"Polystichum",NA,NA,NA,NA,NA,"A. Salino","2006","05","24","Brazil","Minas Gerais","Simonésia","RPPN Mata do Sossego.","-42.07031","-20.07186",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"11194","South America","-42.07031","-20.07186","1150","1600","sheet","NY02422893","NY02422893",NA,NA,NA,NA
"9","2019-12-16 19:14:39-03","NYBG","NYBG","2422889","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","montevidense","Polystichum montevidense","(Spreng.) Rosenst.",NA,NA,NA,NA,"A. Salino","2006","05","20","Brazil","Minas Gerais","Simonésia","RPPN Mata do Sossego.","-42.07789","-20.06722",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674883 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"11047","South America","-42.07789","-20.06722","1150","1600","sheet","NY02422889","NY02422889",NA,NA,NA,NA
"10","2019-12-16 16:35:29-03","NYBG","NYBG","02280064","PreservedSpecimen","Plantae","Bryophyta",NA,"Neckeraceae","Porotrichum","lancifrons","Porotrichum lancifrons","(Hampe) Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0447","-20.0419",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615177 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3203","South America","-42.0447","-20.0419","1262","1262","packeted","NY02280064",NA,NA,NA,NA,NA
