"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","infraspecificEpithet"
"1","2020-03-10 08:26:57-03","UFV","VIC","10170","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","balansae","Oxypetalum balansae","Malme","Rapini","2004","Vilas Novas, G.","s.n.","1987","04","15","Brasil","Minas Gerais","Sobrália","Fazenda Córrego Claro, Propriedade de Maria da Penha Vilas Novas e Irmãos.","-42.0983009338379","-19.2346992492676","16011","Planta tóxica de pasto nativo; trepadeira de flor roxa, fruto verde-amarelado, com látex. Sintomas predominantes: inchaços, agressividade, morte súbita. Os empregados da fazenda dizem que o animal não pode ingerir água quando está into","VIC010170","VIC010170","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-15 20:23:39-03","UTFPR","HCF","29648","S","Plantae","Euphorbiaceae","Croton","lundianus","Croton lundianus","(Didr.) Müll. Arg.","M.L. Brotto","2019","F. Marinero","1095","2018","11","24","Brasil","MG","Sobrália","Rio Doce","-42.193056","-19.1425",NA,"arbusto 50 cm. Frutos amarelados. Várzea.",NA,NA,NA,"01","30","42°11'35 W","19°08'33 S","190","190",NA,NA
"3","2019-11-15 20:23:39-03","UTFPR","HCF","29612","S","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","L.","F. Marinero","2019","F. Marinero","1094","2018","11","24","Brasil","MG","Sobrália","Rio Doce","-42.193056","-19.1425",NA,"herbácea cespitosa, 40 cm. Espiguetas castanho avermelhadas. Várzea.",NA,NA,NA,"03","19","42°11'35 W","19°08'33 S","190","190",NA,NA
"4","2019-12-06 14:44:40-03","MBM","MBM","418835","S","Plantae","Euphorbiaceae","Croton","lundianus","Croton lundianus","(Didr.) Muell. Arg.","Brotto, M.L.","2019","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1095","2018","11","24","Brazil","Minas Gerais","Sobrália","Rio Doce","-42.193056","-19.1425",NA,NA,"MBM418835",NA,NA,"01","30","-42.193056","-19.1425","190","190","Southern America",NA
"5","2019-12-06 14:41:25-03","MBM","MBM","418836","S","Plantae","Cyperaceae","Cyperus","luzulae","Cyperus luzulae","(L.) Retz.","Marinero, F.","2019","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1096","2018","11","24","Brazil","Minas Gerais","Sobrália","Rio Doce","-42.193056","-19.1425",NA,NA,"MBM418836",NA,NA,"03","19","-42.193056","-19.1425","190","190","Southern America",NA
"6","2019-12-06 14:41:25-03","MBM","MBM","418837","S","Plantae","Cyperaceae","Cyperus","meyenianus","Cyperus meyenianus","Kunth","Marinero, F.","2019","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1097","2018","11","24","Brazil","Minas Gerais","Sobrália","Rio Doce","-42.193056","-19.1425",NA,NA,"MBM418837",NA,NA,"03","19","-42.193056","-19.1425","190","190","Southern America",NA
"7","2019-12-06 14:41:28-03","MBM","MBM","418834","S","Plantae","Cyperaceae","Cyperus","rotundus","Cyperus rotundus","L.","Marinero, F.","2019","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1094","2018","11","24","Brazil","Minas Gerais","Sobrália",NA,"-42.192778","-19.142222",NA,NA,"MBM418834",NA,NA,NA,NA,"-42.192778","-19.142222","189","189","Southern America",NA
"8","2019-12-06 15:18:37-03","MBM","MBM","418816","S","Plantae","Rubiaceae","Genipa","americana","Genipa americana","L.","Marinero, F.","2019","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1076","2018","11","22","Brazil","Minas Gerais","Sobrália","Rio Doce","-42.194444","-19.143333",NA,NA,"MBM418816",NA,NA,"01","22","-42.194444","-19.143333","195","195","Southern America",NA
"9","2019-12-06 15:14:40-03","MBM","MBM","418833","S","Plantae","Poaceae","Hymenachne","amplexicaulis","Hymenachne amplexicaulis","(Rudge) Nees","Marinero, F.","2018","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1093","2018","11","24","Brazil","Minas Gerais","Sobrália","Rio Doce","-42.193056","-19.1425",NA,NA,"MBM418833",NA,NA,"12","10","-42.193056","-19.1425","190","190","Southern America",NA
"10","2020-02-11 18:26:28-03","UFMG","BHCB-SL","89911","PreservedSpecimen","Plantae","Pteridaceae","Adiantum","ornithopodum","Adiantum ornithopodum","C.Presl & Kuhn","Prado, J","2006","Salino, A","9697","2004","09","07","Brasil","Minas Gerais","Sobrália","Fazenda Santa Luzia","-42.198417","-19.2095",NA,"Terrestre na borda de floresta",NA,NA,NA,"09",NA,"-42.198417","-19.2095","145","150","América",NA
"11","2019-11-07 11:19:31-03","UFMG","BHCB-SL","89913","PreservedSpecimen","Plantae","Pteridaceae","Adiantum","pulverulentum","Adiantum pulverulentum","L.","Salino, A","2004","Salino, A","9699","2004","09","07","Brasil","Minas Gerais","Sobrália","Fazenda Santa Luzia","-42.198417","-19.2095",NA,"Terrestre em borda de floresta.",NA,NA,NA,"09",NA,"-42.198417","-19.2095","145","150","América",NA
"12","2020-03-04 20:43:08-03","UFMG","BHCB-SL","89910","PreservedSpecimen","Plantae","Dryopteridaceae","Ctenitis","distans","Ctenitis distans isabellina","(Fée) R.S.Viveros & Salino","Viveros, RS","2016","Salino, A","9696","2004","09","07","Brasil","Minas Gerais","Sobrália","Fazenda Santa Luzia","-42.198417","-19.2095",NA,"Terrestre no interior de floresta.Caule decumbente.",NA,NA,NA,"11",NA,"-42.198417","-19.2095","145","150","América","isabellina"
"13","2019-11-07 11:15:22-03","UFMG","BHCB-SL","89916","PreservedSpecimen","Plantae","Athyriaceae","Diplazium","cristatum","Diplazium cristatum","(Desr.) Alston","Salino, A","2004","Salino, A","9702","2004","09","07","Brasil","Minas Gerais","Sobrália","Fazenda Santa Luzia, Floresta Estacional Semidecidual Submontana.","-42.198417","-19.2095",NA,"Terrestre no interior de floresta.",NA,NA,NA,"09",NA,"-42.198417","-19.2095","145","150","América",NA
"14","2019-11-07 11:16:40-03","UFMG","BHCB-SL","89906","PreservedSpecimen","Plantae","Dryopteridaceae","Lastreopsis","acuta","Lastreopsis acuta","(Hook.) Tindale","Salino, A","2004","Salino, A","9692","2004","09","07","Brasil","Minas Gerais","Sobrália","Fazenda Santa Luzia, Floresta Estacional Semidecidual Submontana.","-42.198417","-19.2095",NA,"Terrestre na borda de floresta.",NA,NA,NA,"09",NA,"-42.198417","-19.2095","145","150","América",NA
