"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class"
"1","2019-12-16 17:42:04-03","NYBG","NYBG","1019456","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Jacq.","M. da C. Souza","522","2007","06","05","South America","Brazil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama. Estrada que vai para a sede da Reserva, passando da sede na primeira bifurcação vire a direita. Nesta estrada passa por uma porteira e depois vire numa estrada lateral à direita com uma.","-40.0978","-19.1969","-40.0978","-19.1969","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282416 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01019456","NY01019456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:29:11-03","NYBG","NYBG","515461","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","multijuga","Senna multijuga lindleyana","(Gardner) H.S.Irwin & Barneby","R. P. Belém","1498","1965","08","09","South America","Brazil","Espírito Santo","Sooretama","Reserva Florestal de Sooretama","-40.10894","-18.996963","-40.10894","-18.996963","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769242 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00515461","NY00515461","lindleyana","H. S. Irwin; R. C. Barneby","1979",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:29:11-03","NYBG","NYBG","515469","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","multijuga","Senna multijuga lindleyana","(Gardner) H.S.Irwin & Barneby","R. P. Belém","1498","1965","08","08","South America","Brazil","Espírito Santo","Sooretama","Reserva Florestal de Sooretama","-40.10894","-18.996963","-40.10894","-18.996963","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00515469","NY00515469","lindleyana","H. S. Irwin; R. C. Barneby","1979",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:45:48-03","NYBG","NYBG","1039524","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Callichlamys","latifolia","Callichlamys latifolia","(Rich.) K.Schum.","A. R. Zuntini","175","2007","12","17","South America","Brazil","Espírito Santo","Sooretama","Reserva Natural da Comhania Vale do Rio Doce (Reserva de Linhares)Estrada Flamengo, km 1.5 , lado direito.","-39.99939","-19.15586","-39.99939","-19.15586","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487874 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039524","NY01039524",NA,"A. R. Zuntini","2007","37","37",NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:46:20-03","NYBG","NYBG","1039522","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","subincana","Fridericia subincana","(Mart.) L.G.Lohmann","A. R. Zuntini","173","2007","12","17","South America","Brazil","Espírito Santo","Sooretama","Reserva Natural da Comhania Vale do Rio Doce (Reserva de Linhares). Proximo à saída da Estrada Guaribú-Sabão.","-39.99406","-19.14994","-39.99406","-19.14994","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039522","NY01039522",NA,"A. R. Zuntini","2007","33","33",NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:07:28-03","NYBG","NYBG","475825","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","coleoptera","Heteropterys coleoptera","A.Juss.","A. M. Amorim","3096","1999","08","12","South America","Brazil","Espírito Santo","Sooretama","Reserva Florestal do Vale do Rio Doce. BR 101 no trecho Linhares-Sao Mateus. Caminho do Rouxinho","-39.961174","-19.138199","-39.961174","-19.138199","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85514 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00475825","NY00475825",NA,"A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:46:21-03","NYBG","NYBG","1039517","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","arianeae","Handroanthus arianeae","(A.H.Gentry) S.O.Grose","A. R. Zuntini","114","2007","09","18","South America","Brazil","Espírito Santo","Sooretama","Reserva Natural da Comhania Vale do Rio Doce (Reserva de Linhares). Estrada do Refúgio Cupido, lado direito.","-39.961174","-19.138199","-39.961174","-19.138199","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039517","NY01039517_01 NY01039517_02",NA,"A. R. Zuntini","2007",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:07:28-03","NYBG","NYBG","475799","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","chrysophylla","Heteropterys chrysophylla","(Lam.) Kunth","A. M. Amorim","3097","1999","08","12","South America","Brazil","Espírito Santo","Sooretama","Reserva Florestal do Vale do Rio Doce. BR 101 no trecho Linhares-Sao Mateus. Caminho do Rouxinho","-39.961174","-19.138199","-39.961174","-19.138199","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274402 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00475799","NY00475799",NA,"A. M. Amorim",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:45:48-03","NYBG","NYBG","1039523","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Bignonia","sciuripabula","Bignonia sciuripabula","(Bureau & K.Schum.) L.G.Lohmann","A. R. Zuntini","174","2007","12","17","South America","Brazil","Espírito Santo","Sooretama","Reserva Natural da Comhania Vale do Rio Doce (Reserva de Linhares). Final da estrada Oiticica.","-40.00242","-19.13231","-40.00242","-19.13231","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487872 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039523","NY01039523",NA,"A. R. Zuntini","2014","51","51",NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:46:38-03","NYBG","NYBG","1039525","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Lundia","glazioviana","Lundia glazioviana","Kraenzl.","A. R. Zuntini","181","2007","12","18","South America","Brazil","Espírito Santo","Sooretama","Estrada Municipal Caliman.","-40.02831","-19.07506","-40.02831","-19.07506","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039525","NY01039525",NA,"A. R. Zuntini","2007","43","43",NA,NA,NA,NA,NA,NA
