"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","relatedCatalogItem"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1763","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","convolvulacea","Begonia convolvulacea"," (Klotzsch) A.DC.","Leandro L. Giacomin","2007","02","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637","19º45'a19º30'","42º38' a 48º28'","16391","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","1762","S","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","Juliana Ordones; et al.","2005","07","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637","19º45'a19º30'","42º38' a 48º28'","16391","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:52-03","FZB-BH","CVJBFZB","1764","S","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Maranta","sp.","Maranta sp.",NA,NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637","19º45'a19º30'","42º38' a 48º28'","16391","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1767","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Mesadenella","sp.","Mesadenella sp.",NA,NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637",NA,NA,"16391","1","254","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1768","S","Plantae","Magnoliophyta","Alismatales","Araceae","Monstera","sp.","Monstera sp.",NA,NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637",NA,NA,"16391","1","254","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1766","S","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Tradescantia","cf. zanonia","Tradescantia cf. zanonia","(L.) Sw.",NA,NA,NA,"Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2005","07","07","Brasil","Minas Gerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637",NA,NA,"16391","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:27:46-03","NYBG","NYBG","00934953","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","contorta","Pseudopiptadenia contorta","(DC.) G.P.Lewis & M.P.Lima",NA,NA,NA,"E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.6442","-19.5828","-42.6442","-19.5828",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"18583","South America","sheet","NY00934953","NY00934953",NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:59:44-03","NYBG","NYBG","01090505","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae",NA,NA,NA,NA,NA,NA,NA,"E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.6442","-19.5828","-42.6442","-19.5828",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222744 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"18634","South America","sheet","NY01090505","NY01090505",NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:01:47-03","NYBG","NYBG","1065374","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Actinostemon","lundianus","Actinostemon lundianus","(Didr.) Pax","S. F. Smith","1986","05","E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.6442","-19.5828","-42.6442","-19.5828",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230825 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"18565","South America","sheet","NY01065374","NY01065374","22",NA,NA,NA,NA,NA
"10","2019-12-16 17:58:02-03","NYBG","NYBG","378099","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","rufa","Couepia rufa","Ducke","G. T. Prance","1985","02","E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.6442","-19.5828","-42.6442","-19.5828",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=676435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"18549","South America","sheet","NY00378099",NA,"01",NA,NA,NA,NA,NA
"11","2019-12-16 18:30:37-03","NYBG","NYBG","00906869","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","Mart. ex DC.","K. M. Gomez-Bezerra","2011",NA,"E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.6442","-19.5828","-42.6442","-19.5828",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"18557","South America","sheet","NY00906869","NY00906869",NA,NA,NA,NA,NA,NA
"12","2019-11-04 10:48:23-03","UFRJ","RFA","29191","Preservedecimen","Plantae",NA,NA,"Poaceae","Parodiolyra","micrantha","Parodiolyra micrantha","(Kunth) Davidse & Zuloaga","R.P.Oliveira",NA,NA,"E.P.Heringer","1982","10","22","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,"Planta invasora da capoeira em solos secos e fracos","auto",NA,"18561",NA,NA,"RFA31142",NA,NA,NA,NA,NA,NA,NA
"13","2013-07-03 10:59:33-03","EBDA","BAH","8379","S","Plantae",NA,NA,"Fabaceae","Platyciamus","regnelli","Platyciamus regnelli","Benth","G. M. Barroso","1982","06","Edson de F. Almeida,","1982","05","25","Brasil","Minas Geráis","Timóteo","Brasil, Minas Gerais, Mun. Temóteo","-42.6444","-19.5825",NA,NA,"16391",NA,"Árvore de mais ou menos 8m de altura em floração plena; panículas grandes terminais; flores antes da ântese com corola lilas-róseo e depois da antese alvas; marrom-nigrescente. Flores com perfume adocicado, visitadas por Bombus (manganga).","auto",NA,"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:16:54-03","UFBA","ALCB","024803","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Benth.","Barroso, GM","1982","06","Almeida, EF","1982","05","20","Brasil","Minas Gerais","Timóteo",NA,"-42.5","-19.616667","-42.5","-19.616667",NA,NA,"Ca. 8,0m de altura em floração plena; panículas grandes terminais; flores antes da antese com corola lilás-róseo e depois alvas; cálice marrom-nigrescente. Flores com perfume adocicado, visitadas por Bombus (magangá). Única árvore vis",NA,NA,"207","Southern America",NA,"ALCB031990","ALCB031990 ALCB031990_1",NA,NA,NA,NA,NA,NA
"15","2019-02-22 15:22:10-03","ESALQ","ESA","102255","S","Plantae","Magnoliophyta",NA,"Malvaceae","Guazuma",NA,"Guazuma",NA,NA,NA,NA,"Tsuji, R.","2007","01","29","Brasil","Minas Gerais","Timóteo",NA,"-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,NA,"auto",NA,"1592",NA,NA,"ESA102255","ESA102255",NA,NA,NA,NA,NA,NA
"16","2019-07-11 08:49:15-03","ESALQ","ESA","102021","S","Plantae","Magnoliophyta",NA,"Acanthaceae","Ruellia","tuberosa","Ruellia tuberosa","L.","Azevedo, I.H.F.","2018","08","Tsuji, R.","2007","01","29","Brasil","Minas Gerais","Timóteo",NA,"-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,NA,"auto",NA,"1591",NA,NA,"ESA102021","ESA102021","30",NA,NA,NA,NA,NA
"17","2019-02-22 15:20:39-03","ESALQ","ESA","9785","S","Plantae","Magnoliophyta",NA,"Lauraceae",NA,NA,NA,NA,NA,NA,NA,"Stehmann, J.R.","1992","10","30","Brasil","Minas Gerais","Timóteo",NA,"-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,NA,"auto",NA,"BHCB 20792",NA,NA,"ESA009785",NA,NA,NA,NA,NA,NA,NA
"18","2019-07-11 08:53:20-03","ESALQ","ESA","56149","S","Plantae","Magnoliophyta",NA,"Lauraceae","Cryptocarya","minima","Cryptocarya minima","Mez","França, G.S.",NA,NA,"França, G.S.","2004","08","06","Brasil","Minas Gerais","Timóteo",NA,"-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,NA,"auto",NA,"561",NA,NA,"ESA056149",NA,NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:01:12-03","JBP","HPL","7012","S","Plantae",NA,NA,"Bignoniaceae","Paragonia",NA,"Paragonia",NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","2007","01","29","Brasil","MG","Timóteo","Coletado na via de acesso para a estrada do Parque Estadual do Rio Doce, ca. 5km antes.","-42.6444","-19.5825",NA,NA,"16391",NA,NA,"auto",NA,"1593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-07-02 14:00:06-03","JBP","HPL","7010","S","Plantae",NA,NA,"Acanthaceae","Ruellia",NA,"Ruellia",NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","2007","01","29","Brasil","MG","Timóteo","Coletado na via de acesso para a estrada do Parque Estadual do Rio Doce, daninha.","-42.6444","-19.5825",NA,NA,"16391",NA,NA,"auto",NA,"1591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
