"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","verbatimLongitude","verbatimLatitude","order","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","typeStatus"
"1","2020-03-10 08:30:45-03","UFV","VIC","005647","PreservedSpecimen","Plantae","Solanaceae","Acnistus","Acnistus","Coons, M. .P.","s.n.","1976","08","12","Brasil","Minas Gerais","Tocantins","Ao lado da igreja Assembléia de Deus.","-43.0177993774414","-21.1749992370605","11821","Em terreno, perto de cerca, arbusto de até 2 m, pedicelo verde claro, cálice branco, corola branca, com lobos de manchas verdes, anteras amarelas, rimosas, estigma verde e resto de pistilo branco, comum em terreno na cidade, invasora.","VIC005647","VIC005647","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:30:43-03","UFV","VIC","035403","PreservedSpecimen","Plantae","Sapindaceae","Sapindus","Sapindus saponaria","Montanari, R.M.","s.n.","2011","10","14","Brasil","Minas Gerais","Tocantins","Campo do Verbena","-43.0177993774414","-21.1749992370605","11821","Árvore de cerca de 10 m.","VIC035403","VIC035403","auto","saponaria","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:32-03","UFV","VIC","35401","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","Siparuna guianensis","Montanari, R.M.","55","1012","01","15","Brasil","Minas Gerais","Tocantins","Comunidade Santa Isabel, Distribuidos nas bordas dos fragmentos de mata.","-43.0177993774414","-21.1749992370605","11821","Arbusto com 1,5 a 3,0 m de altura, folhas aromáticas.","VIC035401","VIC035401","auto","guianensis","Aubl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:30:45-03","UFV","VIC","034160","PreservedSpecimen","Plantae","Siparunaceae","Siparuna","Siparuna","Montanari, R.M.","s.n.","2010","11","21","Brasil","Minas Gerais","Tocantins","Corrégo dos Pires","-43.0177993774414","-21.1749992370605","11821","Poopulação densa em borda de mata secundária.","VIC034160",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:26:57-03","UFV","VIC","5746","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","Oxypetalum banksii","Coons, M.P.; Carvalho, R.M.F. de","904","1978","08","12","Brasil","Minas Gerais","Tocantins","Estrada para Pendaíba, Em cerca ao lado da estrada.","-43.0177993774414","-21.1749992370605","11821","Cipó ao sol; um só pé. Presença de flores. Látex alvo. Abundante.","VIC005746","VIC005746","auto","banksii","Schult.","Fontella, J.P.","1988","11","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:26:39-03","UFV","VIC","7217","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","Amaranthus lividus","Coons, M.P.; Carvalho, R.M.F. de","901","1978","08","12","Brasil","Minas Gerais","Tocantins","Estrada para Pindaíba, Em pasto, ao lado de cercas.","-43.0177993774414","-21.1749992370605","11821","Erva, com margaridas e outras invasoras.","VIC007217","VIC007217","auto","lividus","L.","Coons, M.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:30:59-03","UFV","VIC","021551","PreservedSpecimen","Plantae","Verbenaceae","Lantana","Lantana","Montanari, R.M.","s.n.","2008","03","22","Brasil","Minas Gerais","Tocantins","Santa Isabel, na encruzilhada para Pindaíba","-43.0177993774414","-21.1749992370605","11821","Planta de cerca de 1,2 m de altura, em beira de estrada, inflorescência axilar de corola lilás, planta SI-1","VIC021551",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:30:03-03","UFV","VIC","13349","PreservedSpecimen","Plantae","Papilionoideae","Platypodium","Platypodium elegans","Carvalho-Okano, R.M. de","s.n.","1994","10","20","Brasil","Minas Gerais","Tocantins","Sítio Boa Vista, Propriedade do Sr. Álvaro D. de Carvalho.","-43.0177993774414","-21.1749992370605","11821","Árvore, c.a. de 10 metros de altura; flores amarelas; fruto sâmara da florada do ano anterior.","VIC013349","VIC013349","auto","elegans","Vogel","Carvalho-Okano, R.M. de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:26:39-03","UFV","VIC","7219","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","Amaranthus lividus","Coons, M.P.; Carvalho, R.M.F. de","910","1978","08","12","Brasil","Minas Gerais","Tocantins","Sítio do Sr. Carvalho, Horta.","-43.0177993774414","-21.1749992370605","11821","População de invasoras.","VIC007219","VIC007219","auto","lividus","L.","Coons, M.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-10 08:26:39-03","UFV","VIC","7216","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","Amaranthus lividus","Coons, M.P.","908","1978","08","12","Brasil","Minas Gerais","Tocantins","Sítio Vai e Volta","-43.0177993774414","-21.1749992370605","11821","População de invasoras em tomatal. Ervas. A. spinosus também como no lugar. Brassica, a maior invasora no tomatal.","VIC007216","VIC007216","auto","lividus","L.","Coons, M.P.","1978","08","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
