"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-03-10 08:29:12-03","UFV","VIC","19812","PreservedSpecimen","Plantae","Mimosoideae","Anadenanthera","Anadenanthera","Valente, E.L.","s.n.","2005","03","12","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Árvore ca. 6m de alt. e de copa larga. Em pastagem na margem de estrada vicinal. Com fruto verde-claro.","VIC019812","VIC019812","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:30:31-03","UFV","VIC","19808","PreservedSpecimen","Plantae","Rubiaceae","Alseis","Alseis floribunda","Valente, E.L.","s.n.","2005","03","12","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Planta perfilhada de ca de 3m, em ravina de estágio avançado de erosão superficial, caule liso marrom, inflorescência terminal pardacenta e com frutos.","VIC019808","VIC019808","auto","floribunda","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:29:43-03","UFV","VIC","19809","PreservedSpecimen","Plantae","Myrtaceae","Psidium","Psidium guineense","Valente, E.L.","s.n.","2005","03","12","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Planta ca 2,5 m de altura, próximo a um curso de água, no fundo do vale, sobre embasamento rochoso do tipo gnaisse. Com fruto verde.","VIC019809","VIC019809","auto","guineense","Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:28:55-03","UFV","VIC","23366","PreservedSpecimen","Plantae","Malpighiaceae","Mascagnia","Mascagnia rigida",NA,"s.n.","1999","04","12","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Cipó de flores alaranjadas, mata o gado por timpanismo no rumem.","VIC023366",NA,"auto","rigida","(A. Juss.) Griseb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:30:34-03","UFV","VIC","19807","PreservedSpecimen","Plantae","Rubiaceae","Kerianthera","Kerianthera peclara","Valente, E.L.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Planta de cercade 3 m, a pleno sol em pastagem no topo aplainado do morro, inflorescência terminal de flores velhas, tubulares, de aproximadamente 10 cm de tamanho, frutos verdes de cálice foliáceo de coloração vermelha.","VIC019807",NA,"auto","peclara","J.H.Kirkbr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:28:55-03","UFV","VIC","26216","PreservedSpecimen","Plantae","Malpighiaceae","Mascagnia","Mascagnia rigida",NA,"s.n.","2001","09","16","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Planta crescendo a pleno sol, da metade do morro para baixo, não foi encontrada no topo do morro, fruto alado pardacento","VIC026216",NA,"auto","rigida","(A. Juss.) Griseb","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:30:47-03","UFV","VIC","031141","PreservedSpecimen","Plantae","Solanaceae","Nicotiana","Nicotiana tabacum","Oliveira Fernandes, C. de","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Flor rosada 1,20m.","VIC031141","VIC031141","auto","tabacum","L.","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:30:41-03","UFV","VIC","030175","PreservedSpecimen","Plantae","Sapindaceae","Allophylus","Allophylus","Ferreira, T.L.","s.n.","2006","03","04","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326",NA,"VIC030175","VIC030175","auto",NA,NA,"assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:30:59-03","UFV","VIC","031139","PreservedSpecimen","Plantae","Verbenaceae","Stachytarpheta","Stachytarpheta","Oliveira Fernandes, C. de","s.n.","2005","09","20","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Flor roxa.","VIC031139",NA,"auto",NA,"Vahl","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-10 08:28:56-03","UFV","VIC","30173","PreservedSpecimen","Plantae","Malvaceae","Malva","Malva","Ferreira, T.F.","s.n.","2006","03","04","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326",NA,"VIC030173",NA,"auto",NA,NA,"assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-03-10 08:30:45-03","UFV","VIC","031140","PreservedSpecimen","Plantae","Scrophulariaceae","Scoparia","Scoparia dulcis","Fernandes, C.O.","s.n.","2005","09","20","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","herbácea.","VIC031140","VIC031140","auto","dulcis","L.","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-03-10 08:29:51-03","UFV","VIC","31130","PreservedSpecimen","Plantae","Papaveraceae","Argemone","Argemone mexicana","Fernandes, C.O.","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Planta espinhos, herbacea, flor com pétala amarela.","VIC031130","VIC031130","auto","mexicana","Linn","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-03-10 08:30:58-03","UFV","VIC","029895","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","Aloysia virgata","Oliveira Fernandes, C. de","s.n.","2005","07","07","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Arvoreta de flotres brancas.","VIC029895",NA,"auto","virgata","(Ruiz. & Pav.) Juss.","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-03-10 08:30:58-03","UFV","VIC","031138","PreservedSpecimen","Plantae","Verbenaceae","Aloysia","Aloysia virgata","Oliveira Fernandes, C. de","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","1,8 m, flor branca.,","VIC031138",NA,"auto","virgata","(Ruiz. & Pav.) Juss.","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-03-10 08:28:56-03","UFV","VIC","31132","PreservedSpecimen","Plantae","Malvaceae","Gossypium","Gossypium hirsutum","Fernades, C.O.","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","1,5 m, arbusto de flores amarelas.","VIC031132",NA,"auto","hirsutum","L.","assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-03-10 08:30:41-03","UFV","VIC","030176","PreservedSpecimen","Plantae","Sapindaceae",NA,NA,"Ferreira, T.L.","s.n.","2006","03","04","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326",NA,"VIC030176","VIC030176","auto",NA,NA,"assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-03-10 08:29:35-03","UFV","VIC","31133","PreservedSpecimen","Plantae","Moraceae","Morus","Morus","Fernandes, C.O.","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","2 m, flor branca.","VIC031133","VIC031133","auto",NA,NA,"assentamento 1° de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-03-10 08:26:31-03","UFV","VIC","31148","PreservedSpecimen","Plantae",NA,NA,NA,"Fernandes, C.O.","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","0,5m. Folhas verdes e inflorescência em capítulo terminal.","VIC031148","VIC031148","auto",NA,NA,"Assentamento 1 de Junho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-03-10 08:28:41-03","UFV","VIC","31136","PreservedSpecimen","Plantae","Lamiaceae","Leonotis","Leonotis nepetaefolia","Fernandes, C.A.","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","Herbácea, flor alaranjada.","VIC031136",NA,"auto","nepetaefolia","(L.) R.Br.","assentamento 1° de Junho, Horta do assentamento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-03-10 08:26:31-03","UFV","VIC","031148","PreservedSpecimen","Plantae",NA,NA,NA,"Fernandes, C.O.","s.n.","2005","09","21","Brasil","Minas Gerais","Tumiritinga","-41.6453018188477","-18.9792003631592","29326","0,5 m, folhas verdes e inflorescência de capítulo terminal.","VIC031148","VIC031148","auto",NA,NA,"assentamento 1° de Junho, Horta do Assentamento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
