"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","coordinatePrecision","geoFlag","phylum","continentOcean","relatedCatalogItem","order"
"1","2020-03-04 15:25:54-03","UNESC","CRI","15180","PreservedSpecimen","Plantae","Poaceae","Merostachys","Merostachys","Silva, R.V.","2014","03","02","Silva, R.V.; Toledo, A.","10","2014","03","02","Brasil","Minas Gerais","Ubá","Fazendo Solidão. Córrego Fundo.","-42.933333","-21.090278","42º56'0''W","21º5'25''S","435","435","Indivíduos inicialmente eretos e posteriormente inclinando-se sobre a vegetação adjacente. Entrenós com 18 a 61 cm de comprimento, 3.0 cm de diâmetro, verde escuro, escabro. (VIC - 43-766) Habito: Bambu","CRI014595","CRI014595_1 CRI014595_2",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-03 10:29:48-03","UNESP-IBB","BOTU","17212","PreservedSpecimen","Plantae","Asteraceae","Delilia","Delilia biflora","Amaral Jr., A.","2000","08",NA,"Gemtchújnicov, I.D.","2","2000","02","04","Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,NA,"BOTU017212","BOTU017212","biflora","(L.) Kuntze","24067","auto",NA,NA,NA,NA
"3","2019-07-11 08:49:43-03","ESALQ","ESA","118921","S","Plantae","Aristolochiaceae","Aristolochia","Aristolochia cymbifera","Krieger, L.","1977","09","22","Krieger, L. ; Brügger, M.C.","15273","1977","09","22","Brasil","Minas Gerais","Ubá","Estrada de Ubá para Viçosa.","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,NA,"ESA118921","ESA118921","cymbifera",NA,"24067","auto","Magnoliophyta",NA,NA,NA
"4","2020-03-10 08:31:01-03","UFV","VIC","043645","PreservedSpecimen","Plantae","Vitaceae","Cissus","Cissus",NA,NA,NA,NA,"Coutinho, I.A.C.; Terra, V.","320","2014","01","24","Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Flores brancas de forte cheiro adoçicado, trepadeira coletada crescendo sob meliaceae( Coutinho 319)com cerca de 8 m de altura, flores amarelas amarelo e brancas, cheiro adoçicado. Frutos negros.","VIC043645","VIC043645",NA,NA,"24067","auto",NA,NA,NA,NA
"5","2020-03-10 08:29:08-03","UFV","VIC","42378","PreservedSpecimen","Plantae","Meliaceae",NA,NA,NA,NA,NA,NA,"Coutinho, I.A.C.; Terra, V.","319","2014","01","24","Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Árvore de ca 8 m, flores brancas de cheiro forte adoçicado.","VIC042378","VIC042378",NA,NA,"24067","auto",NA,NA,NA,NA
"6","2020-03-10 08:29:34-03","UFV","VIC","24326","PreservedSpecimen","Plantae","Moraceae","Maclura","Maclura tinctoria",NA,NA,NA,NA,"Teixeira, H.A.","s.n.","1999","11","27","Brasil","Minas Gerais","Ubá","Bairro Louriçal","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Planta de dimorfismo sexual, inflorescência esverdeada, inicio de encosta, solo úmido, ca de 5 m. campo aberto.","VIC024326","VIC024326","tinctoria","(L.) D.Don ex Steudel","24067","auto",NA,NA,NA,NA
"7","2020-03-10 08:27:55-03","UFV","VIC","38596","PreservedSpecimen","Plantae","Caesalpinioideae","Chamaecrista","Chamaecrista rotundifolia","Coutinho, Í.A.C.","2012","07","10","Coutinho, Í.A.C.; Terra, V.","145","2012","07","10","Brasil","Minas Gerais","Ubá","Estrada que liga Ubá a Juiz de Fora","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Cerca de 20 a 30 cm de altura, cálice avermelhado, corola amarela, crescendo entre gramineas ás margens da estrada.","VIC038596","VIC038596","rotundifolia","(Pers.) Greene","24067","auto",NA,NA,NA,NA
"8","2020-03-10 08:29:50-03","UFV","VIC","8063","PreservedSpecimen","Plantae","Oxalidaceae","Averrhoa","Averrhoa carambola",NA,NA,NA,NA,"mello, M.S. de","s.n.","1983","05","29","Brasil","Minas Gerais","Ubá","Rua Bernadino Carneiro 370","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,NA,"VIC008063","VIC008063","carambola","L.","24067","auto",NA,NA,NA,NA
"9","2020-03-10 08:30:17-03","UFV","VIC","043767","PreservedSpecimen","Plantae","Poaceae","Merostachys","Merostachys","Silva, R.V.","2014","03","02","Silva, R.V.; Toledo, A.","11","2014","03","02","Brasil","Minas Gerais","Ubá","Córrego Fundo, Fazenda Solidão","-42","-21","-42","-21","454","454","Indivíduo com colmos de 5 a 7 m de altura, inicialmente eretos e posteriormente inclinando-se sobre a vegetação adjacente. Entrenós com 11-58 cm de comprimento; 2.5 cm de diâmetro.","VIC043767","VIC043767 VIC043767_1",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-10 08:30:17-03","UFV","VIC","043766","PreservedSpecimen","Plantae","Poaceae","Merostachys","Merostachys","Silva, R.V.","2014","03","02","Silva, R.V.; Toledo, A.","10","2014","03","02","Brasil","Minas Gerais","Ubá","Córrego Fundo, Fazenda Solidão","-42","-21","-42","-21","435","435","Indivíduo com colmos de 8 a 10 m de altura, inicialmente eretos e posteriormente inclinando-se sobre a vegetação adjacente. Entrenós com 18-61 cm de comprimento; 3 cm de diâmetro.","VIC043766","VIC043766 VIC043766_1",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:46:04-03","UFJF","CESJ","71538","PreservedSpecimen","Plantae","Solanaceae","Capsicum","Capsicum baccatum",NA,NA,NA,NA,"D. Pereira","s.n.","2018","05","20","Brasil","Minas Gerais","Ubá","Travessa Antônio Silvério, Bairro Louriçal","-42.949647","-21.107786","-42.949647","-21.107786",NA,NA,"Pimenta vermelha, pimente dedo de moça.","CESJ071538",NA,"baccatum","L.",NA,NA,"Angiosperma","América do Sul",NA,NA
"12","2019-11-21 14:46:04-03","UFJF","CESJ","71539","PreservedSpecimen","Plantae","Solanaceae","Capsicum","Capsicum frutescens",NA,NA,NA,NA,"D. Pereira","s.n.","2018","05","20","Brasil","Minas Gerais","Ubá","Travessa Antônio Silvério, Bairro Louriçal","-42.949647","-21.107786","-42.949647","-21.107786",NA,NA,"Pimenta Malagueta, Pimenteira, Piri-piri","CESJ071539",NA,"frutescens","Willd.",NA,NA,"Angiosperma","América do Sul",NA,NA
"13","2019-11-21 14:43:00-03","UFJF","CESJ","14088","PreservedSpecimen","Plantae","Poaceae","Sorghum","Sorghum vulgare","L. Krieger","1976",NA,NA,"L. Krieger","CESJ14088","1976","03","21","Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,NA,"CESJ014088",NA,"vulgare","Pers.","24067","auto","Angiosperma","América do Sul",NA,NA
"14","2019-11-21 14:49:17-03","UFJF","CESJ","22173","PreservedSpecimen","Plantae","Ganodermataceae","Ganoderma","Ganoderma",NA,NA,NA,NA,"J.B.Schiavon","s.n.","1978","10",NA,"Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Face superior castanho-claro e inferior branca, inteiramente firme.","CESJ022173",NA,NA,NA,"24067","auto","Fungi","América do Sul",NA,NA
"15","2019-11-21 14:31:02-03","UFJF","CESJ","15273","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","Aristolochia cymbifera","L. Krieger","1977","09","22","L. Krieger; M.C. Brügger","CESJ15273","1977","09","22","Brasil","Minas Gerais","Ubá","Estrada de Ubá para Viçosa","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Cipó robusto, volúvel, caule suberoso quando mais velho, folhas orbicular-reniformes com falsas estípulas, base cordada, ápice obtuso, 7-9 nervuras irradiantes, flores solitárias creme-claro com vênulas vermelho-acastanhados. Bojo obovoidal.","CESJ015273","CESJ015273","cymbifera","Mart. & Zucc.","24067","auto","Angiosperma","América do Sul",NA,NA
"16","2019-08-20 10:06:25-03","UNICAMP","UEC","117419","S","Plantae","Asteraceae","Piptocarpha","Piptocarpha rotundifolia",NA,NA,NA,NA,"Santos, FAM; Tomasetto, F; Constantino, R; Weiser, VL","36","2001","02","04","Brazil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Arbusto de 3m. Aquênios imaturos com papus de cor creme.","UEC126273","UEC126273","rotundifolia","(Less.) Baker","24067","auto","Magnoliopsida",NA,NA,NA
"17","2019-08-20 10:12:49-03","UNICAMP","UEC","142230","S","Plantae","Fabaceae","Cleobulia","Cleobulia",NA,NA,NA,NA,"Gomes, SM; Rodrigues, KF","752","2004","07","25","Brazil","Minas Gerais","Ubá","UFV, 12 Km. N de Ubá.","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Flor púrpura.","UEC151551","UEC151551",NA,NA,"24067","auto","Magnoliopsida",NA,NA,NA
"18","2019-11-06 09:57:19-03","UFOP","OUPR","7190","PreservedSpecimen","Plantae","Pteridaceae","Adiantum","Adiantum trapeziforme","Prado, J.","2001","01",NA,"Barbalho, M.M.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Erva",NA,NA,"trapeziforme","L.","24067","auto",NA,NA,NA,NA
