"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","monthIdentified","class","dayIdentified","typeStatus","individualCount","relatedCatalogItem"
"1","2019-12-16 17:11:16-03","NYBG","NYBG","375762","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","brachyandra","Pouteria brachyandra","(Aubrév. & Pellegr.) T.D.Penn.","A. Alves-Araújo","2010","G. G. Hatschbach","61565","1995","01","16","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria.","-41.1344","-20.3397","-41.1344","-20.3397","1100","1100","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110645 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00375762","NY00375762",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:42:40-03","NYBG","NYBG","1016787","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","pleiocephala","Psychotria pleiocephala","Müll.Arg.","S. F. Smith","1999","G. G. Hatschbach","69130","1999","05","17","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mirante da torre de TV.","-41.1344","-20.3397","-41.1344","-20.3397","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01016787","NY01016787",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:42:41-03","NYBG","NYBG","1017477","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","rabeniana","Psychotria rabeniana","Müll.Arg.","S. F. Smith","1995","G. G. Hatschbach","61530","1995","01","15","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal.","-41.1344","-20.3397","-41.1344","-20.3397","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214606 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01017477","NY01017477",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:32:19-03","NYBG","NYBG","424486","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Qualea","gestasiana","Qualea gestasiana","A.St.-Hil.","F. França","1996","G. G. Hatschbach","61543","1995","01","15","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Torre Telest","-41.1344","-20.3397","-41.1344","-20.3397","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=474608 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00424486","NY00424486",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:45:13-03","NYBG","NYBG","492384","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Ruellia","curviflora","Ruellia curviflora","Nees & Mart.","D. C. Wasshausen","1992","G. G. Hatschbach","55574","1991","06","14","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal.","-41.1344","-20.3397","-41.1344","-20.3397","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670214 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00492384","NY00492384",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 19:16:47-03","NYBG","NYBG","815837","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Saccolomataceae","Saccoloma","elegans","Saccoloma elegans","Kaulf.","A. R. Smith","1999","G. G. Hatschbach","69118","1999","05","17","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Varzeão.","-41.1344","-20.3397","-41.1344","-20.3397","900","900","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805191 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00815837","NY00815837",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:50:02-03","NYBG","NYBG","483734","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Schlegeliaceae","Schlegelia","parviflora","Schlegelia parviflora",NA,"G. G. Hatschbach","1999","G. G. Hatschbach","69114","1999","05","17","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Varzeao.","-41.1344","-20.3397","-41.1344","-20.3397","900","900","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00483734","NY00483734",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 19:01:20-03","NYBG","NYBG","00829145","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum",NA,"Solanum","L.",NA,NA,"G. G. Hatschbach","61541","1995","01","15","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Torre da Telest.","-41.1344","-20.3397","-41.1344","-20.3397","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945362 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00829145","NY00829145",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 19:01:20-03","NYBG","NYBG","00829146","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum",NA,"Solanum","L.",NA,NA,"G. G. Hatschbach","61541","1995","01","15","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Torre da Telest.","-41.1344","-20.3397","-41.1344","-20.3397","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945366 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00829146","NY00829146",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 19:01:20-03","NYBG","NYBG","00829148","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum",NA,"Solanum","L.",NA,NA,"G. G. Hatschbach","65200","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria.","-41.1344","-20.3397","-41.1344","-20.3397","900","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00829148","NY00829148",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 19:01:20-03","NYBG","NYBG","00829377","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum",NA,"Solanum","L.",NA,NA,"G. G. Hatschbach","61509","1995","01","15","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal.","-41.1344","-20.3397","-41.1344","-20.3397","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00829377","NY00829377",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 19:02:44-03","NYBG","NYBG","00697255","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","M. H. Nee","2004","G. G. Hatschbach","65209","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397","-41.1344","-20.3397","900","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00697255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 19:02:45-03","NYBG","NYBG","00697153","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","campaniforme","Solanum campaniforme","Roem. & Schult.","S. D. Knapp","2004","G. G. Hatschbach","69127","1999","05","17","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mirante da torre de TV","-41.1344","-20.3397","-41.1344","-20.3397",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=831520 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00697153","NY00697153",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 19:03:01-03","NYBG","NYBG","00697298","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cinnamomeum","Solanum cinnamomeum","Sendtn.","M. H. Nee","2004","G. G. Hatschbach","65207","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397","-41.1344","-20.3397","900","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832747 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00697298","NY00697298",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 19:03:52-03","NYBG","NYBG","669306","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","flaccidum","Solanum flaccidum","Vell.","M. H. Nee","1996","G. G. Hatschbach","61596","1995","01","17","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria.","-41.1344","-20.3397","-41.1344","-20.3397","1100","1100","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447490 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00669306","NY00669306",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 19:04:59-03","NYBG","NYBG","00700379","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","M. H. Nee","2004","G. G. Hatschbach","65192","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397","-41.1344","-20.3397","900","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834399 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00700379","NY00700379",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 19:04:59-03","NYBG","NYBG","00724379","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","M. H. Nee","2005","G. G. Hatschbach","65192","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397","-41.1344","-20.3397","900","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=864451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00724379","NY00724379",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 19:06:26-03","NYBG","NYBG","770741","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","robustum","Solanum robustum","H.L.Wendl.","M. H. Nee","1997","G. G. Hatschbach","65229","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria.","-41.1344","-20.3397","-41.1344","-20.3397","900","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00770741","NY00770741",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 19:06:27-03","NYBG","NYBG","00697395","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","rufescens","Solanum rufescens","Sendtn.","M. H. Nee","2004","G. G. Hatschbach","65196","1996","07","06","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Mata Fria","-41.1344","-20.3397","-41.1344","-20.3397","900","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=833302 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00697395","NY00697395",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 17:19:04-03","NYBG","NYBG","2481428","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cratylia","spectabilis","Cratylia spectabilis","Tul.",NA,NA,"J. R. Pirani","2821","1993","05","12","South America","Brazil","Espírito Santo","Venda Nova do Imigrante","Br-262 km 99, a 4 km da cidade, no alto da serra","-41.1347007751465","-20.3397006988525",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2739940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02481428","NY02481428","15909","auto",NA,NA,NA,NA,NA,NA,NA
