"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","specificEpithet","identifiedBy","typeStatus","basisOfRecord","phylum","class","order","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","continentOcean","coordinatePrecision","geoFlag"
"1","2019-08-05 14:35:54-03","MBML","MBML-HERBARIO","50115","Plantae","Euphorbiaceae","Actinostemon","Actinostemon","A. M. Assis; J. Freitas","3347","2012","09","01","Brasil","Espírito Santo","Vila Valério","Araribóia - margens da Rodovia ES-360","-40.281889","-19.050556","40W16'54,8","19S3'2","130","130","Arbusto 2m. Flores verdes. Interior de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML050115","MBML050115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-09-14 11:42:19-03","MBML","MBML-HERBARIO","46280","Plantae","Aristolochiaceae","Aristolochia","Aristolochia subglobosa","J. Freitas; A. M. Assis","180","2012","09","01","Brasil","Espírito Santo","Vila Valério","ES 358, Distrito de Araribóia, em borda de fragmento","-40.28","-19.0475","40W16'48","19S2'51","100","100","Trepadeira. Botões e flores beges com estrias vináceas na face externa. Lábio amarelo claro com interior do tubo vináceo. Lábio com tricomas na base e glabro no ápice. Tricomas no interior do tubo. Face externa glabra","MBML046280","MBML046280_1 MBML046280_2","subglobosa","J. Freitas/17-05-2013","HOLOTIPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-13 08:40:34-03","MBML","MBML-HERBARIO","48132","Plantae","Bignoniaceae","Bignonia","Bignonia binata","A. M. Assis; J. Freitas","3355","2012","09","01","Brasil","Espírito Santo","Vila Valério","Araribóia - margens da Rodovia ES-360","-40.281889","-19.050556","40W16'54,8","19S3'2","130","130","Liana. Botões verdes e flores roxas. Borda de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML048132","MBML048132","binata","R.S. Ribeiro/12-VI-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","48136","Plantae","Euphorbiaceae","Brasiliocroton","Brasiliocroton mamoninha","A. M. Assis; J. Freitas","3353","2012","09","01","Brasil","Espírito Santo","Vila Valério","Araribóia - margens da Rodovia ES-360","-40.281889","-19.050556","40W16'54,8","19S3'2","130","130","Árvore 10m. Botões esverdeados. Borda de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML048136","MBML048136","mamoninha","A.M. Assis/Dez.2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-10-18 15:52:47-02","MBML","MBML-HERBARIO","52220","Plantae","Bromeliaceae",NA,NA,"A. M. Assis; J. Freitas","3358","2012","09","01","Brasil","Espírito Santo","Vila Valério","Rodovia ES-358 - Floresta de Tabuleiro em estágio médio.","-40.248139","-19.038778","40W14'53,3","19S2'19,6","100","100","Herbácea terrestre. Raque e bráctea da inflorescência vermelhas e frutos amarelos.","MBML052220","MBML052220_1 MBML052220_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017-09-14 11:50:22-03","MBML","MBML-HERBARIO","48135","Plantae","Polygalaceae","Caamembeca","Caamembeca grandifolia","A. M. Assis; J. Freitas","3354","2012","09","01","Brasil","Espírito Santo","Vila Valério","Araribóia - margens da Rodovia ES-360","-40.281889","-19.050556","40W16'54,8","19S3'2","130","130","Planta 0,5m. Botões brancos e arroxeados. Interior de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML048135",NA,"grandifolia","Pastore/IX-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-09-14 11:48:31-03","MBML","MBML-HERBARIO","48137","Plantae","Myrtaceae","Campomanesia","Campomanesia guaviroba","A. M. Assis; J. Freitas","3352","2012","09","01","Brasil","Espírito Santo","Vila Valério","Araribóia - margens da Rodovia ES-360","-40.281889","-19.050556","40W16'54,8","19S3'2","130","130","Arvoreta 7m. Botões verdes. Borda de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML048137",NA,"guaviroba","M. Sobral/Março-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-09-14 11:44:13-03","MBML","MBML-HERBARIO","51875","Plantae","Compositae",NA,NA,"A. M. Assis; J. Freitas","3337","2012","09","01","Brasil","Espírito Santo","Vila Valério","Araribóia - margens da Rodovia ES-360","-40.281889","-19.050556","40W16'54,8","19S3'2","130","130","Arbusto escandente. Flores brancas. Borda de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML051875","MBML051875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-09-14 11:44:13-03","MBML","MBML-HERBARIO","51880","Plantae","Compositae",NA,NA,"A. M. Assis; J. Freitas","3345","2012","09","01","Brasil","Espírito Santo","Vila Valério","Bom Jardim - margens da Rodovia ES-358","-40.266583","-19.035806","40W15'59,7","19S2'8,9","150","150","Escandente. Frutos marrons. Borda de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML051880","MBML051880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-09-14 11:44:31-03","MBML","MBML-HERBARIO","48131","Plantae","Cucurbitaceae",NA,NA,"A. M. Assis; J. Freitas","3336","2012","09","01","Brasil","Espírito Santo","Vila Valério","Araribóia - margens da Rodovia ES-359","-40.281889","-19.050556","40W16'54,8","19S3'2","130","130","Liana. Bráctea amarelada. Cálice verde, corola amarela. Borda de fragmento de floresta de tabuleiro em estágio médio de regeneração.","MBML048131","MBML048131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
