"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","genus","scientificName","minimumElevationInMeters","maximumElevationInMeters","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","infraspecificEpithet","imagecode","phylum","continentOcean","class","order","typeStatus"
"1","2019-12-04 13:41:26-03","MCN-PUC-MINAS","HPUC-MG","CARP056","S","Plantae","Celastraceae","M.F.Vasconcelos","19-032","2019","01","14","Brasil","Minas Gerais","Virginópolis","margem esquerda do Rio Corrente Grande","-42.683333","-18.883333","42º41'W","18º53' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG 5490","S","Plantae","Bromeliaceae","M.F. Vasconcelos","19-113",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis","Margem esquerda do Rio Corrente Grande","-42.7","-18.883333","42°42'W","18°53'S","Billbergia","Billbergia","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-04 10:45:24-03","UFRJ","RFA","37121","Preservedecimen","Plantae","Dioscoreaceae","R.S. Couto; C.P. Bove, P. Baleeiro, A. Oliveira","206","2009","04","08","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Dioscorea","Dioscorea dodecaneura",NA,NA,"dodecaneura","Vell.","R.S. Couto","2009","04","08","19497","Ombrófila, trepadeira de folhas vinosas na face abaxial e variegada na face adaxial. Material estéril.","RFA23899","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:29:12-03","UFV","VIC","37773","PreservedSpecimen","Plantae","Mimosoideae","Batista, M.L.; Vieira, D.M.","s.n.","2011","11","24","Brasil","Minas Gerais","Virginópolis","Ás margens do Rio Corrente Grande.","-42.721944","-18.893333","-42.721944","-18.893333","Anadenanthera","Anadenanthera colubrina",NA,NA,"colubrina","(Vell.) Brenan","Batista, M.L.","2012","05","19",NA,"Árvore, c.a. de 10,5 metros de altura, com frutos, desprovida de acúleos.","VIC037773",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:29:12-03","UFV","VIC","37775","PreservedSpecimen","Plantae","Mimosoideae","Batista, M.L.; Vieira, D.M.","s.n.","2011","11","24","Brasil","Minas Gerais","Virginópolis","Às margens do Rio Corrente Grande.","-42.721944","-18.893333","-42.721944","-18.893333","Anadenanthera","Anadenanthera colubrina",NA,NA,"colubrina","(Vell.) Brenan","Batista, M.L.","2012","05","19",NA,"Árvore, c.a. de 10,5 metros de altura, com flores, desprovida de acúleos.","VIC037775",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:29:22-03","UFV","VIC","37795","PreservedSpecimen","Plantae","Mimosoideae","Batista, M.L.; Vieira, D.M.","s.n.","2011","11","24","Brasil","Minas Gerais","Virginópolis","Às margens do Rio Corrente Grande","-42.713611","-18.895556","-42.713611","-18.895556","Inga","Inga vera affinis",NA,NA,"vera","(DC.) T.D. Penn.","Batista, M.L.","2012","05","19",NA,"Árvore 6m alt., com flores.","VIC037795",NA,"affinis",NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:26:36-03","UFV","VIC","26851","PreservedSpecimen","Plantae","Acanthaceae","Teixeira, E.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Thunbergia","Thunbergia alata",NA,NA,"alata","Bojer ex Sims","Shimizu, G.H.","2008","02","01","19497","Planta rasteira, sem secreção e sem odor. Flor amarela.","VIC026851","auto",NA,"VIC026851",NA,NA,NA,NA,NA
"8","2020-03-10 08:28:41-03","UFV","VIC","25250","PreservedSpecimen","Plantae","Lamiaceae","Message, D.; Texeira, E.W.","s.n.","2000","10","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Leonurus","Leonurus sibiricus",NA,NA,"sibiricus","L.",NA,NA,NA,NA,"19497","Planta de 30 cm , cálice verde e corola lilás mesclada de branco.","VIC025250","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:27:23-03","UFV","VIC","26899","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","09","14","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia scorpioides",NA,NA,"scorpioides","(Lam.) Pers.",NA,NA,NA,NA,"19497","Planta, c.a. de 1,0 metro de altura, sem secreção com odor forte. Flor roxa. Planta 02.","VIC026899","auto",NA,"VIC026899",NA,NA,NA,NA,NA
"10","2020-03-10 08:27:23-03","UFV","VIC","26898","PreservedSpecimen","Plantae","Asteraceae","Teixeira, E.W.","s.n.","2001","07","04","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Vernonia","Vernonia scorpioides",NA,NA,"scorpioides","(Lam.) Pers.",NA,NA,NA,NA,"19497","Planta de 1,8 metros de altura, com flor roxa, sem odor e sem secreção. Planta 01.","VIC026898","auto",NA,"VIC026898",NA,NA,NA,NA,NA
"11","2020-03-10 08:27:36-03","UFV","VIC","25260","PreservedSpecimen","Plantae","Boraginaceae","Message, D.; Teixeira, E.W.","s.n.","2000","11","10","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Cordia","Cordia",NA,NA,NA,NA,NA,NA,NA,NA,"19497","Arbusto de flor amarelo claro. Planta 05.","VIC025260","auto",NA,"VIC025260",NA,NA,NA,NA,NA
