"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","specificEpithet","scientificNameAuthorship","yearIdentified","locality","barcode","imagecode","monthIdentified","dayIdentified","identifiedBy","verbatimLongitude","verbatimLatitude"
"1","2019-10-02 14:48:55-03","UFMG","BHCB","68262","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Tabernaemontana","Tabernaemontana","Mota, RC da","1387","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em beira de estrada; árvore; flores brancas.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-02 14:48:44-03","UFMG","BHCB","68266","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Himatanthus","Himatanthus lancifolius","Mota, RC da","1391","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em beira de brejo; árvore; frutos dispersando sementes.","auto","lancifolius","(Müll.Arg.) Woodson",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-14 18:36:40-03","UFMG","BHCB","68280","PreservedSpecimen","Plantae","Dicotyledon","Euphorbiaceae","Cnidoscolus","Cnidoscolus vitifolius","Mota, RC da","1405","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Subarbóreo; flores cremes.; Planta coletada em beira de estrada","auto","vitifolius","Pohl","2018","Rio Suaçuí Grande.","BHCB021152",NA,NA,NA,NA,NA,NA
"4","2019-10-02 15:01:35-03","UFMG","BHCB","68196","PreservedSpecimen","Plantae","Dicotyledon","Piperaceae","Piper","Piper tuberculatum","Mota, RC da","1322","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em mata ciliar; arbusto.","auto","tuberculatum","Jacq.",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-02 14:48:39-03","UFMG","BHCB","68211","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Calotropis","Calotropis procera","Mota, RC da","1337","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em beira de estrada; arbusto; frutos imaturos.","auto","procera","(Aiton) W.T.Aiton",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-02 14:53:11-03","UFMG","BHCB","68245","PreservedSpecimen","Plantae","Dicotyledon","Euphorbiaceae","Dalechampia","Dalechampia","Mota, RC da","1370","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em borda de mata secundária; arbusto escandente, brácteas lilás-claras.","auto",NA,NA,NA,"Rio Suaçuí Grande.","BHCB007782",NA,NA,NA,NA,NA,NA
"7","2019-10-02 14:55:23-03","UFMG","BHCB","68205","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","Ocotea","Mota, RC da","1331","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em mata ciliar; árvore.","auto",NA,"Aubl.",NA,"Rio Suaçuí Grande.","BHCB68205",NA,NA,NA,NA,NA,NA
"8","2019-10-02 15:02:52-03","UFMG","BHCB","68229","PreservedSpecimen","Plantae","Dicotyledon","Rutaceae","Conchocarpus","Conchocarpus macrophyllus","Mota, RC da","1355","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em mata secundária; arbusto; frutos imaturos.","auto","macrophyllus","J.C.Mikan",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-02 15:07:01-03","UFMG","BHCB","68198","PreservedSpecimen","Plantae","Monocotyledon","Heliconiaceae","Heliconia","Heliconia episcopalis","Mota, RC da","1324","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","erva; brácteas alaranjadas.; Planta coletada na margem de córrego;","auto","episcopalis","Vell.",NA,"Rio Suaçuí Grande.","BHCB047767",NA,NA,NA,NA,NA,NA
"10","2019-10-02 15:01:50-03","UFMG","BHCB","68261","PreservedSpecimen","Plantae","Dicotyledon","Polygonaceae","Polygonum","Polygonum hispidum","Mota, RC da","1386","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em área brejosa; erva.","auto","hispidum","Kunth",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-02 15:05:57-03","UFMG","BHCB","68265","PreservedSpecimen","Plantae","Monocotyledon","Arecaceae","Desmoncus","Desmoncus polyacanthos","Mota, RC da","1390","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Arbusto escandente.; Planta coletada em mata ciliar;","auto","polyacanthos","Mart.",NA,"Rio Suaçuí Grande.","BHCB050239","BHCB050239",NA,NA,NA,NA,NA
"12","2019-10-02 15:01:51-03","UFMG","BHCB","68277","PreservedSpecimen","Plantae","Dicotyledon","Polygonaceae","Polygonum","Polygonum punctatum","Mota, RC da","1402","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em área brejosa; erva.","auto","punctatum","Elliott",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"13","2019-10-02 15:05:04-03","UFMG","BHCB","68234","PreservedSpecimen","Plantae","Dicotyledon","Violaceae","Anchietea","Anchietea salutaris","Mota, RC da","1359","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em mata secundária; arbusto escandente; brácteas cremes.","auto","salutaris","A.St.-Hil.",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-02 15:08:16-03","UFMG","BHCB","68244","PreservedSpecimen","Plantae","Monocotyledon","Poaceae","Cortaderia","Cortaderia","Mota, RC da","1369","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em área brejosa; erva.","auto",NA,NA,NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"15","2019-10-02 15:06:19-03","UFMG","BHCB","68275","PreservedSpecimen","Plantae","Monocotyledon","Costaceae","Costus","Costus spiralis","Mota, RC da","1400","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em área brejosa; erva; brácteas vermelhas.","auto","spiralis","(Jacq.) Roscoe",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"16","2019-10-02 15:00:51-03","UFMG","BHCB","68216","PreservedSpecimen","Plantae","Dicotyledon","Nyctaginaceae","Bougainvillea","Bougainvillea glabra","Mota, RC da","1342","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Brácteas creme; árvore.; Planta coletada em área de pasto","auto","glabra","Choisy",NA,"Rio Suaçuí Grande.","BHCB002259","BHCB002259",NA,NA,NA,NA,NA
"17","2019-10-02 15:02:19-03","UFMG","BHCB","68270","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Coutarea","Coutarea hexandra","Mota, RC da","1395","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em borda de mata secundária; árvore.","auto","hexandra","(Jacq.) K.Schum.",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"18","2019-10-02 14:54:22-03","UFMG","BHCB","68226","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Mimosa","Mimosa pigra","Mota, RC da","1352","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em borda de brejo; arbusto; frutos imaturos.","auto","pigra","L.","2008","Rio Suaçuí Grande.","BHCB046006",NA,"02","05",NA,NA,NA
"19","2019-10-02 14:51:55-03","UFMG","BHCB","68232","PreservedSpecimen","Plantae","Dicotyledon","Cannabaceae","Celtis","Celtis brasiliensis","Mota, RC da","1358","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em mata ciliar; árvore; frutos imaturos.","auto","brasiliensis","(Gardner) Planch.",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
"20","2019-10-02 14:59:30-03","UFMG","BHCB","68214","PreservedSpecimen","Plantae","Dicotyledon","Meliaceae","Guarea","Guarea guidonia","Mota, RC da","1340","2001","12","07","Southern America","Brasil","Minas Gerais","Virgolândia","-42.3067016601562","-18.4757995605469","14171","Planta coletada em margem de rio; árvore.","auto","guidonia","(L.) Sleumer",NA,"Rio Suaçuí Grande.",NA,NA,NA,NA,NA,NA,NA
