"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","class","order"
"1","2020-03-10 08:30:10-03","UFV","VIC","19638F","PreservedSpecimen","Plantae","Pleosporaceae","Drechslera","sacchari","Drechslera sacchari","(E.J. Butler) Subram. & B.L. Jain","Muller, A.S.","305","1933","06","20","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Saccharum officinarum Linn.","VIC19638F","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:30:07-03","UFV","VIC","19845F","PreservedSpecimen","Plantae","Phyllachoraceae","Phyllachora","sphaerosperma","Phyllachora sphaerosperma","G. Winter","Muller, A.S.","401","1934","07","31","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Cenchrus browii Roem. & Schult.","VIC19845F","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-03-10 08:28:58-03","UFV","VIC","6301","PreservedSpecimen","Plantae","Malvaceae","Wissadula","contracta","Wissadula contracta","(Link.) R.E.Fries.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","suarbusto lenhoso, ereto, defolhas alternas cordiformes, inflorescência tipo panicula, flores pentâmeras brancas, frutos em carpídeos.","VIC006301","auto","VIC006301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-10 08:30:32-03","UFV","VIC","9638","PreservedSpecimen","Plantae","Rubiaceae","Borreria","latifolia","Borreria latifolia","(Aubl.) Schum","Hamawaki, L.E.","s.n.","1986","03","31","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Erva daninha em cultura de abacaxi.","VIC009638","auto","VIC009638","Área experimental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:30:32-03","UFV","VIC","9636","PreservedSpecimen","Plantae","Rubiaceae","Borreria","latifolia","Borreria latifolia","(Aubl.) Schum","Hamawaki, L.E.","s.n.","1986","01","16","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Erva daninha em cultura de abacaxi.","VIC009636","auto","VIC009636","Área experimental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-10 08:30:15-03","UFV","VIC","10427","PreservedSpecimen","Plantae","Poaceae","Eriochloa","punctata","Eriochloa punctata","(L.) Desv. ex Ham.","Hamawaki, L.E.","s.n.","1986","03","31","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Planta perene, c.a. de 70 cm de altura, em touceira. Planta damninha em cultura de abacaxi.","VIC010427","auto","VIC010427","Área experimental - Sementeira","Filgueiras, T.S.","1999","03","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-10 08:30:12-03","UFV","VIC","10429","PreservedSpecimen","Plantae","Poaceae","Brachiaria","plantaginea","Brachiaria plantaginea","(Link) Hitchc.","Hamawaki, L.E.","s.n.","1986","03","31","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Planta oerene em touceira. Planta daninha em cultura de abacaxi.","VIC010429","auto","VIC010429","Área experimental - Sementeira","Filgueiras, T.S.","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-10 08:30:12-03","UFV","VIC","10428","PreservedSpecimen","Plantae","Poaceae","Cenchrus","echinatus","Cenchrus echinatus","L.","Emiko, L.H.","s.n.","1986","03","31","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Planta daninha, c.a. de 50 cm de altura, em cultura de abacaxi.","VIC010428","auto","VIC010428","Área experimental - Sementeira","Filgueiras, T.S.","2000","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:28:08-03","UFV","VIC","1131","PreservedSpecimen","Plantae","Celastraceae","Pristimera","andina","Pristimera andina","Miers","Mexia, Y.","5253","1930","11","04","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271",NA,"VIC001131","auto",NA,"Fazenda Bom jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-10 08:28:42-03","UFV","VIC","001164","PreservedSpecimen","Plantae","Lamiaceae","Vitex","cymosa","Vitex cymosa","Bert.","Mexia, Y.","5474","1931","01","02","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271",NA,"VIC001164","auto","VIC001164","Fazenda Bom jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-03-10 08:28:42-03","UFV","VIC","001095","PreservedSpecimen","Plantae","Lamiaceae","Vitex","cymosa","Vitex cymosa","Bert.","Mexia, Y.","5251","1930","11","04","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271",NA,"VIC001095","auto","VIC001095","Fazenda Bom jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-03-10 08:29:44-03","UFV","VIC","1130","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","opposita","Guapira opposita","(Vell) Reitz","Mexia, Y.","5254","1930","11","04","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Tree 7 m, high,crimson fruit,black when mature","VIC001130","auto",NA,"Fazenda Bom jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-03-10 08:26:36-03","UFV","VIC","7515","PreservedSpecimen","Plantae","Acanthaceae","Thunbergia","alata","Thunbergia alata","Bojer ex Sims","Lacerda, A.C.M.","s.n.","1981","11","09","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Corola amarela, rastejante, raro no local. Fruto na carpoteca sob nº 264.","VIC007515","auto","VIC007515","Hospital São João Batista, Solo podzol vermelho amarelo.","Lacerda, A.C.M.","1981","11","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-03-10 08:30:47-03","UFV","VIC","6298","PreservedSpecimen","Plantae","Solanaceae","Capsicum","baccatum","Capsicum baccatum praetermissum","(Heiser & P.G. Sm.) Hunz.","Almeida, E.C. de; Almeida, M.F.","48","1979","03","23","Brasil","Minas Gerais","Visconde do Rio Branco","-42.8405990600586","-21.0102996826172","14271","Ruderal, lugares úmidos e arejados, erva ramificada em dicásio, com flores pentâmeras, lilás. Fruto tipo cápsula, arredondados e vermelho-alaranjados quando maduros","VIC006298","auto","VIC006298","Residência do Sr. Lélio Sabino Filó","Bianchetti, L.B.","1999","05","25","praetermissum",NA,NA,NA,NA,NA,NA,NA,NA,NA
